,what,is,the,typical,annual,cost,for,an,irish,private,school,?
the,0.42745697498321533,0.5823672413825989,1.0,0.28039172291755676,0.2958983778953552,0.23177006840705872,0.4739971458911896,0.4207492768764496,0.20936301350593567,0.18291357159614563,0.22953221201896667,0.22068053483963013
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,0.3042137920856476,0.35461482405662537,0.2914794087409973,0.20724235475063324,0.27438971400260925,0.1023501604795456,0.09646601229906082,0.10084234923124313,0.21764592826366425
fee,0.15150974690914154,0.15024368464946747,0.17181991040706635,0.16006053984165192,0.26953351497650146,0.3847309350967407,0.27223673462867737,0.1503283828496933,0.13475562632083893,0.3025624752044678,0.20987410843372345,0.13206739723682404
is,0.28837618231773376,1.0,0.5823672413825989,0.28977829217910767,0.20538382232189178,0.21065181493759155,0.43268078565597534,0.4654068350791931,0.15748897194862366,0.1420905888080597,0.19488026201725006,0.22961433231830597
around,0.27475327253341675,0.286477267742157,0.40085816383361816,0.2070714235305786,0.23327122628688812,0.18968404829502106,0.3193374276161194,0.25606366991996765,0.1295173466205597,0.14923639595508575,0.1641787439584732,0.14729668200016022
"€5,000",0.028636684641242027,0.011336668394505978,0.0898255780339241,-0.006402736995369196,0.0029537961818277836,0.044224198907613754,0.10557832568883896,0.05153243616223335,0.0009685518452897668,0.04179679602384567,0.05715004727244377,0.07224033027887344
annually,0.13421958684921265,0.23383666574954987,0.30625078082084656,0.10090341418981552,0.8063210844993591,0.244855597615242,0.3043476343154907,0.15895365178585052,0.18250539898872375,0.1601499319076538,0.17867563664913177,0.1364409476518631
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2583286166191101,0.28860941529273987,0.2728281319141388,0.9999999403953552,0.3236706852912903,0.19150154292583466,0.22242696583271027,0.18618352711200714,0.264628142118454
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.30746421217918396,0.22632372379302979,0.2543320953845978,0.3906237483024597,0.2748267352581024,0.13643738627433777,0.20440927147865295,0.13605839014053345,0.2107497900724411
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.10285547375679016,0.15127912163734436,0.19791728258132935,0.2320515662431717,0.13943931460380554,0.11805520206689835,0.4158569872379303,0.7602541446685791,0.18349280953407288
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2310890257358551,0.1683935970067978,0.20970560610294342,0.4464869201183319,0.3581022024154663,0.24875710904598236,0.1899166703224182,0.27141863107681274,0.31091248989105225
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.2802151143550873,0.17261594533920288,0.29953086376190186,0.45162561535835266,0.27760404348373413,0.17406566441059113,0.21809467673301697,0.20407751202583313,0.27921953797340393
some,0.4491020441055298,0.3038453459739685,0.4566698372364044,0.4227113723754883,0.1615464836359024,0.28152012825012207,0.4257155656814575,0.2864145338535309,0.16055449843406677,0.23412339389324188,0.21059708297252655,0.2562315762042999
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33413293957710266,0.29535046219825745,0.23332229256629944,0.4185989499092102,0.32280945777893066,0.1534920334815979,0.18706899881362915,0.2391800880432129,0.1826142966747284
these,0.4164220690727234,0.2498808652162552,0.49086877703666687,0.36410436034202576,0.1560623049736023,0.24463236331939697,0.41566818952560425,0.16632772982120514,0.12658819556236267,0.20254065096378326,0.18179039657115936,0.2571668326854706
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.10285547375679016,0.15127912163734436,0.19791728258132935,0.2320515662431717,0.13943931460380554,0.11805520206689835,0.4158569872379303,0.7602541446685791,0.18349280953407288
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.29443806409835815,0.2224365472793579,0.23277615010738373,0.5373267531394958,0.36835694313049316,0.2372116893529892,0.23910270631313324,0.2439606934785843,0.21848613023757935
provide,0.27049049735069275,0.23050084710121155,0.26373472809791565,0.3004193902015686,0.16037912666797638,0.30626630783081055,0.42299434542655945,0.24505722522735596,0.15056699514389038,0.264536052942276,0.11918891221284866,0.22704634070396423
boarding,0.13694864511489868,0.17377105355262756,0.26266586780548096,0.12045183032751083,0.20787225663661957,0.20703230798244476,0.2551570534706116,0.19784212112426758,0.18648743629455566,0.4076463282108307,0.5410861372947693,0.1366773396730423
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28220996260643005,0.20847271382808685,0.2846847474575043,0.5064792633056641,0.2838519215583801,0.23241202533245087,0.2557651102542877,0.2752758264541626,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.28039172291755676,0.2958983778953552,0.23177006840705872,0.4739971458911896,0.4207492768764496,0.20936301350593567,0.18291357159614563,0.22953221201896667,0.22068053483963013
fees,0.19752082228660583,0.12863782048225403,0.22297759354114532,0.17240478098392487,0.26903289556503296,0.43171364068984985,0.2745085060596466,0.1149790957570076,0.1211765855550766,0.3508143424987793,0.3054105341434479,0.18385712802410126
may,0.25739946961402893,0.322792649269104,0.2694292366504669,0.2347652167081833,0.11630595475435257,0.19927583634853363,0.29255861043930054,0.30457955598831177,0.19632549583911896,0.16896244883537292,0.16821534931659698,0.2768254578113556
then,0.4072686731815338,0.24618037045001984,0.4297412931919098,0.10466301441192627,0.09443207085132599,0.13658548891544342,0.3392637073993683,0.18823587894439697,0.1121511310338974,0.22125567495822906,0.2276032567024231,0.2884598970413208
rise,0.23887591063976288,0.1640702784061432,0.3404741883277893,0.23982037603855133,0.18006303906440735,0.13526977598667145,0.13634364306926727,0.15885549783706665,0.15397551655769348,0.04078371450304985,0.1341114044189453,0.10799103230237961
up,0.28591108322143555,0.2853454053401947,0.38423117995262146,0.21337248384952545,0.13168533146381378,0.17334532737731934,0.342966228723526,0.2649265229701996,0.12480361759662628,0.12035677582025528,0.1878667175769806,0.1819818764925003
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.22595685720443726,0.2023409903049469,0.2525014281272888,0.4451248347759247,0.3138085603713989,0.19614946842193604,0.18892748653888702,0.24496325850486755,0.29463258385658264
"€25,000",-0.0055978791788220406,0.05405622348189354,0.15504810214042664,0.0866166204214096,0.142351895570755,0.1281438022851944,0.09534385055303574,0.008045803755521774,-0.048890210688114166,0.037844013422727585,0.03516123443841934,0.01781703159213066
per,0.21384303271770477,0.22395510971546173,0.21691934764385223,0.22125095129013062,0.25775980949401855,0.28305333852767944,0.22882020473480225,0.1638546884059906,0.11580481380224228,0.11394026130437851,0.09507620334625244,0.22323818504810333
year,0.15184831619262695,0.2402215600013733,0.3609684407711029,0.05211680382490158,0.37299844622612,0.23495396971702576,0.29294124245643616,0.17045794427394867,0.1511118859052658,0.14490066468715668,0.2321801781654358,0.18315006792545319
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2668197751045227,0.17968490719795227,0.26134178042411804,0.4726039469242096,0.3581749200820923,0.2006680816411972,0.2534593939781189,0.24214158952236176,0.4130953550338745
