,vaginal,secretions,serve,as,a,chemical,protective,barrier,following,what,?
vaginal,1.0000001192092896,0.44513484835624695,0.1910267174243927,0.20150817930698395,0.20651860535144806,0.2712627351284027,0.29986682534217834,0.2482755184173584,0.15085257589817047,0.18285365402698517,0.19403772056102753
secretions,0.44513484835624695,0.9999998807907104,0.19400905072689056,0.13883696496486664,0.15321405231952667,0.32319244742393494,0.3843764662742615,0.27175477147102356,0.12796121835708618,0.19176721572875977,0.15847201645374298
serve,0.1910267174243927,0.19400905072689056,0.9999998807907104,0.3768509030342102,0.22927480936050415,0.09923185408115387,0.2589437663555145,0.15363705158233643,0.13953648507595062,0.23061832785606384,0.19925682246685028
as,0.20150817930698395,0.13883696496486664,0.3768509030342102,1.0,0.39550232887268066,0.25971847772598267,0.2496630996465683,0.18706054985523224,0.39620932936668396,0.31749409437179565,0.27043893933296204
a,0.20651860535144806,0.15321405231952667,0.22927480936050415,0.39550232887268066,1.0,0.24089328944683075,0.2625492215156555,0.2609435021877289,0.27489006519317627,0.3320399522781372,0.23916715383529663
chemical,0.2712627351284027,0.32319244742393494,0.09923185408115387,0.25971847772598267,0.24089328944683075,0.9999999403953552,0.217365100979805,0.20803947746753693,0.2089424431324005,0.26249468326568604,0.2040288895368576
barrier,0.2482755184173584,0.27175477147102356,0.15363705158233643,0.18706054985523224,0.2609435021877289,0.20803947746753693,0.2817624509334564,0.9999998807907104,0.1275971382856369,0.22869759798049927,0.11772116273641586
following,0.15085257589817047,0.12796121835708618,0.13953648507595062,0.39620932936668396,0.27489006519317627,0.2089424431324005,0.10381530970335007,0.1275971382856369,0.9999999403953552,0.2506418824195862,0.1555173695087433
menarche,0.3502708673477173,0.20899580419063568,0.16113123297691345,0.24927736818790436,0.24120661616325378,0.2104540765285492,0.1509324163198471,0.19656290113925934,0.2487550675868988,0.24785517156124115,0.24873824417591095
",",0.13688050210475922,0.14944066107273102,0.2385157197713852,0.48816442489624023,0.427140474319458,0.20593619346618652,0.23280303180217743,0.23170435428619385,0.27101513743400574,0.3087472915649414,0.31091248989105225
when,0.2582274079322815,0.24752415716648102,0.24939022958278656,0.4437963366508484,0.44397395849227905,0.27270105481147766,0.27358174324035645,0.2571537494659424,0.3263498842716217,0.4700249433517456,0.22841128706932068
they,0.24507902562618256,0.3037281632423401,0.2692376971244812,0.3294360637664795,0.3528250455856323,0.19982746243476868,0.27765414118766785,0.28073325753211975,0.2332618534564972,0.4431931674480438,0.2753053903579712
become,0.2131621241569519,0.17895960807800293,0.3511773347854614,0.36734503507614136,0.3215816617012024,0.11258454620838165,0.19491225481033325,0.12923066318035126,0.14803755283355713,0.27134042978286743,0.19511328637599945
slightly,0.28050002455711365,0.23100599646568298,0.19814181327819824,0.30455896258354187,0.29485416412353516,0.13381919264793396,0.14335456490516663,0.16007357835769653,0.16937842965126038,0.30401676893234253,0.15424269437789917
acidic,0.3641073405742645,0.4634150564670563,0.2149772197008133,0.2335217297077179,0.21583744883537292,0.49531641602516174,0.33674249053001404,0.23748187720775604,0.11029203236103058,0.20120957493782043,0.16853316128253937
",",0.13688050210475922,0.14944066107273102,0.2385157197713852,0.48816442489624023,0.427140474319458,0.20593619346618652,0.23280303180217743,0.23170435428619385,0.27101513743400574,0.3087472915649414,0.31091248989105225
while,0.21380041539669037,0.1734222173690796,0.27125465869903564,0.4165958762168884,0.3733035624027252,0.13572846353054047,0.23821480572223663,0.2138337939977646,0.2284046858549118,0.35511791706085205,0.21076419949531555
semen,0.5523473620414734,0.36460697650909424,0.1500999629497528,0.1366165578365326,0.1875317096710205,0.2783893346786499,0.23344826698303223,0.1666271835565567,0.13450948894023895,0.18875136971473694,0.21410374343395233
contains,0.1910123974084854,0.2428605705499649,0.18089474737644196,0.24164676666259766,0.3092464506626129,0.3229844570159912,0.1255786418914795,0.1406307965517044,0.24447335302829742,0.14236655831336975,0.15215006470680237
defensins,0.2985381782054901,0.36539334058761597,0.25628891587257385,0.2595503032207489,0.2014569789171219,0.2103084772825241,0.3451312780380249,0.28970322012901306,0.13198848068714142,0.20736607909202576,0.24842989444732666
and,0.26837775111198425,0.17575903236865997,0.27672067284584045,0.49487000703811646,0.3739250600337982,0.1947544515132904,0.3142896294593811,0.28187382221221924,0.2696467339992523,0.31309178471565247,0.20544172823429108
zinc,0.3261524438858032,0.3373772203922272,0.12056898325681686,0.20326347649097443,0.25758299231529236,0.45149439573287964,0.24888195097446442,0.21270112693309784,0.1359494924545288,0.1709851622581482,0.16904288530349731
to,0.2602587640285492,0.2204957902431488,0.3411368131637573,0.42092081904411316,0.45503583550453186,0.19030416011810303,0.25886988639831543,0.24477796256542206,0.31711265444755554,0.455847829580307,0.29463258385658264
kill,0.12953074276447296,0.2727952003479004,0.22609300911426544,0.25097718834877014,0.25388583540916443,0.2621866762638092,0.24297192692756653,0.1549830287694931,0.14064686000347137,0.2582238018512726,0.1932259500026703
pathogens,0.48292267322540283,0.5555742383003235,0.19482843577861786,0.22061175107955933,0.21121124923229218,0.4300548732280731,0.34409409761428833,0.3525397777557373,0.15212282538414001,0.24503889679908752,0.21364152431488037
.,0.19803570210933685,0.17898301780223846,0.26939791440963745,0.515582263469696,0.50484299659729,0.23593789339065552,0.23950155079364777,0.22136561572551727,0.30538758635520935,0.3567904531955719,0.4130953550338745
