,how,are,ergänzungsschulen,funded,?
ergänzungsschulen,0.2650063633918762,0.26853707432746887,1.0,0.2868717312812805,0.2810702323913574
have,0.4370637536048889,0.6577680706977844,0.2823588252067566,0.2228681743144989,0.32991164922714233
the,0.33890387415885925,0.40399202704429626,0.31489989161491394,0.21102139353752136,0.22068053483963013
freedom,0.1381973922252655,0.10767874121665955,0.1712999939918518,0.26366016268730164,0.1626027375459671
to,0.44169697165489197,0.3504326641559601,0.26672106981277466,0.1668122261762619,0.29463258385658264
operate,0.24947915971279144,0.36092355847358704,0.20863431692123413,0.32326582074165344,0.16664595901966095
outside,0.2897700369358063,0.30540841817855835,0.17408990859985352,0.21909435093402863,0.14839068055152893
of,0.2480744868516922,0.39081433415412903,0.29503199458122253,0.21279014647006989,0.1826142966747284
government,0.21719732880592346,0.20126859843730927,0.2505722939968109,0.44982051849365234,0.18851417303085327
regulation,0.32147032022476196,0.2471223920583725,0.27871236205101013,0.31292518973350525,0.1690916270017624
and,0.33647966384887695,0.48576638102531433,0.36461132764816284,0.2441575825214386,0.20544172823429108
are,0.311818927526474,1.0,0.26853707432746887,0.18269871175289154,0.24591213464736938
funded,0.14471063017845154,0.18269871175289154,0.2868717312812805,1.0,0.14043596386909485
in,0.2601168751716614,0.3841303884983063,0.3609252870082855,0.21351924538612366,0.20430970191955566
whole,0.3523266613483429,0.27209654450416565,0.2571433186531067,0.1765339970588684,0.21052291989326477
by,0.34370526671409607,0.37842893600463867,0.22416812181472778,0.30712053179740906,0.17966607213020325
charging,0.1635827124118805,0.2403501272201538,0.19081860780715942,0.3177962005138397,0.11662299185991287
their,0.3316696584224701,0.46887820959091187,0.22117362916469574,0.21237725019454956,0.1898253709077835
students,0.25370386242866516,0.2835792899131775,0.2768276035785675,0.3903201222419739,0.18017297983169556
tuition,0.22990037500858307,0.25414586067199707,0.32572588324546814,0.5018442273139954,0.2023361474275589
fees,0.20977488160133362,0.22389818727970123,0.2863849401473999,0.45093220472335815,0.18385712802410126
.,0.3287222981452942,0.3452940285205841,0.3771330416202545,0.21904520690441132,0.4130953550338745
