,before,super,bowl,50,",",what,was,the,coach,'s,name,that,coached,both,teams,for,their,last,super,bowl,appearances,?
coincidentally,0.3443308174610138,0.23717789351940155,0.10638265311717987,0.07122477889060974,0.2946731448173523,0.31448718905448914,0.32230478525161743,0.34046483039855957,0.059641603380441666,0.020797381177544594,0.2105884552001953,0.4524754285812378,0.11632698774337769,0.3079802393913269,0.16702738404273987,0.2698999047279358,0.24211624264717102,0.306323379278183,0.23717789351940155,0.10638265311717987,0.22291693091392517,0.2744106352329254
",",0.3156566619873047,0.22322475910186768,0.1810409277677536,-0.025195008143782616,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2760384678840637,-0.0016132977325469255,0.28145334124565125,0.4137537479400635,0.2804047167301178,0.38080528378486633,0.22220629453659058,0.4464869201183319,0.3045167922973633,0.29026782512664795,0.22322475910186768,0.1810409277677536,0.2604878544807434,0.31091248989105225
both,0.2842935621738434,0.20366154611110687,0.15468505024909973,0.016993142664432526,0.38080528378486633,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.12942662835121155,0.03109198436141014,0.2019103318452835,0.4532228112220764,0.17919401824474335,1.0,0.25199511647224426,0.3887220323085785,0.42909732460975647,0.19526274502277374,0.20366154611110687,0.15468505024909973,0.24782061576843262,0.19455738365650177
teams,0.20834939181804657,0.26333683729171753,0.2752957046031952,0.09035295248031616,0.22220629453659058,0.16624371707439423,0.1698075383901596,0.3164927661418915,0.3642618954181671,0.079634889960289,0.20138786733150482,0.22682182490825653,0.4549850821495056,0.25199511647224426,1.0,0.25904974341392517,0.2674952447414398,0.17543965578079224,0.26333683729171753,0.2752957046031952,0.2740537226200104,0.11150168627500534
were,0.3127685785293579,0.18743500113487244,0.17085392773151398,0.025104328989982605,0.36755475401878357,0.22298263013362885,0.590133786201477,0.3906462490558624,0.14813336730003357,0.007088581565767527,0.1580192744731903,0.35517072677612305,0.2769066393375397,0.4254525601863861,0.28874582052230835,0.33592689037323,0.43277356028556824,0.25959286093711853,0.18743500113487244,0.17085392773151398,0.17854832112789154,0.17890112102031708
coached,0.1422281265258789,0.17820677161216736,0.2819303572177887,0.05786232277750969,0.2804047167301178,0.10517752170562744,0.2736053764820099,0.157488152384758,0.8054948449134827,0.03882542625069618,0.11582908034324646,0.16084779798984528,1.0000001192092896,0.17919401824474335,0.4549850821495056,0.23272185027599335,0.17421233654022217,0.21817530691623688,0.17820677161216736,0.2819303572177887,0.30530235171318054,0.1018170416355133
by,0.37709173560142517,0.15233319997787476,0.12992306053638458,0.03871260583400726,0.3680937886238098,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.1326991617679596,-0.010884488001465797,0.25480157136917114,0.37496164441108704,0.1705113798379898,0.3367134630680084,0.16955985128879547,0.3248702883720398,0.3242124021053314,0.24441376328468323,0.15233319997787476,0.12992306053638458,0.19858011603355408,0.17966607213020325
john,0.1840742528438568,0.1567493975162506,0.19344750046730042,0.049744050949811935,0.23961079120635986,0.18237407505512238,0.2875721752643585,0.2230520099401474,0.19683262705802917,-0.1023898646235466,0.12458125501871109,0.17830057442188263,0.1420416235923767,0.1844242662191391,0.14985817670822144,0.22649751603603363,0.17629720270633698,0.16796816885471344,0.1567493975162506,0.19344750046730042,0.18210384249687195,0.13162356615066528
fox,0.17735855281352997,0.17024748027324677,0.17459118366241455,0.007465891540050507,0.21118731796741486,0.16651637852191925,0.18574436008930206,0.24760441482067108,0.17076337337493896,0.12025188654661179,0.09461809694766998,0.26909372210502625,0.1626623123884201,0.14248478412628174,0.19676120579242706,0.1993214637041092,0.1407262086868286,0.2152211219072342,0.17024748027324677,0.17459118366241455,0.20024260878562927,0.1670110523700714
in,0.4155850410461426,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.5201468467712402,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.1651318073272705,-0.037580832839012146,0.2459065467119217,0.435920387506485,0.20446234941482544,0.3960166871547699,0.2639528214931488,0.4322226941585541,0.34976133704185486,0.30714505910873413,0.18576006591320038,0.17236235737800598,0.2627871632575989,0.20430970191955566
