,who,did,tesla,refuse,to,see,following,the,accident,?
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.10325124114751816,0.17548894882202148,0.1577616184949875,0.0097203329205513,0.1324402391910553,0.1518668681383133,0.10250775516033173
's,0.05599616840481758,0.05069678649306297,0.06449045985937119,0.020902322605252266,0.03782717138528824,-0.010140474885702133,-0.005975736305117607,-0.01540423184633255,-0.058824557811021805,-0.023395681753754616
back,0.2667590379714966,0.2601068317890167,0.09240715950727463,0.29348114132881165,0.4675939381122589,0.30311840772628784,0.15797778964042664,0.3612101674079895,0.17798557877540588,0.2397768795490265
was,0.3318818509578705,0.41399896144866943,0.16455206274986267,0.19272151589393616,0.3636345863342285,0.17335832118988037,0.16493390500545502,0.48711544275283813,0.27127954363822937,0.18412111699581146
severely,0.28317850828170776,0.24242344498634338,0.0751180425286293,0.25699007511138916,0.2500481903553009,0.22310875356197357,0.20533578097820282,0.266305536031723,0.33734989166259766,0.165714293718338
wrenched,0.21813252568244934,0.19840651750564575,0.21555188298225403,0.18732474744319916,0.23326534032821655,0.2610743045806885,0.17742609977722168,0.2825797200202942,0.16763858497142792,0.1931677907705307
and,0.41279885172843933,0.34479495882987976,0.19560420513153076,0.24994239211082458,0.48971283435821533,0.367068350315094,0.2696467339992523,0.5171257257461548,0.17653004825115204,0.20544172823429108
three,0.2491552233695984,0.2043166607618332,0.12387315183877945,0.17312763631343842,0.3043823838233948,0.2296171635389328,0.2835557162761688,0.43452659249305725,0.14650876820087433,0.20928427577018738
of,0.2827862501144409,0.2513895630836487,0.18837453424930573,0.2180326282978058,0.41548454761505127,0.33962661027908325,0.3576679527759552,0.733189046382904,0.1727704554796219,0.1826142966747284
his,0.44966956973075867,0.3546801507472992,0.1580733060836792,0.29335230588912964,0.3715193271636963,0.14544357359409332,0.2390999048948288,0.4394008219242096,0.2630104422569275,0.18075084686279297
ribs,0.11890972405672073,0.20367610454559326,0.09673763811588287,0.09979990869760513,0.10475406050682068,0.15658308565616608,0.10057620704174042,0.23325857520103455,0.09877364337444305,0.14854298532009125
