,silicates,of,magnesium,and,iron,make,up,of,the,earth,'s,___
the,0.244277223944664,0.733189046382904,0.1818278282880783,0.5171257257461548,0.27578672766685486,0.3146495521068573,0.38423117995262146,0.733189046382904,1.0,0.2801888585090637,-0.01540423184633255,0.18618085980415344
earth,0.3993373513221741,0.2329314798116684,0.361131876707077,0.27524080872535706,0.25424718856811523,0.21773217618465424,0.26390334963798523,0.2329314798116684,0.2801888585090637,1.0,0.0661235973238945,0.30411121249198914
's,0.024947943165898323,-0.03817026689648628,-0.04188914969563484,0.06895173341035843,-0.0246629249304533,0.09622383862733841,-0.08862818777561188,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.9999999403953552,0.007411982864141464
mantle,0.4411371350288391,0.19364143908023834,0.33782896399497986,0.19090498983860016,0.32036909461021423,0.12147606164216995,0.17664535343647003,0.19364143908023834,0.24731530249118805,0.4542229175567627,-0.043731871992349625,0.11494652926921844
",",0.23654009401798248,0.4946078956127167,0.19133992493152618,0.6633074283599854,0.23416942358016968,0.324553906917572,0.34193792939186096,0.4946078956127167,0.4933079481124878,0.23186853528022766,-0.0016132977325469255,0.24922403693199158
of,0.316294401884079,1.0,0.18834753334522247,0.5116966962814331,0.263920396566391,0.2912110388278961,0.32945773005485535,1.0,0.733189046382904,0.2329314798116684,-0.03817026689648628,0.17982326447963715
much,0.3225060999393463,0.2671096920967102,0.3121115267276764,0.38395699858665466,0.20020385086536407,0.4360158145427704,0.310188889503479,0.2671096920967102,0.35023224353790283,0.23964592814445496,0.06731651723384857,0.23646515607833862
larger,0.30991965532302856,0.32469573616981506,0.21959683299064636,0.34781917929649353,0.16041924059391022,0.24789772927761078,0.3005222678184509,0.32469573616981506,0.378620445728302,0.14595924317836761,0.06408897042274475,0.16735810041427612
mass,0.30720916390419006,0.26915112137794495,0.2721458673477173,0.21843883395195007,0.24944815039634705,0.15255242586135864,0.1803177148103714,0.26915112137794495,0.2284930944442749,0.23690102994441986,0.022538112476468086,0.21688207983970642
than,0.3010309636592865,0.33036211133003235,0.22766529023647308,0.39361441135406494,0.16893495619297028,0.3882316052913666,0.2813877463340759,0.33036211133003235,0.3227543234825134,0.2436409294605255,0.0585811510682106,0.23704539239406586
