,what,series,is,the,longest,running,program,in,abc,history,?
abc,0.1317344456911087,0.38518208265304565,0.16037321090698242,0.2068762183189392,0.2002073973417282,0.2262323647737503,0.28949791193008423,0.1697147786617279,1.0000001192092896,0.23723183572292328,0.19065172970294952
's,0.02692362666130066,0.0006390819908119738,0.02396530658006668,-0.01540423184633255,0.0136581901460886,-0.07519974559545517,0.0445902980864048,-0.037580832839012146,0.06670809537172318,-0.0466335192322731,-0.023395681753754616
daytime,0.18597152829170227,0.30621466040611267,0.1973431557416916,0.2526528239250183,0.18860115110874176,0.26731979846954346,0.22861696779727936,0.2666790783405304,0.32957881689071655,0.14110788702964783,0.17830818891525269
schedule,0.22513388097286224,0.2275308221578598,0.15946443378925323,0.21986375749111176,0.16897325217723846,0.2911846935749054,0.32127419114112854,0.20525701344013214,0.24818992614746094,0.15132944285869598,0.16743622720241547
currently,0.21436211466789246,0.18471503257751465,0.4011616110801697,0.2945235073566437,0.26198065280914307,0.2439539134502411,0.23770304024219513,0.30261120200157166,0.21135549247264862,0.19036366045475006,0.1861555278301239
features,0.20126673579216003,0.22928662598133087,0.28435954451560974,0.29863014817237854,0.14476290345191956,0.26298952102661133,0.2215498685836792,0.24970319867134094,0.21464884281158447,0.15941205620765686,0.23497378826141357
talk,0.4448079466819763,0.20352286100387573,0.21383073925971985,0.2565208673477173,0.10248545557260513,0.22145117819309235,0.22333689033985138,0.18162277340888977,0.2639772891998291,0.294340580701828,0.6033820509910583
shows,0.30282244086265564,0.3294292390346527,0.31176671385765076,0.36348509788513184,0.15495333075523376,0.19695790112018585,0.27336403727531433,0.3289647698402405,0.3304527997970581,0.19430005550384521,0.2040930688381195
the,0.42745697498321533,0.31376904249191284,0.5823672413825989,1.0,0.36807993054389954,0.28883472084999084,0.22986935079097748,0.6662389636039734,0.2068762183189392,0.33215048909187317,0.22068053483963013
view,0.2818201184272766,0.12864196300506592,0.2251286506652832,0.25610461831092834,0.15985709428787231,0.14254291355609894,0.21114639937877655,0.17477142810821533,0.1534276157617569,0.2767307162284851,0.17672975361347198
and,0.31309178471565247,0.26972857117652893,0.3859752118587494,0.5171257257461548,0.2112683802843094,0.29286429286003113,0.24895258247852325,0.4954058527946472,0.16453155875205994,0.23541007936000824,0.20544172823429108
the,0.42745697498321533,0.31376904249191284,0.5823672413825989,1.0,0.36807993054389954,0.28883472084999084,0.22986935079097748,0.6662389636039734,0.2068762183189392,0.33215048909187317,0.22068053483963013
chew,0.22411519289016724,0.1237313374876976,0.1925658881664276,0.1620170772075653,0.1415436863899231,0.2425425797700882,0.10658835619688034,0.11104787886142731,0.09105020761489868,0.12752732634544373,0.19586901366710663
",",0.3087472915649414,0.24060699343681335,0.4691906273365021,0.4933079481124878,0.21878951787948608,0.24165967106819153,0.17760658264160156,0.5201468467712402,0.2097204476594925,0.2728564441204071,0.31091248989105225
