,why,are,n't,some,forms,of,hæmatococcus,pluvialis,green,?
most,0.32689353823661804,0.48698675632476807,-0.057794127613306046,0.6355911493301392,0.2905651926994324,0.4178851246833801,0.24230656027793884,0.24345193803310394,0.1848849505186081,0.2107497900724411
green,0.1510881781578064,0.21746626496315002,-0.027453748509287834,0.22847209870815277,0.149026557803154,0.2225196659564972,0.1718001514673233,0.29850566387176514,1.0,0.11409882456064224
chloroplasts,0.22792738676071167,0.3103833794593811,-0.03901694342494011,0.3096705377101898,0.32942259311676025,0.23179760575294495,0.580838680267334,0.4061376452445984,0.32718849182128906,0.13049766421318054
are,0.3273901343345642,1.0,-0.1517762839794159,0.6331475377082825,0.32807791233062744,0.39081433415412903,0.31256014108657837,0.3160998821258545,0.21746626496315002,0.24591213464736938
(,0.23387731611728668,0.23263892531394958,0.15345674753189087,0.2279975414276123,0.17703920602798462,0.35032153129577637,0.25401419401168823,0.25345921516418457,0.21708370745182037,0.40561532974243164
obviously,0.5093345046043396,0.34025222063064575,-0.04720994085073471,0.36058321595191956,0.24514134228229523,0.24761661887168884,0.2563345432281494,0.26600250601768494,0.11728538572788239,0.4322384297847748
),0.25356316566467285,0.2373749315738678,0.16805793344974518,0.2398642599582672,0.1727948635816574,0.3680361211299896,0.2438129037618637,0.23438246548175812,0.20757341384887695,0.42300865054130554
green,0.1510881781578064,0.21746626496315002,-0.027453748509287834,0.22847209870815277,0.149026557803154,0.2225196659564972,0.1718001514673233,0.29850566387176514,1.0,0.11409882456064224
",",0.2827242314815521,0.4062570035457611,0.11016341298818588,0.42400437593460083,0.2570338547229767,0.4946078956127167,0.26583656668663025,0.3080199956893921,0.2583938241004944,0.31091248989105225
though,0.4597199559211731,0.39827248454093933,-0.08277151733636856,0.5170668363571167,0.29134616255760193,0.37307101488113403,0.23637406527996063,0.2513207793235779,0.16246196627616882,0.3188856542110443
some,0.429519385099411,0.6331475377082825,-0.13643382489681244,0.9999999403953552,0.35255932807922363,0.4300730526447296,0.3393899202346802,0.33337730169296265,0.22847209870815277,0.2562315762042999
are,0.3273901343345642,1.0,-0.1517762839794159,0.6331475377082825,0.32807791233062744,0.39081433415412903,0.31256014108657837,0.3160998821258545,0.21746626496315002,0.24591213464736938
n't,-0.04840125888586044,-0.1517762839794159,1.0,-0.13643382489681244,0.08325250446796417,-0.021397603675723076,0.07383345067501068,0.027307748794555664,-0.027453748509287834,0.07068326324224472
",",0.2827242314815521,0.4062570035457611,0.11016341298818588,0.42400437593460083,0.2570338547229767,0.4946078956127167,0.26583656668663025,0.3080199956893921,0.2583938241004944,0.31091248989105225
like,0.45813098549842834,0.4686352014541626,-0.12929667532444,0.6206092238426208,0.31415611505508423,0.3244853615760803,0.2966090738773346,0.33142703771591187,0.20970235764980316,0.3268813192844391
some,0.429519385099411,0.6331475377082825,-0.13643382489681244,0.9999999403953552,0.35255932807922363,0.4300730526447296,0.3393899202346802,0.33337730169296265,0.22847209870815277,0.2562315762042999
forms,0.14533895254135132,0.32807791233062744,0.08325250446796417,0.35255932807922363,1.0,0.33835989236831665,0.27992042899131775,0.32421594858169556,0.149026557803154,0.1196754202246666
of,0.28464117646217346,0.39081433415412903,-0.021397603675723076,0.4300730526447296,0.33835989236831665,1.0,0.24211198091506958,0.2102331817150116,0.2225196659564972,0.1826142966747284
hæmatococcus,0.25334540009498596,0.31256014108657837,0.07383345067501068,0.3393899202346802,0.27992042899131775,0.24211198091506958,1.0,0.4341755509376526,0.1718001514673233,0.23774981498718262
pluvialis,0.23438754677772522,0.3160998821258545,0.027307748794555664,0.33337730169296265,0.32421594858169556,0.2102331817150116,0.4341755509376526,1.0,0.29850566387176514,0.15709291398525238
",",0.2827242314815521,0.4062570035457611,0.11016341298818588,0.42400437593460083,0.2570338547229767,0.4946078956127167,0.26583656668663025,0.3080199956893921,0.2583938241004944,0.31091248989105225
due,0.24495384097099304,0.17220361530780792,-0.001868726103566587,0.21023260056972504,0.15077492594718933,0.2533245384693146,0.22185133397579193,0.07969991862773895,0.08584561198949814,0.10954997688531876
to,0.4100138247013092,0.3504326641559601,-0.14541994035243988,0.4636894166469574,0.2363802045583725,0.41548454761505127,0.180215984582901,0.13352085649967194,0.2122364193201065,0.29463258385658264
accessory,0.20173309743404388,0.2763231098651886,0.01674570143222809,0.29389750957489014,0.19195422530174255,0.20070421695709229,0.22816698253154755,0.11186911165714264,0.21109998226165771,0.1568751037120819
pigments,0.2084667980670929,0.31982728838920593,-0.019943321123719215,0.3141401410102844,0.3851828873157501,0.20378515124320984,0.4884955585002899,0.4118567407131195,0.3446411192417145,0.16673754155635834
that,0.5601457357406616,0.45265161991119385,-0.130638986825943,0.6049469113349915,0.31152746081352234,0.41498205065727234,0.2790510058403015,0.2553670406341553,0.18731415271759033,0.32716336846351624
override,0.28239044547080994,0.20433859527111053,0.03029853105545044,0.22777049243450165,0.1574629843235016,0.2303989976644516,0.23338274657726288,0.13516099750995636,0.14090289175510406,0.3403741419315338
the,0.30742117762565613,0.40399202704429626,-0.11449059844017029,0.4566698372364044,0.2950737178325653,0.733189046382904,0.19668015837669373,0.24742937088012695,0.24099771678447723,0.22068053483963013
chlorophylls,0.1897691786289215,0.2577351927757263,0.012742135673761368,0.26560619473457336,0.27435728907585144,0.20420973002910614,0.5753429532051086,0.4096461832523346,0.3844410181045532,0.1156936064362526
',0.27400460839271545,0.24618251621723175,0.07082574814558029,0.24786527454853058,0.18234191834926605,0.39136970043182373,0.18988296389579773,0.20020334422588348,0.1710139513015747,0.330942302942276
green,0.1510881781578064,0.21746626496315002,-0.027453748509287834,0.22847209870815277,0.149026557803154,0.2225196659564972,0.1718001514673233,0.29850566387176514,1.0,0.11409882456064224
colors,0.19002319872379303,0.2930568754673004,-0.09607015550136566,0.25071659684181213,0.21504664421081543,0.21877843141555786,0.18269897997379303,0.23079942166805267,0.32915303111076355,0.18779070675373077
.,0.32909876108169556,0.3452940285205841,0.01884327083826065,0.40663889050483704,0.24305115640163422,0.5352458953857422,0.2861766219139099,0.20811870694160461,0.23737919330596924,0.4130953550338745
