,halford,mackinder,and,friedrich,ratzel,where,what,kind,of,geographers,?
these,0.17587286233901978,0.24082818627357483,0.5314885973930359,0.14291314780712128,0.19416913390159607,0.380450963973999,0.4164220690727234,0.30441078543663025,0.42684608697891235,0.31816452741622925,0.2571668326854706
societies,0.14612388610839844,0.18552754819393158,0.2787785232067108,0.19577130675315857,0.17183160781860352,0.14909008145332336,0.21333153545856476,0.2296379655599594,0.20256926119327545,0.41258373856544495,0.19051554799079895
also,0.27456727623939514,0.2562248706817627,0.5755972862243652,0.1785704493522644,0.24268202483654022,0.5413004159927368,0.42747777700424194,0.35271334648132324,0.4924938678741455,0.22957710921764374,0.21848613023757935
served,0.19544444978237152,0.21054157614707947,0.2463700920343399,0.15766778588294983,0.20916549861431122,0.1684255450963974,0.1271134465932846,0.1276949793100357,0.2967056334018707,0.13676932454109192,0.117141492664814
as,0.1929866224527359,0.32696446776390076,0.49487000703811646,0.16427916288375854,0.26469168066978455,0.35409465432167053,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.1576535552740097,0.27043893933296204
a,0.2531423568725586,0.20927217602729797,0.3739250600337982,0.22458875179290771,0.302673876285553,0.40997210144996643,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.1778496950864792,0.23916715383529663
space,0.14296019077301025,0.23440080881118774,0.22901733219623566,0.13524816930294037,0.1555173248052597,0.2208663374185562,0.20525942742824554,0.20278280973434448,0.21300287544727325,0.11692032963037491,0.1885536164045334
for,0.24609282612800598,0.274492084980011,0.5064792633056641,0.09603983908891678,0.19715416431427002,0.38599511981010437,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.19243840873241425,0.264628142118454
travellers,0.2663016617298126,0.16927705705165863,0.2845427691936493,0.1146739050745964,0.10746296495199203,0.29024994373321533,0.2536092698574066,0.13626651465892792,0.2023649513721466,0.3751334846019745,0.1155276969075203
to,0.277655690908432,0.27079397439956665,0.48971283435821533,0.15858955681324005,0.2759164571762085,0.47735077142715454,0.455847829580307,0.28460726141929626,0.41548454761505127,0.22643910348415375,0.29463258385658264
share,0.1638995110988617,0.2233125865459442,0.28833726048469543,0.10976288467645645,0.22435007989406586,0.13674965500831604,0.2764742076396942,0.19053596258163452,0.2850857973098755,0.23587995767593384,0.1754547506570816
these,0.17587286233901978,0.24082818627357483,0.5314885973930359,0.14291314780712128,0.19416913390159607,0.380450963973999,0.4164220690727234,0.30441078543663025,0.42684608697891235,0.31816452741622925,0.2571668326854706
stories.political,0.12705668807029724,0.28620097041130066,0.37322989106178284,0.26521870493888855,0.19795957207679749,0.25175532698631287,0.31615960597991943,0.1974799782037735,0.374299019575119,0.36605069041252136,0.22687280178070068
geographers,0.10365360230207443,0.21462397277355194,0.2927792966365814,0.2370406687259674,0.13912047445774078,0.27521857619285583,0.3002808094024658,0.14669913053512573,0.23811832070350647,1.0,0.16675101220607758
such,0.13452593982219696,0.20694491267204285,0.44540345668792725,0.10414350777864456,0.17096449434757233,0.3198639750480652,0.23989605903625488,0.35786283016204834,0.3209529519081116,0.19887742400169373,0.17851735651493073
as,0.1929866224527359,0.32696446776390076,0.49487000703811646,0.16427916288375854,0.26469168066978455,0.35409465432167053,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.1576535552740097,0.27043893933296204
friedrich,0.2165679782629013,0.28137800097465515,0.19365821778774261,1.0000001192092896,0.42860978841781616,0.079897440969944,0.21411612629890442,0.20434781908988953,0.23445762693881989,0.2370406687259674,0.19029006361961365
ratzel,0.26043134927749634,0.33521103858947754,0.24961033463478088,0.42860978841781616,0.9999998807907104,0.15388233959674835,0.23239637911319733,0.23052960634231567,0.26923495531082153,0.13912047445774078,0.2601761519908905
of,0.20848914980888367,0.2569563686847687,0.5116966962814331,0.23445762693881989,0.26923495531082153,0.38066378235816956,0.33290785551071167,0.2285657674074173,1.0,0.23811832070350647,0.1826142966747284
germany,0.25164902210235596,0.24894501268863678,0.29381805658340454,0.4655746817588806,0.3777432441711426,0.20900733768939972,0.21690446138381958,0.18163856863975525,0.2942050099372864,0.1903243064880371,0.1388660967350006
