,what,new,product,did,bank,of,america,introduce,in,1958,?
in,0.30808621644973755,0.3758552670478821,0.17412906885147095,0.2593238651752472,0.2690856158733368,0.5696388483047485,0.3098583221435547,0.18157897889614105,1.0,0.03953266516327858,0.20430970191955566
september,0.2153792530298233,0.2552066147327423,0.11471711844205856,0.2693498432636261,0.14892901480197906,0.16787530481815338,0.17405401170253754,0.11639582365751266,0.25402772426605225,-0.148947075009346,0.2665146589279175
1958,0.05193012207746506,-0.006373331416398287,0.1220618337392807,0.05006914213299751,-0.02361845225095749,0.11629214137792587,-0.011795067228376865,0.05272683501243591,0.03953266516327858,1.0000001192092896,0.009362862445414066
",",0.3087472915649414,0.36073189973831177,0.20782852172851562,0.3015086054801941,0.2756500244140625,0.4946078956127167,0.253568559885025,0.20661146938800812,0.5201468467712402,0.04944115877151489,0.31091248989105225
bank,0.13934029638767242,0.1765076071023941,0.17096073925495148,0.15858957171440125,1.0,0.2346848100423813,0.21493306756019592,0.09605544060468674,0.2690856158733368,-0.02361845225095749,0.09656643867492676
of,0.33290785551071167,0.343457967042923,0.19526132941246033,0.2513895630836487,0.2346848100423813,1.0,0.28803038597106934,0.2043139487504959,0.5696388483047485,0.11629214137792587,0.1826142966747284
america,0.2517423629760742,0.27665242552757263,0.11216466128826141,0.2212076634168625,0.21493306756019592,0.28803038597106934,0.9999998807907104,0.24464498460292816,0.3098583221435547,-0.011795067228376865,0.19333907961845398
launched,0.1668553501367569,0.2090310901403427,0.21042419970035553,0.1794346421957016,0.10937046259641647,0.20039688050746918,0.23791857063770294,0.19970926642417908,0.18876992166042328,0.001612376538105309,0.1803835779428482
a,0.3320399522781372,0.3214259147644043,0.26422351598739624,0.2552328109741211,0.22206707298755646,0.5052502155303955,0.22012436389923096,0.25808990001678467,0.539380669593811,0.2913905084133148,0.23916715383529663
new,0.2130378633737564,0.9999999403953552,0.13742123544216156,0.227974995970726,0.1765076071023941,0.343457967042923,0.27665242552757263,0.2873581051826477,0.3758552670478821,-0.006373331416398287,0.14782847464084625
product,0.2465333193540573,0.13742123544216156,1.0,0.1952403336763382,0.17096073925495148,0.19526132941246033,0.11216466128826141,0.22895461320877075,0.17412906885147095,0.1220618337392807,0.19651241600513458
called,0.3235960602760315,0.2586444020271301,0.23149818181991577,0.277748167514801,0.1417720466852188,0.4222904443740845,0.2626006305217743,0.2256418913602829,0.40847352147102356,0.19701743125915527,0.18963319063186646
bankamericard,0.23255054652690887,0.26234883069992065,0.18036235868930817,0.21366719901561737,0.45092689990997314,0.2885473370552063,0.5338810086250305,0.2865809202194214,0.3301198184490204,-0.045427024364471436,0.18920069932937622
in,0.30808621644973755,0.3758552670478821,0.17412906885147095,0.2593238651752472,0.2690856158733368,0.5696388483047485,0.3098583221435547,0.18157897889614105,1.0,0.03953266516327858,0.20430970191955566
fresno,0.159109428524971,0.27721738815307617,0.08520230650901794,0.1545737385749817,0.13553114235401154,0.1875009983778,0.23944006860256195,0.04353101924061775,0.26126348972320557,-0.1003708690404892,0.13224096596240997
.,0.3567904531955719,0.35031336545944214,0.21721361577510834,0.35288307070732117,0.24876342713832855,0.5352458953857422,0.29180291295051575,0.26207107305526733,0.5591574311256409,0.12896610796451569,0.4130953550338745
