,what,separates,the,neuroimmune,system,and,peripheral,immune,system,in,humans,?
in,0.30808621644973755,0.29497718811035156,0.6662389636039734,0.23048920929431915,0.21978288888931274,0.4954058527946472,0.1917923092842102,0.14682820439338684,0.21978288888931274,1.0,0.23748517036437988,0.20430970191955566
humans,0.28355827927589417,0.13955476880073547,0.29565489292144775,0.4153596758842468,0.2241804003715515,0.36259907484054565,0.2647393047809601,0.3791846036911011,0.2241804003715515,0.23748517036437988,1.0,0.20141740143299103
",",0.3087472915649414,0.2734232246875763,0.4933079481124878,0.19068372249603271,0.18439900875091553,0.6633074283599854,0.20488156378269196,0.15102852880954742,0.18439900875091553,0.5201468467712402,0.2653752565383911,0.31091248989105225
the,0.42745697498321533,0.3609418272972107,1.0,0.2567606568336487,0.3233085572719574,0.5171257257461548,0.24567924439907074,0.21364226937294006,0.3233085572719574,0.6662389636039734,0.29565489292144775,0.22068053483963013
blood–brain,0.2840772271156311,0.3680335283279419,0.3674085736274719,0.5936446189880371,0.2739626169204712,0.35826966166496277,0.5001155138015747,0.4675694704055786,0.2739626169204712,0.2613767087459564,0.3915573060512543,0.22211578488349915
barrier,0.22869759798049927,0.41665664315223694,0.32808300852775574,0.2195391207933426,0.2783268392086029,0.28187382221221924,0.22017592191696167,0.2338794320821762,0.2783268392086029,0.21822910010814667,0.29121658205986023,0.11772116273641586
",",0.3087472915649414,0.2734232246875763,0.4933079481124878,0.19068372249603271,0.18439900875091553,0.6633074283599854,0.20488156378269196,0.15102852880954742,0.18439900875091553,0.5201468467712402,0.2653752565383911,0.31091248989105225
blood–cerebrospinal,0.3034363090991974,0.35091423988342285,0.3430507779121399,0.5819448232650757,0.29505130648612976,0.32562020421028137,0.5153340697288513,0.42194387316703796,0.29505130648612976,0.270068496465683,0.3921149969100952,0.19552047550678253
fluid,0.20682886242866516,0.2216728925704956,0.23256433010101318,0.37412309646606445,0.3003348708152771,0.20163339376449585,0.3683151304721832,0.2836812436580658,0.3003348708152771,0.1272517591714859,0.2550390660762787,0.18212400376796722
barrier,0.22869759798049927,0.41665664315223694,0.32808300852775574,0.2195391207933426,0.2783268392086029,0.28187382221221924,0.22017592191696167,0.2338794320821762,0.2783268392086029,0.21822910010814667,0.29121658205986023,0.11772116273641586
",",0.3087472915649414,0.2734232246875763,0.4933079481124878,0.19068372249603271,0.18439900875091553,0.6633074283599854,0.20488156378269196,0.15102852880954742,0.18439900875091553,0.5201468467712402,0.2653752565383911,0.31091248989105225
