,what,king,and,former,huguenot,looked,out,for,the,welfare,of,the,group,?
the,0.42745697498321533,0.25887003540992737,0.5171257257461548,0.2251449078321457,0.29557526111602783,0.2986898124217987,0.39404502511024475,0.4739971458911896,1.0,0.26062023639678955,0.733189046382904,1.0,0.30795547366142273,0.22068053483963013
uprising,0.1901596337556839,0.24219457805156708,0.20715351402759552,0.24660390615463257,0.36393994092941284,0.1083156019449234,0.18895624577999115,0.1721724420785904,0.2853594124317169,0.23862548172473907,0.2703337073326111,0.2853594124317169,0.24191956222057343,0.13645027577877045
occurred,0.22118957340717316,0.15663333237171173,0.21147121489048004,0.1209869384765625,0.2064426690340042,0.23987597227096558,0.15175782144069672,0.19633254408836365,0.3372073173522949,0.08058054000139236,0.31296631693840027,0.3372073173522949,0.13767670094966888,0.15880417823791504
a,0.3320399522781372,0.18420645594596863,0.3739250600337982,0.2562483549118042,0.22502337396144867,0.2962821125984192,0.34264278411865234,0.44038116931915283,0.5829201340675354,0.20331332087516785,0.5052502155303955,0.5829201340675354,0.2594761848449707,0.23916715383529663
decade,0.1613653302192688,0.10885845124721527,0.14070798456668854,0.11491028219461441,0.1584227830171585,0.15695150196552277,0.1748901903629303,0.2559126317501068,0.2552448511123657,0.19825851917266846,0.15614621341228485,0.2552448511123657,0.21217472851276398,0.11237446963787079
following,0.2506418824195862,0.19462338089942932,0.2696467339992523,0.17925816774368286,0.17710283398628235,0.14280560612678528,0.167931467294693,0.2965082824230194,0.39779382944107056,0.11394806951284409,0.3576679527759552,0.39779382944107056,0.20293135941028595,0.1555173695087433
the,0.42745697498321533,0.25887003540992737,0.5171257257461548,0.2251449078321457,0.29557526111602783,0.2986898124217987,0.39404502511024475,0.4739971458911896,1.0,0.26062023639678955,0.733189046382904,1.0,0.30795547366142273,0.22068053483963013
death,0.2267695665359497,0.27732521295547485,0.1816639006137848,0.22580693662166595,0.22468838095664978,0.14237292110919952,0.15523947775363922,0.19869662821292877,0.21438048779964447,0.15741221606731415,0.23778599500656128,0.21438048779964447,0.03901894763112068,0.21149799227714539
of,0.33290785551071167,0.2938710153102875,0.5116966962814331,0.30415382981300354,0.29061198234558105,0.2575410306453705,0.34176841378211975,0.4185989499092102,0.733189046382904,0.31598109006881714,1.0,0.733189046382904,0.25542253255844116,0.1826142966747284
henry,0.1911626160144806,0.33009418845176697,0.2218981832265854,0.1697331666946411,0.412917822599411,0.1346811056137085,0.17430952191352844,0.20179113745689392,0.2542637586593628,0.1614333987236023,0.2390729784965515,0.2542637586593628,0.12474746257066727,0.16836383938789368
iv,0.1177578791975975,0.38648441433906555,0.22124527394771576,0.11966893821954727,0.2870504558086395,0.07355354726314545,0.12011381983757019,0.11562367528676987,0.22478210926055908,0.177913635969162,0.21761731803417206,0.22478210926055908,0.13770833611488342,0.16932271420955658
",",0.3087472915649414,0.27879971265792847,0.6633074283599854,0.2738454341888428,0.24752236902713776,0.2834377586841583,0.3161109685897827,0.4464869201183319,0.4933079481124878,0.1947304606437683,0.4946078956127167,0.4933079481124878,0.2809832692146301,0.31091248989105225
a,0.3320399522781372,0.18420645594596863,0.3739250600337982,0.2562483549118042,0.22502337396144867,0.2962821125984192,0.34264278411865234,0.44038116931915283,0.5829201340675354,0.20331332087516785,0.5052502155303955,0.5829201340675354,0.2594761848449707,0.23916715383529663
huguenot,0.1912020891904831,0.2899644374847412,0.2762077748775482,0.1598605513572693,1.0000001192092896,0.12744948267936707,0.1277349442243576,0.14738403260707855,0.29557526111602783,0.21291373670101166,0.29061198234558105,0.29557526111602783,0.1790638267993927,0.1359742432832718
before,0.3801657259464264,0.14989300072193146,0.3518902659416199,0.18712657690048218,0.1591743528842926,0.2543925940990448,0.35073143243789673,0.44347289204597473,0.45900648832321167,0.1452082097530365,0.3282964527606964,0.45900648832321167,0.1401464194059372,0.2507109045982361
converting,0.23847343027591705,0.15340213477611542,0.2758786976337433,0.09266242384910583,0.15131141245365143,0.14807716012001038,0.2734037935733795,0.2951624393463135,0.2683429718017578,0.16247791051864624,0.25009793043136597,0.2683429718017578,0.10183334350585938,0.23131810128688812
to,0.455847829580307,0.24476152658462524,0.48971283435821533,0.12857267260551453,0.24496324360370636,0.2871314585208893,0.42386990785598755,0.4451248347759247,0.535392165184021,0.2646935284137726,0.41548454761505127,0.535392165184021,0.2672896385192871,0.29463258385658264
catholicism,0.23693913221359253,0.2388177067041397,0.21806073188781738,0.13256730139255524,0.4735460877418518,0.09698640555143356,0.16568168997764587,0.13447357714176178,0.2436220645904541,0.3228083848953247,0.28712788224220276,0.2436220645904541,0.13304084539413452,0.2233523428440094
",",0.3087472915649414,0.27879971265792847,0.6633074283599854,0.2738454341888428,0.24752236902713776,0.2834377586841583,0.3161109685897827,0.4464869201183319,0.4933079481124878,0.1947304606437683,0.4946078956127167,0.4933079481124878,0.2809832692146301,0.31091248989105225
who,0.40942975878715515,0.24555552005767822,0.41279885172843933,0.25351381301879883,0.32233482599258423,0.3255060017108917,0.3129808306694031,0.37110671401023865,0.3733934462070465,0.25927427411079407,0.2827862501144409,0.3733934462070465,0.33690139651298523,0.26220351457595825
had,0.23849567770957947,0.2493389993906021,0.3872550129890442,0.19759806990623474,0.2470320463180542,0.44507303833961487,0.317210853099823,0.3270139992237091,0.3875846862792969,0.1530589908361435,0.37755560874938965,0.3875846862792969,0.20148104429244995,0.20728366076946259
protected,0.22597423195838928,0.1406111866235733,0.23334509134292603,0.046602193266153336,0.12742453813552856,0.2701878547668457,0.1805013120174408,0.17431022226810455,0.23777265846729279,0.25668081641197205,0.1996251344680786,0.23777265846729279,0.13355565071105957,0.2514227032661438
protestants,0.24296174943447113,0.23888957500457764,0.26846030354499817,0.12395864725112915,0.5046939253807068,0.12529897689819336,0.22358565032482147,0.13563798367977142,0.2936698794364929,0.2876318395137787,0.3160131573677063,0.2936698794364929,0.2277274876832962,0.15855816006660461
through,0.23167094588279724,0.13522017002105713,0.3666759729385376,0.17363330721855164,0.1745111644268036,0.1759738028049469,0.3849549889564514,0.3172857463359833,0.44071322679519653,0.18246902525424957,0.3647414743900299,0.44071322679519653,0.16516810655593872,0.16913433372974396
the,0.42745697498321533,0.25887003540992737,0.5171257257461548,0.2251449078321457,0.29557526111602783,0.2986898124217987,0.39404502511024475,0.4739971458911896,1.0,0.26062023639678955,0.733189046382904,1.0,0.30795547366142273,0.22068053483963013
edict,0.16707053780555725,0.3042566180229187,0.1510496437549591,0.027070287615060806,0.3915477693080902,0.08330566436052322,0.19505587220191956,0.15092115104198456,0.17931364476680756,0.29147663712501526,0.2533416450023651,0.17931364476680756,0.07839324325323105,0.16218337416648865
of,0.33290785551071167,0.2938710153102875,0.5116966962814331,0.30415382981300354,0.29061198234558105,0.2575410306453705,0.34176841378211975,0.4185989499092102,0.733189046382904,0.31598109006881714,1.0,0.733189046382904,0.25542253255844116,0.1826142966747284
nantes,0.13674625754356384,0.2380388230085373,0.2365725338459015,0.11800748854875565,0.5313296914100647,0.08010106533765793,0.09699458628892899,0.1744062602519989,0.20705030858516693,0.23244141042232513,0.21890923380851746,0.20705030858516693,0.08140154927968979,0.15215469896793365
.,0.3567904531955719,0.2334747016429901,0.588965117931366,0.20895031094551086,0.2060975730419159,0.2849854826927185,0.34234723448753357,0.4726039469242096,0.5934505462646484,0.2504311203956604,0.5352458953857422,0.5934505462646484,0.27268800139427185,0.4130953550338745
