,where,was,luther,born,?
martin,0.17186519503593445,0.2089129239320755,0.6228963136672974,0.23424050211906433,0.060103293508291245
luther,0.15538732707500458,0.19185513257980347,1.0,0.13310980796813965,0.1732746809720993
was,0.20731619000434875,1.0000001192092896,0.19185513257980347,0.388632208108902,0.18412111699581146
born,0.21840137243270874,0.388632208108902,0.13310980796813965,1.0,0.19166848063468933
to,0.47735077142715454,0.3636345863342285,0.18029534816741943,0.13695985078811646,0.29463258385658264
hans,0.049414269626140594,0.21729552745819092,0.31312668323516846,0.2458946406841278,0.10353465378284454
luder,0.13409018516540527,0.2763330042362213,0.41309165954589844,0.16452385485172272,0.2584306299686432
(,0.1970011591911316,0.2980341613292694,0.1677781045436859,0.33313798904418945,0.40561532974243164
or,0.3651050925254822,0.2330796718597412,0.14215725660324097,0.08717163652181625,0.32389625906944275
ludher,0.25279757380485535,0.37074023485183716,0.42216745018959045,0.3278628885746002,0.3058914244174957
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,0.37898433208465576,0.31091248989105225
later,0.2942849397659302,0.5684447288513184,0.23796728253364563,0.2462976723909378,0.1417175978422165
luther,0.15538732707500458,0.19185513257980347,1.0,0.13310980796813965,0.1732746809720993
),0.20711064338684082,0.3267642855644226,0.18587662279605865,0.3665171265602112,0.42300865054130554
and,0.43859338760375977,0.3740963041782379,0.20796556770801544,0.25002726912498474,0.20544172823429108
his,0.29880598187446594,0.4405253231525421,0.27093374729156494,0.3081984519958496,0.18075084686279297
wife,0.18904879689216614,0.3110053539276123,0.22566832602024078,0.34980282187461853,0.19987250864505768
margarethe,0.17340536415576935,0.3101394772529602,0.37143072485923767,0.3574087619781494,0.14453202486038208
(,0.1970011591911316,0.2980341613292694,0.1677781045436859,0.33313798904418945,0.40561532974243164
née,0.11182258278131485,0.2249056100845337,0.21370655298233032,0.5258094668388367,0.16017700731754303
lindemann,0.1509753316640854,0.33008402585983276,0.3656277060508728,0.3039197623729706,0.1846589297056198
),0.20711064338684082,0.3267642855644226,0.18587662279605865,0.3665171265602112,0.42300865054130554
on,0.37630224227905273,0.3909217119216919,0.19090485572814941,0.19591502845287323,0.2714994251728058
10,0.13676679134368896,0.16597506403923035,0.12238068878650665,0.13198421895503998,0.022911956533789635
november,0.22547143697738647,0.4240739941596985,0.13507653772830963,0.47424811124801636,0.3159552216529846
1483,-0.14926907420158386,-0.00032883958192542195,0.05474648252129555,0.1513117104768753,-0.08135565370321274
in,0.5344807505607605,0.45514053106307983,0.20523880422115326,0.30027052760124207,0.20430970191955566
eisleben,0.1478365659713745,0.2786927819252014,0.4205946624279022,0.2294667661190033,0.19898785650730133
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,0.37898433208465576,0.31091248989105225
saxony,0.1603233814239502,0.23233024775981903,0.2548035979270935,0.17538410425186157,0.17603406310081482
",",0.3149496018886566,0.45456063747406006,0.23255878686904907,0.37898433208465576,0.31091248989105225
then,0.5403340458869934,0.27044644951820374,0.21809370815753937,0.15946948528289795,0.2884598970413208
part,0.3328706920146942,0.3407018780708313,0.12887465953826904,0.1926203966140747,0.08557961881160736
of,0.38066378235816956,0.4069072902202606,0.1719115972518921,0.19769194722175598,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,0.1759674996137619,0.19202874600887299,0.22068053483963013
holy,0.20654632151126862,0.19543759524822235,0.21725739538669586,0.10481396317481995,0.18148104846477509
roman,0.18148501217365265,0.23496849834918976,0.19715401530265808,0.15024292469024658,0.1663191318511963
empire,0.13747228682041168,0.30602675676345825,0.10935846716165543,0.18968872725963593,0.14909450709819794
.,0.41390106081962585,0.40146201848983765,0.24907569587230682,0.2350279539823532,0.4130953550338745
