,who,is,taught,at,teacher,'s,colleges,?
there,0.2844357192516327,0.3904260993003845,0.20453226566314697,0.37649083137512207,0.16854271292686462,-0.04860968142747879,0.2452361136674881,0.29405656456947327
are,0.27294138073921204,0.5330929756164551,0.15458330512046814,0.2074895054101944,0.09182974696159363,-0.008927806280553341,0.26040151715278625,0.24591213464736938
a,0.36608949303627014,0.658733606338501,0.17421811819076538,0.3095070421695709,0.31202319264411926,0.04866964742541313,0.21794883906841278,0.23916715383529663
variety,0.15316954255104065,0.1789252758026123,0.21597814559936523,0.13281862437725067,0.176542267203331,0.01577920839190483,0.16091787815093994,0.13376861810684204
of,0.2827862501144409,0.4854315221309662,0.23614580929279327,0.42558613419532776,0.19968076050281525,-0.03817026689648628,0.31927260756492615,0.1826142966747284
bodies,0.24009382724761963,0.22389735281467438,0.11524763703346252,0.15140984952449799,0.06329714506864548,0.0661325752735138,0.2329959124326706,0.18285469710826874
designed,0.21097040176391602,0.18406619131565094,0.2424130141735077,0.23261167109012604,0.1523776650428772,0.026795532554388046,0.18714381754398346,0.11213942617177963
to,0.42656609416007996,0.42745086550712585,0.25677984952926636,0.36524343490600586,0.1991342306137085,0.03782717138528824,0.25310638546943665,0.29463258385658264
instill,0.23926874995231628,0.17430245876312256,0.26411160826683044,0.2884427309036255,0.15002305805683136,-0.009392589330673218,0.3276081085205078,0.2181539535522461
",",0.3365725874900818,0.4691906273365021,0.2902868986129761,0.38314947485923767,0.2884024977684021,-0.0016132977325469255,0.2773089110851288,0.31091248989105225
preserve,0.161620631814003,0.24336281418800354,0.11686905473470688,0.11110349744558334,0.06377744674682617,-0.04115463048219681,0.14840219914913177,0.11936275660991669
and,0.41279885172843933,0.3859752118587494,0.2735629677772522,0.3571503460407257,0.27571162581443787,0.06895173341035843,0.309615820646286,0.20544172823429108
update,0.12957695126533508,0.1550508290529251,0.040982071310281754,0.18894268572330475,0.09158146381378174,-0.11348000913858414,0.1561274230480194,0.38474005460739136
the,0.3733934462070465,0.5823672413825989,0.17271466553211212,0.457212895154953,0.17760860919952393,-0.01540423184633255,0.2200278788805008,0.22068053483963013
knowledge,0.3135462999343872,0.18001945316791534,0.3677210807800293,0.11899705231189728,0.2817149758338928,0.1227627545595169,0.22883467376232147,0.2853184640407562
and,0.41279885172843933,0.3859752118587494,0.2735629677772522,0.3571503460407257,0.27571162581443787,0.06895173341035843,0.309615820646286,0.20544172823429108
professional,0.2792035639286041,0.2246137410402298,0.23489037156105042,0.1965961456298828,0.265836626291275,0.0021761637181043625,0.2781856656074524,0.13074518740177155
standing,0.29209479689598083,0.23029260337352753,0.13016201555728912,0.24955430626869202,0.13845549523830414,-0.062237318605184555,0.20021115243434906,0.11972658336162567
of,0.2827862501144409,0.4854315221309662,0.23614580929279327,0.42558613419532776,0.19968076050281525,-0.03817026689648628,0.31927260756492615,0.1826142966747284
teachers,0.34250906109809875,0.15701442956924438,0.58847576379776,0.24201591312885284,0.7334206104278564,0.044750411063432693,0.5162864327430725,0.19522249698638916
.,0.3541337847709656,0.4569662809371948,0.25649359822273254,0.4549728035926819,0.225234717130661,-0.003708066651597619,0.2763740122318268,0.4130953550338745
,who,is,taught,at,teacher,'s,colleges,?
around,0.2775672674179077,0.286477267742157,0.17080922424793243,0.350727915763855,0.13865794241428375,-0.039796680212020874,0.1316639930009842,0.14729668200016022
the,0.3733934462070465,0.5823672413825989,0.17271466553211212,0.457212895154953,0.17760860919952393,-0.01540423184633255,0.2200278788805008,0.22068053483963013
world,0.25158336758613586,0.24458536505699158,0.15838128328323364,0.22825311124324799,0.1239258274435997,0.11877062171697617,0.22141499817371368,0.17579582333564758
many,0.4149286150932312,0.2649032473564148,0.3041808307170868,0.2716965675354004,0.16581547260284424,0.01698932610452175,0.24727776646614075,0.2124512493610382
governments,0.31170156598091125,0.203748419880867,0.18400044739246368,0.16109837591648102,0.11148720234632492,0.03380228206515312,0.29296743869781494,0.18805137276649475
