,who,mentored,buyantu,?
he,0.5500732064247131,0.3315933644771576,0.25679051876068115,0.2089974731206894
had,0.36173108220100403,0.25562068819999695,0.2291754186153412,0.20728366076946259
been,0.3295723795890808,0.31745776534080505,0.11920494586229324,0.24354910850524902
mentored,0.3528439998626709,1.0,0.17641893029212952,0.33795222640037537
by,0.39727845788002014,0.25510352849960327,0.16530384123325348,0.17966607213020325
li,0.17877277731895447,0.14118105173110962,0.20138970017433167,0.17020992934703827
meng,0.2952442765235901,0.3609057664871216,0.27598631381988525,0.20475547015666962
",",0.3365725874900818,0.2892068326473236,0.2901293635368347,0.31091248989105225
a,0.36608949303627014,0.22080017626285553,0.30885547399520874,0.23916715383529663
confucian,0.2804688811302185,0.340145081281662,0.37522464990615845,0.19014938175678253
academic,0.24013254046440125,0.22841934859752655,0.2815181016921997,0.11011603474617004
.,0.3541337847709656,0.2681892216205597,0.28184205293655396,0.4130953550338745
