,how,many,times,have,the,panthers,been,in,the,super,bowl,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.40389683842658997,1.0,0.2602776288986206,0.3563927710056305,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
broncos,0.11217407882213593,0.1706678420305252,0.1636822521686554,0.16986088454723358,0.25985947251319885,0.5347585678100586,0.10914381593465805,0.20316283404827118,0.25985947251319885,0.36141330003738403,0.4351775348186493,0.18377114832401276
finished,0.18142320215702057,0.15678347647190094,0.19966097176074982,0.17094801366329193,0.2754973769187927,0.2405824065208435,0.24250034987926483,0.2933714687824249,0.2754973769187927,0.2583681046962738,0.26552706956863403,0.14789283275604248
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.40389683842658997,1.0,0.2602776288986206,0.3563927710056305,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
regular,0.2358456701040268,0.31490984559059143,0.27690958976745605,0.3675557076931,0.3214086890220642,0.2117871195077896,0.26702791452407837,0.23172755539417267,0.3214086890220642,0.21446830034255981,0.2318909466266632,0.18334713578224182
season,0.13036081194877625,0.14251810312271118,0.1839992105960846,0.20235268771648407,0.2507155239582062,0.3867887854576111,0.1832963228225708,0.2184021919965744,0.2507155239582062,0.2755677402019501,0.3117852509021759,0.16793298721313477
with,0.3525622487068176,0.35744401812553406,0.3026435673236847,0.48046383261680603,0.4223487675189972,0.23276561498641968,0.2804456949234009,0.4080928862094879,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.2433311939239502
a,0.29312583804130554,0.2872205972671509,0.2745400369167328,0.338716596364975,0.5829201340675354,0.2255268394947052,0.3315402865409851,0.539380669593811,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.23916715383529663
12–4,0.2203845977783203,0.05484515428543091,0.052656542509794235,0.11413563787937164,0.06233663484454155,0.016374750062823296,0.038265783339738846,0.019164228811860085,0.06233663484454155,0.07920704782009125,0.060973159968853,0.4863562285900116
record,0.1698412001132965,0.17106595635414124,0.25687506794929504,0.23839209973812103,0.23569516837596893,0.218548983335495,0.22449912130832672,0.23162534832954407,0.23569516837596893,0.2505435347557068,0.24389338493347168,0.14407116174697876
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3541618287563324,0.4933079481124878,0.2494642585515976,0.34873589873313904,0.5201468467712402,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.4711785912513733,0.5171257257461548,0.2230100929737091,0.3424558639526367,0.4954058527946472,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.20544172823429108
denied,0.19740407168865204,0.22044157981872559,0.18101198971271515,0.3230454623699188,0.22753532230854034,0.15476089715957642,0.38129347562789917,0.2281353622674942,0.22753532230854034,0.13265404105186462,0.10480634868144989,0.2030181586742401
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.40389683842658997,1.0,0.2602776288986206,0.3563927710056305,0.6662389636039734,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
new,0.20832711458206177,0.2992318272590637,0.2618185877799988,0.2689777910709381,0.3845241069793701,0.2522614002227783,0.295974463224411,0.3758552670478821,0.3845241069793701,0.2769954204559326,0.1471257209777832,0.14782847464084625
england,0.17829500138759613,0.2581256926059723,0.17613744735717773,0.21146592497825623,0.28280043601989746,0.1937161087989807,0.22950974106788635,0.33311840891838074,0.28280043601989746,0.1663348525762558,0.2602803111076355,0.13436897099018097
