,what,must,a,project,adhere,to,?
the,0.42745697498321533,0.2713140547275543,0.5829201340675354,0.2027820199728012,0.24263660609722137,0.535392165184021,0.22068053483963013
project,0.27033838629722595,0.14851504564285278,0.2328382134437561,1.0,0.18927761912345886,0.28750085830688477,0.30569031834602356
must,0.30362528562545776,1.0,0.3016769587993622,0.14851504564285278,0.35103273391723633,0.43356871604919434,0.23707495629787445
adhere,0.31481921672821045,0.35103273391723633,0.2292526662349701,0.18927761912345886,0.9999998807907104,0.31780561804771423,0.3102562129497528
to,0.455847829580307,0.43356871604919434,0.45503583550453186,0.28750085830688477,0.31780561804771423,1.0,0.29463258385658264
zoning,0.2967390716075897,0.237445667386055,0.2683696448802948,0.15422305464744568,0.263565331697464,0.2841554284095764,0.1555338352918625
and,0.31309178471565247,0.33253467082977295,0.3739250600337982,0.23249590396881104,0.24655722081661224,0.48971283435821533,0.20544172823429108
building,0.23529528081417084,0.16345065832138062,0.2576078176498413,0.2786315977573395,0.20413047075271606,0.2658686637878418,0.13549931347370148
code,0.2450651079416275,0.21931575238704681,0.22008100152015686,0.2243272364139557,0.17105357348918915,0.2037702053785324,0.22105959057807922
requirements,0.32438647747039795,0.5108243227005005,0.24776260554790497,0.2176559418439865,0.37177225947380066,0.33546167612075806,0.2940613329410553
.,0.3567904531955719,0.27722811698913574,0.50484299659729,0.23938670754432678,0.2236611545085907,0.4645031690597534,0.4130953550338745
