,as,of,january,2016,how,many,digits,does,the,largest,known,prime,consist,of,?
as,1.0,0.3886612355709076,0.2418142855167389,0.04721202328801155,0.33782753348350525,0.4070141911506653,0.1701042801141739,0.31202155351638794,0.48381632566452026,0.1819920688867569,0.4815765619277954,0.17482610046863556,0.24057269096374512,0.3886612355709076,0.27043893933296204
of,0.3886612355709076,1.0,0.19923388957977295,0.1386374831199646,0.2480744868516922,0.37253960967063904,0.2347164899110794,0.3119818866252899,0.733189046382904,0.36650770902633667,0.35814476013183594,0.23935265839099884,0.34433460235595703,1.0,0.1826142966747284
january,0.2418142855167389,0.19923388957977295,1.0000001192092896,-0.22341735661029816,0.11096196621656418,0.11292167752981186,0.11029935628175735,0.1196434274315834,0.2467057853937149,0.11103907227516174,0.14506103098392487,0.2559850215911865,0.07289788872003555,0.19923388957977295,0.28608936071395874
2016,0.04721202328801155,0.1386374831199646,-0.22341735661029816,0.9999999403953552,0.14724914729595184,0.19774702191352844,0.024380119517445564,0.13919390738010406,0.11571308970451355,0.034010134637355804,0.0227084681391716,-0.013407900929450989,0.008219080045819283,0.1386374831199646,-0.12147852033376694
[,0.018050309270620346,0.010817250236868858,0.034401293843984604,-0.018090656027197838,0.03530287742614746,0.1508627086877823,0.0002746820100583136,-0.04333333671092987,0.07130392640829086,0.08455614745616913,-0.024992838501930237,-0.021355867385864258,0.055340830236673355,0.010817250236868858,0.011015460826456547
update,0.17943543195724487,0.12521608173847198,0.21115624904632568,0.03177126869559288,0.2694169878959656,0.18542030453681946,0.15526489913463593,0.24337095022201538,0.20815779268741608,0.047774504870176315,0.06041039526462555,0.1159435287117958,0.1628275066614151,0.12521608173847198,0.38474005460739136
],-0.03319411352276802,-0.035044461488723755,0.0034167056437581778,-0.01550108753144741,0.06738625466823578,-0.016180947422981262,0.02670358307659626,0.018593570217490196,-0.04779602214694023,0.11986489593982697,0.05155499652028084,0.06235257163643837,-0.01639767363667488,-0.035044461488723755,-0.0022520492784678936
",",0.48816442489624023,0.4946078956127167,0.4213674068450928,-0.10076791793107986,0.22659391164779663,0.40610817074775696,0.23698370158672333,0.28617382049560547,0.4933079481124878,0.26626327633857727,0.3604377806186676,0.2565026581287384,0.23239316046237946,0.4946078956127167,0.31091248989105225
the,0.48381632566452026,0.733189046382904,0.2467057853937149,0.11571308970451355,0.33890387415885925,0.4335206151008606,0.25475579500198364,0.35928019881248474,1.0,0.3757036626338959,0.3624623417854309,0.19960100948810577,0.2698076069355011,0.733189046382904,0.22068053483963013
largest,0.1819920688867569,0.36650770902633667,0.11103907227516174,0.034010134637355804,0.08743762224912643,0.23644231259822845,0.20674076676368713,0.18477381765842438,0.3757036626338959,0.9999999403953552,0.2938424348831177,0.16202932596206665,0.18665874004364014,0.36650770902633667,0.12401245534420013
known,0.4815765619277954,0.35814476013183594,0.14506103098392487,0.0227084681391716,0.16194356977939606,0.30594465136528015,0.1228368878364563,0.24860821664333344,0.3624623417854309,0.2938424348831177,1.0,0.1414610892534256,0.21579885482788086,0.35814476013183594,0.18314571678638458
prime,0.17482610046863556,0.23935265839099884,0.2559850215911865,-0.013407900929450989,0.0754077360033989,0.12904198467731476,0.2232404202222824,0.19604897499084473,0.19960100948810577,0.16202932596206665,0.1414610892534256,1.0,0.1187165230512619,0.23935265839099884,0.11276303976774216
number,0.26786008477211,0.2778518795967102,0.10918412357568741,0.09368456155061722,0.2725796401500702,0.41408368945121765,0.4649045765399933,0.1831183135509491,0.35145696997642517,0.2101866453886032,0.15307225286960602,0.2556258738040924,0.27172017097473145,0.2778518795967102,0.19256845116615295
has,0.351646363735199,0.3909035325050354,0.19119103252887726,0.1041107326745987,0.26820555329322815,0.4266262650489807,0.23583261668682098,0.42885294556617737,0.4177538752555847,0.24081888794898987,0.2451976239681244,0.17349666357040405,0.2830907702445984,0.3909035325050354,0.15994466841220856
"22,338,618",0.08009947091341019,0.08203618228435516,-0.008080290630459785,-0.04475591331720352,0.1908969283103943,0.22955527901649475,0.08489759266376495,0.19061675667762756,0.16744941473007202,0.12060022354125977,0.0858912393450737,-0.04520520940423012,0.19061055779457092,0.08203618228435516,0.1263948529958725
decimal,0.17260891199111938,0.15272025763988495,0.11567835509777069,0.03908217325806618,0.187602236866951,0.15946093201637268,0.6596532464027405,0.1435919553041458,0.20602402091026306,0.09805367141962051,0.12091871351003647,0.1971045285463333,0.14313775300979614,0.15272025763988495,0.17741486430168152
digits,0.1701042801141739,0.2347164899110794,0.11029935628175735,0.024380119517445564,0.15000635385513306,0.1630389392375946,1.0,0.21529242396354675,0.25475579500198364,0.20674076676368713,0.1228368878364563,0.2232404202222824,0.24319691956043243,0.2347164899110794,0.1597343236207962
.,0.515582263469696,0.5352458953857422,0.36771366000175476,-0.0580042228102684,0.3287222981452942,0.3974229395389557,0.21126769483089447,0.3022993505001068,0.5934505462646484,0.18871670961380005,0.283290296792984,0.17658381164073944,0.15803883969783783,0.5352458953857422,0.4130953550338745
