,during,which,years,was,the,plague,present,in,islamic,countries,?
plague,0.25791043043136597,0.25075629353523254,0.22512836754322052,0.24312011897563934,0.2537761330604553,0.9999999403953552,0.14942631125450134,0.2488756626844406,0.23060700297355652,0.2480633556842804,0.11872942000627518
was,0.4470829963684082,0.2830964922904968,0.35855233669281006,1.0000001192092896,0.48711544275283813,0.24312011897563934,0.1278916448354721,0.45514053106307983,0.19776177406311035,0.24139733612537384,0.18412111699581146
present,0.17243392765522003,0.27609559893608093,0.2789352238178253,0.1278916448354721,0.2829846143722534,0.14942631125450134,1.0000001192092896,0.23905439674854279,0.09335434436798096,0.126310333609581,0.21759982407093048
in,0.4627237319946289,0.4840516746044159,0.33554986119270325,0.45514053106307983,0.6662389636039734,0.2488756626844406,0.23905439674854279,1.0,0.19633598625659943,0.3027990758419037,0.20430970191955566
at,0.372769296169281,0.3286694884300232,0.2851444482803345,0.36707764863967896,0.457212895154953,0.14142930507659912,0.1722293496131897,0.4374977946281433,0.15494410693645477,0.22066599130630493,0.21978627145290375
least,0.2515266537666321,0.38271406292915344,0.3112877905368805,0.20791326463222504,0.3428877890110016,0.27108481526374817,0.2280004769563675,0.3232700824737549,0.21942965686321259,0.23814105987548828,0.28866854310035706
one,0.3187117278575897,0.510688066482544,0.33127376437187195,0.3752199709415436,0.5514441132545471,0.1870330423116684,0.23905925452709198,0.4129433035850525,0.21089297533035278,0.3113413453102112,0.2673267424106598
location,0.15358349680900574,0.23728391528129578,0.12534326314926147,0.1839360147714615,0.351087361574173,0.145988330245018,0.20776712894439697,0.3397608697414398,0.10988423973321915,0.17982569336891174,0.15759775042533875
in,0.4627237319946289,0.4840516746044159,0.33554986119270325,0.45514053106307983,0.6662389636039734,0.2488756626844406,0.23905439674854279,1.0,0.19633598625659943,0.3027990758419037,0.20430970191955566
the,0.4838213622570038,0.6521818041801453,0.2912273406982422,0.48711544275283813,1.0,0.2537761330604553,0.2829846143722534,0.6662389636039734,0.27231070399284363,0.33290645480155945,0.22068053483963013
islamic,0.2328358292579651,0.21128115057945251,0.1324624866247177,0.19776177406311035,0.27231070399284363,0.23060700297355652,0.09335434436798096,0.19633598625659943,0.9999999403953552,0.32931244373321533,0.1692383587360382
world,0.37288811802864075,0.29213306307792664,0.27430468797683716,0.3097524344921112,0.33604270219802856,0.16032302379608154,0.10021138936281204,0.3038199245929718,0.235288605093956,0.37250030040740967,0.17579582333564758
virtually,0.2285744547843933,0.42412397265434265,0.28292664885520935,0.22503095865249634,0.29132160544395447,0.22321833670139313,0.2119586318731308,0.2896645963191986,0.20131927728652954,0.17940528690814972,0.18244148790836334
every,0.3140048384666443,0.4810190498828888,0.28271207213401794,0.23630550503730774,0.4023689329624176,0.22447167336940765,0.18228593468666077,0.31953179836273193,0.22270363569259644,0.27517271041870117,0.24066033959388733
year,0.3447895348072052,0.242343008518219,0.5195499062538147,0.3209837079048157,0.3609684407711029,0.17085100710391998,0.15286490321159363,0.3359307050704956,0.1916927844285965,0.2041148692369461,0.18315006792545319
between,0.36201924085617065,0.395174115896225,0.2583497166633606,0.24048170447349548,0.39067012071609497,0.13008351624011993,0.11493237316608429,0.41100412607192993,0.1442839801311493,0.24874255061149597,0.12887074053287506
1500,-0.01872118189930916,-0.013378764502704144,-0.0693371370434761,-0.1083916649222374,-0.03235486149787903,0.061203788965940475,0.032178111374378204,-0.03018064983189106,0.005386433098465204,-0.06425688415765762,0.08418000489473343
and,0.36462149024009705,0.506277859210968,0.300204873085022,0.3740963041782379,0.5171257257461548,0.2229994833469391,0.2790124714374542,0.4954058527946472,0.2192772477865219,0.37200918793678284,0.20544172823429108
1850,0.03040042519569397,0.27615368366241455,0.04602726176381111,-0.008545506745576859,0.15979310870170593,0.09596511721611023,0.09064328670501709,0.10522118210792542,0.21557876467704773,0.26151955127716064,0.369617223739624
.,0.3485563397407532,0.45942068099975586,0.31919315457344055,0.40146201848983765,0.5934505462646484,0.2547653317451477,0.23765113949775696,0.5591574311256409,0.20520655810832977,0.27938392758369446,0.4130953550338745
