,commensal,flora,can,change,what,specific,conditions,of,their,environment,in,the,gastrointestinal,tract,?
within,0.32038992643356323,0.14193876087665558,0.27913734316825867,0.21738266944885254,0.2498195916414261,0.3875446617603302,0.252938449382782,0.39594778418540955,0.2749227285385132,0.2965182662010193,0.40576374530792236,0.39827480912208557,0.24386505782604218,0.1650604009628296,0.1870293766260147
the,0.27972808480262756,0.20268896222114563,0.312528520822525,0.3641999065876007,0.42745697498321533,0.3501757085323334,0.2622014284133911,0.733189046382904,0.516537070274353,0.25819888710975647,0.6662389636039734,1.0,0.2552933990955353,0.2717020511627197,0.22068053483963013
genitourinary,0.4805183410644531,0.31727272272109985,0.28086236119270325,0.229365736246109,0.23110121488571167,0.25478482246398926,0.2938785254955292,0.35639914870262146,0.2914603650569916,0.2903355062007904,0.32273584604263306,0.3590944707393646,0.5973637104034424,0.48845231533050537,0.19126112759113312
and,0.2978975176811218,0.2078494280576706,0.3675691485404968,0.2438346892595291,0.31309178471565247,0.25608575344085693,0.252461701631546,0.5116966962814331,0.45114588737487793,0.2753470242023468,0.4954058527946472,0.5171257257461548,0.2560664713382721,0.22782114148139954,0.20544172823429108
gastrointestinal,0.45799803733825684,0.30680158734321594,0.34098950028419495,0.17403122782707214,0.2256762981414795,0.29450175166130066,0.34380507469177246,0.28050732612609863,0.25564125180244446,0.2547709345817566,0.221413254737854,0.2552933990955353,1.0000001192092896,0.5679513216018677,0.20382177829742432
tracts,0.33446305990219116,0.2134375423192978,0.22658903896808624,0.17929036915302277,0.15946510434150696,0.13832992315292358,0.25353357195854187,0.21253736317157745,0.22233879566192627,0.17725126445293427,0.1420632302761078,0.2607915997505188,0.3756689131259918,0.7698282599449158,0.0587497279047966
",",0.27843400835990906,0.29082822799682617,0.3139454126358032,0.2752361297607422,0.3087472915649414,0.24305859208106995,0.17239321768283844,0.4946078956127167,0.3045167922973633,0.2742449939250946,0.5201468467712402,0.4933079481124878,0.28480273485183716,0.22688284516334534,0.31091248989105225
commensal,1.0000001192092896,0.37043219804763794,0.31703153252601624,0.3088189661502838,0.22648678719997406,0.33046501874923706,0.3458162546157837,0.30649134516716003,0.2885262072086334,0.3516058921813965,0.2702420651912689,0.27972808480262756,0.45799803733825684,0.3538529574871063,0.2187512069940567
flora,0.37043219804763794,1.0000001192092896,0.09986542165279388,0.09988155961036682,0.13238652050495148,0.12689638137817383,0.19646815955638885,0.21338418126106262,0.08677040785551071,0.28607767820358276,0.17919102311134338,0.20268896222114563,0.30680158734321594,0.2382756620645523,0.1372746229171753
serve,0.24000342190265656,0.08720827102661133,0.2687356472015381,0.2123822718858719,0.23061832785606384,0.3953566551208496,0.21737712621688843,0.2656401991844177,0.26932522654533386,0.17847681045532227,0.20702329277992249,0.2749462425708771,0.19878867268562317,0.17781752347946167,0.19925682246685028
as,0.32741084694862366,0.170885369181633,0.3245031237602234,0.37273192405700684,0.31749409437179565,0.25336480140686035,0.23607788980007172,0.3886612355709076,0.29218852519989014,0.24648141860961914,0.3887844979763031,0.48381632566452026,0.17139308154582977,0.13274075090885162,0.27043893933296204
biological,0.49614623188972473,0.3461587727069855,0.2803962528705597,0.1973966509103775,0.23008453845977783,0.36537009477615356,0.28436142206192017,0.315677285194397,0.30229777097702026,0.3815279006958008,0.22642338275909424,0.22739484906196594,0.38007470965385437,0.19746676087379456,0.15755151212215424
barriers,0.31474435329437256,0.0743737518787384,0.3421984314918518,0.2472623884677887,0.22092224657535553,0.2596580386161804,0.38204923272132874,0.20672127604484558,0.3165207803249359,0.3393372595310211,0.19009177386760712,0.2820606231689453,0.27501150965690613,0.24653950333595276,0.12831342220306396
by,0.20237919688224792,0.17452411353588104,0.29642900824546814,0.2329561412334442,0.2455483376979828,0.2610040307044983,0.18849025666713715,0.3646814823150635,0.3242124021053314,0.15333500504493713,0.370934396982193,0.4408751428127289,0.13902083039283752,0.21239453554153442,0.17966607213020325
competing,0.22502873837947845,0.11773976683616638,0.15156689286231995,0.13285398483276367,0.24616995453834534,0.20636345446109772,0.2607889771461487,0.19861507415771484,0.24995701014995575,0.2355930358171463,0.24096709489822388,0.25845134258270264,0.12524375319480896,0.1114564761519432,0.1428171843290329
