,the,steps,around,the,water,feature,can,be,drained,for,what,uses,?
the,1.0,0.252070814371109,0.40085816383361816,1.0,0.297396719455719,0.3053930699825287,0.312528520822525,0.4248143136501312,0.32451367378234863,0.4739971458911896,0.42745697498321533,0.2830192744731903,0.22068053483963013
design,0.27913451194763184,0.19289033114910126,0.1946551352739334,0.27913451194763184,0.17718811333179474,0.2821003496646881,0.18683739006519318,0.2264687865972519,0.11630590260028839,0.2477298229932785,0.23893405497074127,0.20050445199012756,0.16351860761642456
is,0.5823672413825989,0.21692372858524323,0.286477267742157,0.5823672413825989,0.2879090905189514,0.2553035318851471,0.44256699085235596,0.4819129705429077,0.2827836871147156,0.43268078565597534,0.28837618231773376,0.41359779238700867,0.22961433231830597
a,0.5829201340675354,0.24283766746520996,0.3187784254550934,0.5829201340675354,0.2979097068309784,0.2832804024219513,0.3915780484676361,0.39883795380592346,0.23058611154556274,0.44038116931915283,0.3320399522781372,0.35566505789756775,0.23916715383529663
subtle,0.22949697077274323,0.19396677613258362,0.19027645885944366,0.22949697077274323,0.21146410703659058,0.273336261510849,0.34052571654319763,0.32341068983078003,0.19016967713832855,0.26214730739593506,0.37590155005455017,0.30073755979537964,0.19043481349945068
blend,0.18428699672222137,0.113597571849823,0.11463373154401779,0.18428699672222137,0.25916314125061035,0.23607678711414337,0.23894505202770233,0.22699810564517975,0.2589160203933716,0.2070685476064682,0.18345262110233307,0.23639090359210968,0.09344823658466339
of,0.733189046382904,0.21110065281391144,0.3296394646167755,0.733189046382904,0.2741255462169647,0.2117752879858017,0.2603091299533844,0.33904364705085754,0.29501670598983765,0.4185989499092102,0.33290785551071167,0.2738003432750702,0.1826142966747284
the,1.0,0.252070814371109,0.40085816383361816,1.0,0.297396719455719,0.3053930699825287,0.312528520822525,0.4248143136501312,0.32451367378234863,0.4739971458911896,0.42745697498321533,0.2830192744731903,0.22068053483963013
traditional,0.25703898072242737,0.16397373378276825,0.19880925118923187,0.25703898072242737,0.20994848012924194,0.20020003616809845,0.20602285861968994,0.2557537257671356,0.17653486132621765,0.24382615089416504,0.20066824555397034,0.3142792880535126,0.1327509582042694
and,0.5171257257461548,0.2354552447795868,0.34341543912887573,0.5171257257461548,0.3054247498512268,0.29179611802101135,0.3675691485404968,0.41766801476478577,0.29808104038238525,0.5064792633056641,0.31309178471565247,0.2964407801628113,0.20544172823429108
modern,0.3283970355987549,0.21904461085796356,0.19189168512821198,0.3283970355987549,0.17969892919063568,0.1877819001674652,0.16479086875915527,0.2118767350912094,0.20315198600292206,0.22431503236293793,0.2655639946460724,0.27035388350486755,0.12475407868623734
",",0.4933079481124878,0.21803367137908936,0.3298884332180023,0.4933079481124878,0.26706066727638245,0.22241170704364777,0.3139454126358032,0.39254459738731384,0.2435433715581894,0.4464869201183319,0.3087472915649414,0.28387847542762756,0.31091248989105225
the,1.0,0.252070814371109,0.40085816383361816,1.0,0.297396719455719,0.3053930699825287,0.312528520822525,0.4248143136501312,0.32451367378234863,0.4739971458911896,0.42745697498321533,0.2830192744731903,0.22068053483963013
layout,0.22861109673976898,0.22844333946704865,0.28456950187683105,0.22861109673976898,0.14192312955856323,0.31744709610939026,0.20492993295192719,0.24798975884914398,0.12283333390951157,0.23329615592956543,0.251471608877182,0.26065927743911743,0.16854165494441986
is,0.5823672413825989,0.21692372858524323,0.286477267742157,0.5823672413825989,0.2879090905189514,0.2553035318851471,0.44256699085235596,0.4819129705429077,0.2827836871147156,0.43268078565597534,0.28837618231773376,0.41359779238700867,0.22961433231830597
formal,0.245810866355896,0.2645876705646515,0.14439889788627625,0.245810866355896,0.11025410145521164,0.11809337884187698,0.20623193681240082,0.2562829256057739,0.11781595647335052,0.3605612814426422,0.26485171914100647,0.2360011488199234,0.1989586055278778
;,0.09152708947658539,-0.007739221211522818,-0.026605552062392235,0.09152708947658539,0.007055493537336588,0.0473792739212513,0.05390199273824692,0.06185305491089821,0.03152158483862877,0.0293948445469141,0.10986888408660889,0.06941033154726028,0.10349778085947037
