,if,a,detention,asks,the,student,to,write,",",what,do,they,write,?
during,0.2040780633687973,0.30341604351997375,0.29178091883659363,0.1326681524515152,0.4838213622570038,0.18758854269981384,0.2828781306743622,0.1285650134086609,0.3225448727607727,0.24137552082538605,0.1831897497177124,0.31528279185295105,0.1285650134086609,0.1325719803571701
detention,0.2565058767795563,0.27227821946144104,1.0,0.22678568959236145,0.30999425053596497,0.27738720178604126,0.3404255509376526,0.11567998677492142,0.24436593055725098,0.2523995339870453,0.11734329909086227,0.2646333873271942,0.11567998677492142,0.16637463867664337
",",0.257730096578598,0.427140474319458,0.24436593055725098,0.21464002132415771,0.4933079481124878,0.2261858433485031,0.44245919585227966,0.24658997356891632,1.0000001192092896,0.3087472915649414,0.3283645510673523,0.390799880027771,0.24658997356891632,0.31091248989105225
students,0.17794249951839447,0.2676560878753662,0.25119927525520325,0.21669729053974152,0.25268980860710144,0.7746244072914124,0.2905822694301605,0.3078335225582123,0.26501646637916565,0.2380729615688324,0.23736460506916046,0.2993403673171997,0.3078335225582123,0.18017297983169556
normally,0.4828679859638214,0.37473243474960327,0.17854130268096924,0.2259708046913147,0.3523634970188141,0.14454178512096405,0.3993734121322632,0.1935773491859436,0.28092333674430847,0.30112072825431824,0.3550597131252289,0.4328289031982422,0.1935773491859436,0.20675471425056458
have,0.48852935433387756,0.338716596364975,0.24804887175559998,0.1927293986082077,0.40389683842658997,0.18004842102527618,0.4544740617275238,0.3021039664745331,0.3541618287563324,0.39808809757232666,0.49831271171569824,0.6542890071868896,0.3021039664745331,0.32991164922714233
to,0.4559597074985504,0.45503583550453186,0.3404255509376526,0.34314656257629395,0.535392165184021,0.21220189332962036,1.0,0.4184085726737976,0.44245919585227966,0.455847829580307,0.38876664638519287,0.5452046394348145,0.4184085726737976,0.29463258385658264
sit,0.23511181771755219,0.17888593673706055,0.1317848414182663,0.28112560510635376,0.21260488033294678,0.23189884424209595,0.21244771778583527,0.24863412976264954,0.15586790442466736,0.2215278148651123,0.3135092854499817,0.2934642732143402,0.24863412976264954,0.19120019674301147
in,0.2589588761329651,0.539380669593811,0.2981238067150116,0.1499025821685791,0.6662389636039734,0.254856139421463,0.45010748505592346,0.24632485210895538,0.5201468467712402,0.30808621644973755,0.23402775824069977,0.4330179989337921,0.24632485210895538,0.20430970191955566
a,0.41272827982902527,1.0,0.27227821946144104,0.2615271806716919,0.5829201340675354,0.3207114636898041,0.45503583550453186,0.29025161266326904,0.427140474319458,0.3320399522781372,0.26237669587135315,0.3528250455856323,0.29025161266326904,0.23916715383529663
