,what,is,the,highest,peak,in,victoria,?
victoria,0.1194850504398346,0.1633591204881668,0.2204313427209854,0.23788277804851532,0.2150939553976059,0.20823122560977936,1.0,0.12246892601251602
contains,0.14236655831336975,0.4272567629814148,0.2846323549747467,0.12283169478178024,0.13771609961986542,0.28116101026535034,0.08453623205423355,0.15215006470680237
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.18659456074237823,0.14001809060573578,0.41474202275276184,0.1926158368587494,0.2124512493610382
topographically,0.20080973207950592,0.3088163435459137,0.3712124824523926,0.28157204389572144,0.36490195989608765,0.25605785846710205,0.13183335959911346,0.09831319004297256
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.23029130697250366,0.5201468467712402,0.2279360294342041,0.31091248989105225
geologically,0.29793280363082886,0.2978527843952179,0.33332881331443787,0.2253420501947403,0.36852672696113586,0.2505476176738739,0.113567054271698,0.15477964282035828
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22372882068157196,0.1847066879272461,0.4954058527946472,0.24507255852222443,0.20544172823429108
climatically,0.3038623631000519,0.3028551936149597,0.3798142671585083,0.21028010547161102,0.26685282588005066,0.2334161102771759,0.07670125365257263,0.18256035447120667
diverse,0.18528151512145996,0.228860005736351,0.2793438136577606,0.16694919764995575,0.1849362552165985,0.1994941383600235,0.14162157475948334,0.07389035075902939
areas,0.23739881813526154,0.28282591700553894,0.3311663568019867,0.16119110584259033,0.2073148787021637,0.33029478788375854,0.19170348346233368,0.1273590475320816
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.23029130697250366,0.5201468467712402,0.2279360294342041,0.31091248989105225
ranging,0.20860125124454498,0.21603885293006897,0.23484160006046295,0.22496983408927917,0.20371326804161072,0.23063085973262787,0.21128660440444946,0.09338733553886414
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.1877705305814743,0.10448435693979263,0.4274188280105591,0.19426235556602478,0.19969791173934937
