,what,is,used,to,decide,a,teacher,'s,salary,?
salaries,0.23399829864501953,0.11926544457674026,0.16352003812789917,0.3040089011192322,0.3172299861907959,0.19989018142223358,0.21185614168643951,0.05077523738145828,0.7571817636489868,0.23913246393203735
for,0.3017193675041199,0.43268078565597534,0.4236139953136444,0.4451248347759247,0.30473530292510986,0.44038116931915283,0.23373261094093323,-0.07241261005401611,0.31719970703125,0.264628142118454
teachers,0.2526462972164154,0.15701442956924438,0.16122658550739288,0.2668606638908386,0.2951720058917999,0.2509842813014984,0.7334206104278564,0.044750411063432693,0.2759143114089966,0.19522249698638916
depend,0.35695788264274597,0.2675020098686218,0.31853121519088745,0.2928173840045929,0.42948731780052185,0.27964046597480774,0.14193269610404968,-0.022459059953689575,0.23421020805835724,0.21412593126296997
on,0.34226128458976746,0.3635730445384979,0.24785758554935455,0.41031414270401,0.26825201511383057,0.3848365545272827,0.1997784823179245,0.0026888418942689896,0.22385592758655548,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.3718377649784088,0.535392165184021,0.35331496596336365,0.5829201340675354,0.17760860919952393,-0.01540423184633255,0.2075764387845993,0.22068053483963013
civil,0.15091551840305328,0.16941262781620026,0.18663932383060455,0.2019355595111847,0.18595875799655914,0.21693918108940125,0.1998177468776703,-0.06354409456253052,0.18658187985420227,0.1494513899087906
servants,0.1960030347108841,0.10996723175048828,0.15003298223018646,0.27990996837615967,0.2509966492652893,0.18422698974609375,0.2822023928165436,0.029279649257659912,0.2642093896865845,0.15403048694133759
',0.3245812654495239,0.5508411526679993,0.24871127307415009,0.34544456005096436,0.2423020303249359,0.48837921023368835,0.2048191875219345,0.07651367038488388,0.12406552582979202,0.330942302942276
salary,0.2065381407737732,0.15019352734088898,0.12384602427482605,0.2658538222312927,0.2702326774597168,0.2625115215778351,0.2520495355129242,0.054899025708436966,1.0,0.20685498416423798
index,0.21440383791923523,0.20617040991783142,0.1846126765012741,0.198527991771698,0.13174284994602203,0.13584570586681366,0.08602487295866013,-0.04121491685509682,0.15067869424819946,0.2477751076221466
scale,0.23262472450733185,0.18123696744441986,0.2797429859638214,0.18474817276000977,0.15832091867923737,0.2199064940214157,0.15772807598114014,0.004218825604766607,0.2234116792678833,0.21142835915088654
(,0.2411840260028839,0.35393038392066956,0.19005385041236877,0.30882009863853455,0.20447318255901337,0.3206180930137634,0.20727753639221191,0.0012731997994706035,0.13302284479141235,0.40561532974243164
bundesbesoldungsordnung,0.36519137024879456,0.3083314299583435,0.314732164144516,0.3315480649471283,0.33877915143966675,0.34133681654930115,0.289334774017334,0.00754699669778347,0.3147393763065338,0.3367842137813568
),0.26259949803352356,0.37732169032096863,0.1905621439218521,0.31236231327056885,0.19812853634357452,0.3640355169773102,0.24788133800029755,0.021107977256178856,0.15680062770843506,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.33111312985420227,0.4645031690597534,0.26475638151168823,0.50484299659729,0.225234717130661,-0.003708066651597619,0.2463613897562027,0.4130953550338745
