,who,designed,the,new,medieval,and,renaissance,galleries,which,opened,in,2009,?
gareth,0.34793439507484436,0.2234005630016327,0.23148036003112793,0.23366989195346832,0.2680421471595764,0.25750792026519775,0.28056222200393677,0.25977692008018494,0.1603093445301056,0.30405500531196594,0.22517967224121094,-0.06199969723820686,0.13817577064037323
hoskins,0.26265081763267517,0.20294798910617828,0.2640879452228546,0.27692151069641113,0.11637356132268906,0.33250921964645386,0.11408261954784393,0.2743592858314514,0.17617572844028473,0.21161210536956787,0.3003596067428589,-0.07384340465068817,0.23613418638706207
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.2748313844203949,0.20488819479942322,0.3740963041782379,0.2764733135700226,0.14833402633666992,0.2830964922904968,0.31916534900665283,0.45514053106307983,-0.17510849237442017,0.18412111699581146
responsible,0.2545164227485657,0.26215848326683044,0.3305104374885559,0.16433848440647125,0.04387029632925987,0.29945531487464905,0.07334252446889877,0.16011101007461548,0.2860240638256073,0.14476270973682404,0.24309778213500977,-0.20675234496593475,0.11367333680391312
for,0.37110671401023865,0.22817277908325195,0.4739971458911896,0.2700757384300232,0.18014349043369293,0.5064792633056641,0.19461236894130707,0.26795825362205505,0.44095608592033386,0.16583703458309174,0.4322226941585541,-0.20903140306472778,0.264628142118454
contemporary,0.21760618686676025,0.19205929338932037,0.25350451469421387,0.23503045737743378,0.36490434408187866,0.31080201268196106,0.32669973373413086,0.3308414816856384,0.22929219901561737,0.13949796557426453,0.25818222761154175,-0.1460142731666565,0.09539991617202759
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.31402453780174255,0.2673880457878113,1.0,0.25317543745040894,0.3095110058784485,0.506277859210968,0.22545495629310608,0.4954058527946472,-0.22857710719108582,0.20544172823429108
architecture,0.12630945444107056,0.4611009955406189,0.24488379061222076,0.1548197865486145,0.33429503440856934,0.2369556725025177,0.37049630284309387,0.3866083025932312,0.23836448788642883,0.21378614008426666,0.2624244689941406,-0.22218036651611328,0.14343059062957764
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.36073189973831177,0.18470603227615356,0.6633074283599854,0.23687973618507385,0.2487238645553589,0.3658004403114319,0.24598844349384308,0.5201468467712402,-0.3093184232711792,0.31091248989105225
softroom,0.3180941641330719,0.2844011187553406,0.27955374121665955,0.23815570771694183,0.1991942673921585,0.31452444195747375,0.2000460922718048,0.27862659096717834,0.3668555021286011,0.20973247289657593,0.2601017355918884,-0.10974434018135071,0.27922049164772034
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.36073189973831177,0.18470603227615356,0.6633074283599854,0.23687973618507385,0.2487238645553589,0.3658004403114319,0.24598844349384308,0.5201468467712402,-0.3093184232711792,0.31091248989105225
islamic,0.20530520379543304,0.10999725013971329,0.27231070399284363,0.15673816204071045,0.30393365025520325,0.2192772477865219,0.2787962555885315,0.16535700857639313,0.21128115057945251,0.10095607489347458,0.19633598625659943,-0.21636898815631866,0.1692383587360382
middle,0.16097767651081085,0.1401704102754593,0.3405749201774597,0.11113183945417404,0.35175955295562744,0.2514324486255646,0.39896392822265625,0.1413383185863495,0.22406704723834991,0.12360024452209473,0.26767921447753906,-0.1860884726047516,0.13139553368091583
east,0.20229652523994446,0.1278136819601059,0.3383176326751709,0.2007821798324585,0.19635896384716034,0.27633291482925415,0.22789709270000458,0.23485662043094635,0.22817298769950867,0.19626519083976746,0.32659441232681274,-0.27428609132766724,0.10070597380399704
and,0.41279885172843933,0.2359010875225067,0.5171257257461548,0.31402453780174255,0.2673880457878113,1.0,0.25317543745040894,0.3095110058784485,0.506277859210968,0.22545495629310608,0.4954058527946472,-0.22857710719108582,0.20544172823429108
the,0.3733934462070465,0.2559613883495331,1.0,0.3845241069793701,0.28617456555366516,0.5171257257461548,0.2050212025642395,0.27603694796562195,0.6521818041801453,0.28544309735298157,0.6662389636039734,-0.23935742676258087,0.22068053483963013
members,0.3290669620037079,0.11633119732141495,0.3321719169616699,0.16250306367874146,0.06100931018590927,0.2994427978992462,0.11113714426755905,0.20618672668933868,0.295350044965744,0.15552525222301483,0.196792870759964,-0.137773796916008,0.10212311148643494
',0.22534559667110443,0.20316576957702637,0.474788099527359,0.23426499962806702,0.1216343566775322,0.3053182065486908,0.1520068645477295,0.12153361737728119,0.32852497696876526,0.21803857386112213,0.4158826768398285,-0.18984919786453247,0.330942302942276
room,0.2733173370361328,0.19402547180652618,0.2031363844871521,0.13957826793193817,0.13996119797229767,0.2611854374408722,0.15622593462467194,0.34812596440315247,0.2367260456085205,0.22032901644706726,0.19083113968372345,-0.11110641062259674,0.1769251674413681
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.36073189973831177,0.18470603227615356,0.6633074283599854,0.23687973618507385,0.2487238645553589,0.3658004403114319,0.24598844349384308,0.5201468467712402,-0.3093184232711792,0.31091248989105225
