,what,was,luther,'s,disputation,of,martin,luther,on,the,power,and,efficacy,of,indulgences,later,called,?
he,0.3114890456199646,0.5410010814666748,0.2454872578382492,0.024063590914011,0.2409147471189499,0.38706058263778687,0.24538953602313995,0.2454872578382492,0.32403138279914856,0.4571082592010498,0.20515447854995728,0.45427167415618896,0.18112298846244812,0.38706058263778687,0.17424233257770538,0.4860261380672455,0.23139433562755585,0.2089974731206894
enclosed,0.10634869337081909,0.11202684044837952,0.06401877105236053,-0.03500570356845856,0.170126274228096,0.20824147760868073,0.05825479328632355,0.06401877105236053,0.17889203131198883,0.2709352374076843,0.18154625594615936,0.23561973869800568,0.1089877039194107,0.20824147760868073,0.17406237125396729,0.11296755075454712,0.24022804200649261,0.10430170595645905
in,0.30808621644973755,0.45514053106307983,0.20523880422115326,-0.037580832839012146,0.22806259989738464,0.5696388483047485,0.22752496600151062,0.20523880422115326,0.46853652596473694,0.6662389636039734,0.16666220128536224,0.4954058527946472,0.18069222569465637,0.5696388483047485,0.18559019267559052,0.40857815742492676,0.40847352147102356,0.20430970191955566
his,0.26976513862609863,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.33020684123039246,0.38364991545677185,0.23498685657978058,0.27093374729156494,0.32064297795295715,0.4394008219242096,0.20314614474773407,0.4234102666378021,0.24212902784347534,0.38364991545677185,0.31932055950164795,0.4538118839263916,0.17527347803115845,0.18075084686279297
letter,0.18726862967014313,0.2146918773651123,0.16547882556915283,0.1062178835272789,0.18007859587669373,0.2327217161655426,0.17224696278572083,0.16547882556915283,0.14245302975177765,0.26056721806526184,0.12298450618982315,0.19703584909439087,0.03758831322193146,0.2327217161655426,0.23967909812927246,0.1927879899740219,0.223059743642807,0.14808706939220428
a,0.3320399522781372,0.4508470594882965,0.17967689037322998,0.04866964742541313,0.26902246475219727,0.5052502155303955,0.2163310945034027,0.17967689037322998,0.3848365545272827,0.5829201340675354,0.21580491960048676,0.3739250600337982,0.17514492571353912,0.5052502155303955,0.20999303460121155,0.34254932403564453,0.4868806302547455,0.23916715383529663
copy,0.3181590139865875,0.17484350502490997,0.2384994775056839,-0.007773972116410732,0.2817282974720001,0.21871109306812286,0.17373986542224884,0.2384994775056839,0.22848284244537354,0.256201833486557,0.14646661281585693,0.1875716596841812,0.27888184785842896,0.21871109306812286,0.2731372117996216,0.2185305655002594,0.17941997945308685,0.256973534822464
of,0.33290785551071167,0.4069072902202606,0.1719115972518921,-0.03817026689648628,0.2957129180431366,1.0,0.13722093403339386,0.1719115972518921,0.3966929316520691,0.733189046382904,0.25273123383522034,0.5116966962814331,0.2377362996339798,1.0,0.28176620602607727,0.3458743393421173,0.4222904443740845,0.1826142966747284
his,0.26976513862609863,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.33020684123039246,0.38364991545677185,0.23498685657978058,0.27093374729156494,0.32064297795295715,0.4394008219242096,0.20314614474773407,0.4234102666378021,0.24212902784347534,0.38364991545677185,0.31932055950164795,0.4538118839263916,0.17527347803115845,0.18075084686279297
``,0.008517155423760414,-0.012679691426455975,-0.013964727520942688,-0.03416389226913452,0.11490935832262039,0.06780257821083069,0.028174111619591713,-0.013964727520942688,-0.03274054825305939,0.029072100296616554,0.02305009216070175,0.036644238978624344,0.05971560254693031,0.06780257821083069,0.02252567745745182,-0.017956512048840523,0.00907047651708126,0.0685480609536171
disputation,0.41867974400520325,0.22693471610546112,0.19034545123577118,-0.03407072275876999,1.0,0.2957129180431366,0.10098045319318771,0.19034545123577118,0.21334058046340942,0.2932225465774536,0.27487942576408386,0.2832392156124115,0.4429337978363037,0.2957129180431366,0.4368114471435547,0.20505471527576447,0.14990779757499695,0.2794228196144104
of,0.33290785551071167,0.4069072902202606,0.1719115972518921,-0.03817026689648628,0.2957129180431366,1.0,0.13722093403339386,0.1719115972518921,0.3966929316520691,0.733189046382904,0.25273123383522034,0.5116966962814331,0.2377362996339798,1.0,0.28176620602607727,0.3458743393421173,0.4222904443740845,0.1826142966747284
martin,0.14814218878746033,0.2089129239320755,0.6228963136672974,0.07599356025457382,0.10098045319318771,0.13722093403339386,0.9999999403953552,0.6228963136672974,0.212642639875412,0.22029393911361694,0.1279779076576233,0.2544763386249542,0.19922737777233124,0.13722093403339386,0.23288580775260925,0.18289606273174286,0.14748524129390717,0.060103293508291245
