,approximately,how,many,works,by,rodin,are,part,of,the,museum,collection,?
rodin,0.0957588255405426,0.1475074291229248,0.17460332810878754,0.2773949205875397,0.17763222754001617,1.0,0.12245257198810577,0.1231500506401062,0.2017039805650711,0.22058722376823425,0.2495928704738617,0.277570903301239,0.2113768309354782
is,0.2724578380584717,0.22544461488723755,0.2649032473564148,0.30236580967903137,0.3899846076965332,0.1474413424730301,0.5330929756164551,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.18299639225006104,0.21135231852531433,0.22961433231830597
represented,0.25098201632499695,0.16157718002796173,0.20285002887248993,0.15046696364879608,0.23673410713672638,0.16870157420635223,0.25353574752807617,0.2370109111070633,0.3891753554344177,0.3256146013736725,0.09223581105470657,0.1968824714422226,0.11276352405548096
by,0.2594222128391266,0.34370526671409607,0.3409687578678131,0.2887086570262909,1.0000001192092896,0.17763222754001617,0.37842893600463867,0.28271573781967163,0.3646814823150635,0.4408751428127289,0.15592984855175018,0.2678082287311554,0.17966607213020325
more,0.3425437808036804,0.4319567084312439,0.48608261346817017,0.16768498718738556,0.2627272307872772,0.16810345649719238,0.4066504240036011,0.2521849572658539,0.30478984117507935,0.39758381247520447,0.077372707426548,0.19879412651062012,0.27894994616508484
than,0.3712998330593109,0.29763275384902954,0.39069414138793945,0.1739061176776886,0.2015816867351532,0.14158867299556732,0.39206281304359436,0.22591069340705872,0.33036211133003235,0.3227543234825134,0.08831054717302322,0.1624053567647934,0.24917294085025787
20,-0.047388333827257156,-0.010775676928460598,0.10720284283161163,0.006432646419852972,-0.023094383999705315,0.09725194424390793,0.10349377989768982,-0.09252328425645828,-0.0318976491689682,-0.06418957561254501,-0.030388876795768738,-0.0031069067772477865,0.11360422521829605
works,0.08490744978189468,0.28242939710617065,0.31669676303863525,1.0,0.2887086570262909,0.2773949205875397,0.2733730971813202,0.21639564633369446,0.1964656114578247,0.26337864995002747,0.2308025360107422,0.3417747914791107,0.19597402215003967
in,0.3145860731601715,0.2601168751716614,0.41474202275276184,0.2656683027744293,0.370934396982193,0.22827556729316711,0.3841303884983063,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.2407650351524353,0.23004686832427979,0.20430970191955566
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.26337864995002747,0.4408751428127289,0.22058722376823425,0.40399202704429626,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.25281965732574463,0.22068053483963013
museum,0.16942159831523895,0.08534817397594452,0.16926175355911255,0.2308025360107422,0.15592984855175018,0.2495928704738617,0.12469582259654999,0.2040945291519165,0.23314370214939117,0.24861779808998108,1.0000001192092896,0.4441815912723541,0.14128351211547852
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.3417747914791107,0.2678082287311554,0.277570903301239,0.22862131893634796,0.27268850803375244,0.2915455996990204,0.25281965732574463,0.4441815912723541,0.9999998807907104,0.20069393515586853
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.29211118817329407,0.3680937886238098,0.20436488091945648,0.4062570035457611,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.20741747319698334,0.2277175933122635,0.31091248989105225
making,0.2353993058204651,0.32306843996047974,0.3595695495605469,0.25493043661117554,0.2781944274902344,0.13563117384910583,0.3466905653476715,0.27666574716567993,0.3250596821308136,0.35185980796813965,0.14336830377578735,0.22094093263149261,0.2539324164390564
it,0.25085556507110596,0.36714982986450195,0.39615920186042786,0.24762499332427979,0.40926623344421387,0.17293275892734528,0.3617996573448181,0.4648587107658386,0.38761502504348755,0.6251175999641418,0.18497297167778015,0.21974997222423553,0.25732165575027466
