,what,civilization,was,the,first,known,to,clearly,study,prime,numbers,?
however,0.4480680823326111,0.24759729206562042,0.37327632308006287,0.49814513325691223,0.3651963174343109,0.2911214530467987,0.5474119186401367,0.48275047540664673,0.2542448937892914,0.16994822025299072,0.37683191895484924,0.2152075469493866
",",0.3087472915649414,0.22940866649150848,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.3604377806186676,0.44245919585227966,0.2751484215259552,0.26425549387931824,0.2565026581287384,0.26479464769363403,0.31091248989105225
the,0.42745697498321533,0.3128751516342163,0.48711544275283813,1.0,0.49448907375335693,0.3624623417854309,0.535392165184021,0.37195420265197754,0.2533665597438812,0.19960100948810577,0.293011337518692,0.22068053483963013
earliest,0.23163363337516785,0.34228870272636414,0.25501716136932373,0.32825469970703125,0.4127090871334076,0.3454912602901459,0.20613901317119598,0.2856336236000061,0.22995321452617645,0.08577310293912888,0.1822015941143036,0.139415442943573
surviving,0.16434775292873383,0.3114241659641266,0.2745644152164459,0.3328552544116974,0.348538339138031,0.3704140782356262,0.21047115325927734,0.22695377469062805,0.20252692699432373,0.1475943624973297,0.186077281832695,0.1395692080259323
records,0.17999422550201416,0.1408911645412445,0.23035451769828796,0.23809710144996643,0.24482834339141846,0.19258345663547516,0.1657545268535614,0.17696957290172577,0.1380273401737213,0.04670511931180954,0.11131332814693451,0.12384546548128128
of,0.33290785551071167,0.2698599398136139,0.4069072902202606,0.733189046382904,0.3536086082458496,0.35814476013183594,0.41548454761505127,0.2792348265647888,0.29377859830856323,0.23935265839099884,0.228018656373024,0.1826142966747284
the,0.42745697498321533,0.3128751516342163,0.48711544275283813,1.0,0.49448907375335693,0.3624623417854309,0.535392165184021,0.37195420265197754,0.2533665597438812,0.19960100948810577,0.293011337518692,0.22068053483963013
explicit,0.36800315976142883,0.1766512244939804,0.1646791696548462,0.2337304949760437,0.24343793094158173,0.11970067769289017,0.38158199191093445,0.43088942766189575,0.2158377319574356,0.06121644377708435,0.20830495655536652,0.2974667251110077
study,0.3123835027217865,0.271581768989563,0.18420368432998657,0.2533665597438812,0.2038448303937912,0.17223654687404633,0.3326032757759094,0.24784038960933685,1.0,0.12386365979909897,0.16116143763065338,0.15902167558670044
of,0.33290785551071167,0.2698599398136139,0.4069072902202606,0.733189046382904,0.3536086082458496,0.35814476013183594,0.41548454761505127,0.2792348265647888,0.29377859830856323,0.23935265839099884,0.228018656373024,0.1826142966747284
prime,0.15586113929748535,0.0591646246612072,0.21048103272914886,0.19960100948810577,0.21695679426193237,0.1414610892534256,0.2015804797410965,0.07867718487977982,0.12386365979909897,1.0,0.26943376660346985,0.11276303976774216
numbers,0.24586999416351318,0.14815229177474976,0.13953587412834167,0.293011337518692,0.19835785031318665,0.1099405288696289,0.29515770077705383,0.26455825567245483,0.16116143763065338,0.26943376660346985,1.0,0.19297972321510315
come,0.39461299777030945,0.19983965158462524,0.1758924275636673,0.36020293831825256,0.1986355483531952,0.144224151968956,0.4297197163105011,0.31326931715011597,0.21704654395580292,0.14888621866703033,0.2268531620502472,0.22318024933338165
from,0.2737620174884796,0.12140977382659912,0.31171464920043945,0.40150508284568787,0.23348960280418396,0.18996182084083557,0.4069952368736267,0.24877740442752838,0.22416724264621735,0.16725490987300873,0.21346062421798706,0.19969791173934937
the,0.42745697498321533,0.3128751516342163,0.48711544275283813,1.0,0.49448907375335693,0.3624623417854309,0.535392165184021,0.37195420265197754,0.2533665597438812,0.19960100948810577,0.293011337518692,0.22068053483963013
ancient,0.2318045049905777,0.528891921043396,0.244222030043602,0.28808021545410156,0.23333106935024261,0.20947782695293427,0.21588295698165894,0.19098018109798431,0.27572131156921387,0.11458714306354523,0.15176522731781006,0.12938068807125092
greeks,0.25405770540237427,0.4277956187725067,0.2154989391565323,0.2657344937324524,0.22664403915405273,0.12221484631299973,0.2559049427509308,0.22291409969329834,0.19816304743289948,0.09244392067193985,0.2874983251094818,0.13888758420944214
.,0.3567904531955719,0.23833215236663818,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.283290296792984,0.4645031690597534,0.2658435106277466,0.23432257771492004,0.17658381164073944,0.2591777741909027,0.4130953550338745
