,who,did,disney,sell,the,four,newspapers,that,abc,controlled,to,?
on,0.2340552806854248,0.2670976221561432,0.1984206587076187,0.17814841866493225,0.5107308030128479,0.27816104888916016,0.25405755639076233,0.42569106817245483,0.2862928807735443,0.23011140525341034,0.41031414270401,0.2714994251728058
april,0.2566681504249573,0.2925565242767334,0.1907227635383606,0.1585368812084198,0.23232673108577728,0.15527896583080292,0.17074473202228546,0.20153307914733887,0.1727592945098877,0.13801470398902893,0.20614087581634521,0.25704094767570496
4,0.09137360751628876,0.0646207332611084,0.10137546062469482,-0.04963791370391846,0.15499350428581238,0.05966099724173546,0.016500450670719147,-0.04881570115685463,0.05910016968846321,0.12896911799907684,0.059323787689208984,0.010515431873500347
",",0.3365725874900818,0.3015086054801941,0.2132069319486618,0.26397812366485596,0.4933079481124878,0.31238991022109985,0.26366421580314636,0.4137537479400635,0.2097204476594925,0.20886175334453583,0.44245919585227966,0.31091248989105225
disney,0.21692340075969696,0.16180537641048431,1.0,0.15717096626758575,0.24980762600898743,0.1495053619146347,0.1445326954126358,0.20073425769805908,0.37895750999450684,0.06354136019945145,0.23984374105930328,0.22150784730911255
sold,0.15799525380134583,0.22639408707618713,0.21715913712978363,0.6424343585968018,0.21929198503494263,0.23168107867240906,0.33655884861946106,0.1977335810661316,0.15177004039287567,0.24985827505588531,0.17380841076374054,0.14943712949752808
the,0.3733934462070465,0.34736719727516174,0.24980762600898743,0.19874759018421173,1.0,0.40344667434692383,0.2329474687576294,0.5473989248275757,0.2068762183189392,0.3320712745189667,0.535392165184021,0.22068053483963013
four,0.1980169266462326,0.20222175121307373,0.1495053619146347,0.09683409333229065,0.40344667434692383,1.0,0.1273181289434433,0.29253774881362915,0.11602456867694855,0.17155882716178894,0.2803118824958801,0.14532537758350372
newspapers,0.20914018154144287,0.22259511053562164,0.1445326954126358,0.31144315004348755,0.2329474687576294,0.1273181289434433,1.0,0.26413118839263916,0.22927245497703552,0.13261778652668,0.20992979407310486,0.15071024000644684
that,0.45444270968437195,0.47518548369407654,0.20073425769805908,0.2741891145706177,0.5473989248275757,0.29253774881362915,0.26413118839263916,1.0,0.17440107464790344,0.3037942051887512,0.5436353087425232,0.32716336846351624
abc,0.14673753082752228,0.13353709876537323,0.37895750999450684,0.10742729157209396,0.2068762183189392,0.11602456867694855,0.22927245497703552,0.17440107464790344,1.0000001192092896,0.069068044424057,0.1762417107820511,0.19065172970294952
had,0.36173108220100403,0.540525496006012,0.14818458259105682,0.2794511616230011,0.3875846862792969,0.3644758462905884,0.20781062543392181,0.4407361149787903,0.18355661630630493,0.24798844754695892,0.37984350323677063,0.20728366076946259
controlled,0.2364613562822342,0.22843453288078308,0.06354136019945145,0.21004387736320496,0.3320712745189667,0.17155882716178894,0.13261778652668,0.3037942051887512,0.069068044424057,1.0,0.20715226233005524,0.1105743944644928
under,0.2962189018726349,0.20815621316432953,0.10847212374210358,0.14800190925598145,0.3348022699356079,0.16233988106250763,0.11475273966789246,0.26447200775146484,0.0865299180150032,0.28105416893959045,0.27177539467811584,0.18233340978622437
capital,0.15628641843795776,0.08427972346544266,0.17269915342330933,0.15022844076156616,0.3049491047859192,0.11417517066001892,0.22643162310123444,0.13548922538757324,0.2084534764289856,0.21371319890022278,0.1844596415758133,0.0907452180981636
cities,0.19380390644073486,0.13977929949760437,0.08448872715234756,0.165538489818573,0.2621172070503235,0.199402317404747,0.3187928795814514,0.1994047611951828,0.124558225274086,0.176029771566391,0.20735321938991547,0.13339310884475708
to,0.42656609416007996,0.4452643394470215,0.23984374105930328,0.35664159059524536,0.535392165184021,0.2803118824958801,0.20992979407310486,0.5436353087425232,0.1762417107820511,0.20715226233005524,1.0,0.29463258385658264
knight,0.26645979285240173,0.17179203033447266,0.2159099280834198,0.1260865181684494,0.2147035151720047,0.16653230786323547,0.10894373804330826,0.1916632354259491,0.12931060791015625,0.03328734636306763,0.1695164144039154,0.12124335020780563
ridder,0.23851832747459412,0.15978671610355377,0.2066325843334198,0.29621538519859314,0.25446686148643494,0.2569813132286072,0.24709460139274597,0.23913252353668213,0.19525574147701263,0.15668395161628723,0.18885117769241333,0.10333549976348877
for,0.37110671401023865,0.318512886762619,0.16913838684558868,0.2719201445579529,0.4739971458911896,0.27783235907554626,0.2378004491329193,0.4137635827064514,0.22510288655757904,0.1490403413772583,0.4451248347759247,0.264628142118454
$,0.14688296616077423,0.23203131556510925,0.20913034677505493,0.3366301655769348,0.23367542028427124,0.2103274017572403,0.1502005010843277,0.21570275723934174,0.2139672338962555,0.06464862823486328,0.22282108664512634,0.2786129117012024
1.65,-0.09399636834859848,-0.020918510854244232,0.07128015905618668,-0.05770318582653999,0.1432553082704544,0.046163447201251984,-0.020790912210941315,0.21152301132678986,0.07562468200922012,-0.06498909741640091,0.107437863945961,0.07536264508962631
billion,0.12237072736024857,0.1482735127210617,0.15452072024345398,0.2707518935203552,0.2162325382232666,0.24955786764621735,0.17963619530200958,0.27183395624160767,0.18343357741832733,0.1285357028245926,0.2046312391757965,0.25791820883750916
.,0.3541337847709656,0.35288307070732117,0.23698924481868744,0.2524729371070862,0.5934505462646484,0.3278861939907074,0.23281940817832947,0.4460422694683075,0.2567209303379059,0.21779799461364746,0.4645031690597534,0.4130953550338745
