,what,is,the,hottest,temperature,record,for,fresno,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3094172775745392,0.27585095167160034,0.23569516837596893,0.4739971458911896,0.22571885585784912,0.22068053483963013
official,0.18967986106872559,0.21236078441143036,0.3133983910083771,0.2546497881412506,0.10557214915752411,0.19880719482898712,0.2504976987838745,0.20035749673843384,0.18097688257694244
record,0.1772487461566925,0.19413821399211884,0.23569516837596893,0.21841546893119812,0.1647869348526001,1.0,0.24185582995414734,0.22083361446857452,0.14407116174697876
high,0.20466077327728271,0.2383800595998764,0.28034812211990356,0.2603972852230072,0.28133922815322876,0.19237418472766876,0.1925620585680008,0.19340389966964722,0.11137914657592773
temperature,0.26338207721710205,0.2979726195335388,0.27585095167160034,0.5616594552993774,1.0000001192092896,0.1647869348526001,0.1894524246454239,0.21343547105789185,0.2011885941028595
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.15925008058547974,0.1894524246454239,0.24185582995414734,0.9999999403953552,0.17504577338695526,0.264628142118454
fresno,0.159109428524971,0.2127077877521515,0.22571885585784912,0.21684645116329193,0.21343547105789185,0.22083361446857452,0.17504577338695526,1.0000001192092896,0.13224096596240997
is,0.28837618231773376,1.0,0.5823672413825989,0.2664426267147064,0.2979726195335388,0.19413821399211884,0.43268078565597534,0.2127077877521515,0.22961433231830597
115,-0.0038028666749596596,0.0309049841016531,-0.0037270491011440754,0.07735472172498703,0.007421937305480242,0.05103636533021927,-0.04893999174237251,-0.0912366658449173,-0.07043076306581497
°f,0.20015408098697662,0.23312681913375854,0.22598426043987274,0.5212192535400391,0.7363657355308533,0.24168512225151062,0.13414621353149414,0.3039827346801758,0.19986218214035034
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.1971469670534134,0.20595431327819824,0.19420307874679565,0.3357032239437103,0.188642680644989,0.40561532974243164
46.1,0.23937012255191803,-0.0530572235584259,-0.017508145421743393,-0.002614883938804269,-0.09965226799249649,0.027125045657157898,0.058878712356090546,-0.09678632020950317,0.25811219215393066
°c,0.2101275473833084,0.22964106500148773,0.1833128035068512,0.51189124584198,0.7912421226501465,0.1526637226343155,0.11803197115659714,0.21984682977199554,0.2095707356929779
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.20172502100467682,0.2232651710510254,0.22039180994033813,0.3639558255672455,0.20478583872318268,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2737334370613098,0.2439086139202118,0.28093910217285156,0.4464869201183319,0.2561432421207428,0.31091248989105225
set,0.28954121470451355,0.21148966252803802,0.2927955985069275,0.12935344874858856,0.17841605842113495,0.22965846955776215,0.30194196105003357,0.17552098631858826,0.1698019951581955
