,in,the,1980s,what,was,the,population,of,the,amazon,region,?
by,0.370934396982193,0.4408751428127289,-0.010664036497473717,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.17143253982067108,0.3646814823150635,0.4408751428127289,0.16320857405662537,0.15175513923168182,0.17966607213020325
1900,0.11635804176330566,0.12699992954730988,0.06545210629701614,0.10477770119905472,0.10391559451818466,0.12699992954730988,-0.002470731968060136,0.0774914026260376,0.12699992954730988,0.14824238419532776,0.06098337471485138,0.12663045525550842
the,0.6662389636039734,1.0,0.07890266180038452,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.733189046382904,1.0,0.260541707277298,0.35020557045936584,0.22068053483963013
population,0.3268454372882843,0.32044094800949097,0.18080325424671173,0.2000674307346344,0.1935066133737564,0.32044094800949097,1.0,0.3060894012451172,0.32044094800949097,0.19799689948558807,0.35224372148513794,0.14449454843997955
had,0.385026752948761,0.3875846862792969,0.004873279482126236,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.21385526657104492,0.37755560874938965,0.3875846862792969,0.171722412109375,0.13870884478092194,0.20728366076946259
fallen,0.22198590636253357,0.31443899869918823,0.027571557089686394,0.15343396365642548,0.23944127559661865,0.31443899869918823,0.19045351445674896,0.3151043951511383,0.31443899869918823,0.22081081569194794,0.1072089672088623,0.12544651329517365
to,0.45010748505592346,0.535392165184021,-0.014551017433404922,0.455847829580307,0.3636345863342285,0.535392165184021,0.19776633381843567,0.41548454761505127,0.535392165184021,0.17033490538597107,0.24118299782276154,0.29463258385658264
1,-0.10660158097743988,-0.1554475575685501,0.12823408842086792,-0.21266892552375793,-0.2275921255350113,-0.1554475575685501,-0.029497642070055008,-0.09473495930433273,-0.1554475575685501,-0.07175358384847641,0.02980778180062771,-0.249979168176651
million,0.2596224844455719,0.277012437582016,0.16037583351135254,0.22197039425373077,0.24203833937644958,0.277012437582016,0.3087695837020874,0.21686489880084991,0.277012437582016,0.18845590949058533,0.2246832400560379,0.23092924058437347
and,0.4954058527946472,0.5171257257461548,0.016964120790362358,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.23080337047576904,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.2372262328863144,0.20544172823429108
by,0.370934396982193,0.4408751428127289,-0.010664036497473717,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.17143253982067108,0.3646814823150635,0.4408751428127289,0.16320857405662537,0.15175513923168182,0.17966607213020325
the,0.6662389636039734,1.0,0.07890266180038452,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.733189046382904,1.0,0.260541707277298,0.35020557045936584,0.22068053483963013
early,0.34672921895980835,0.34442198276519775,0.03928886726498604,0.2454567849636078,0.4148794412612915,0.34442198276519775,0.16322816908359528,0.30937549471855164,0.34442198276519775,0.140445739030838,0.11771668493747711,0.15272949635982513
1980s,0.03401865437626839,0.07890266180038452,1.0,-0.06585196405649185,-0.0172738004475832,0.07890266180038452,0.18080325424671173,0.11110851913690567,0.07890266180038452,0.12229182571172714,0.1749550849199295,-0.0718669518828392
it,0.5130809545516968,0.6251175999641418,0.08704858273267746,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.30431556701660156,0.38761502504348755,0.6251175999641418,0.22231659293174744,0.34900152683258057,0.25732165575027466
was,0.45514053106307983,0.48711544275283813,-0.0172738004475832,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.1935066133737564,0.4069072902202606,0.48711544275283813,0.14616160094738007,0.19296804070472717,0.18412111699581146
less,0.2661931812763214,0.29185041785240173,0.07905299216508865,0.31119704246520996,0.19779354333877563,0.29185041785240173,0.1764393150806427,0.30836719274520874,0.29185041785240173,0.20645178854465485,0.18700850009918213,0.22418740391731262
than,0.3270052373409271,0.3227543234825134,0.059632670134305954,0.29388150572776794,0.1872616857290268,0.3227543234825134,0.21814648807048798,0.33036211133003235,0.3227543234825134,0.24920178949832916,0.1909969598054886,0.24917294085025787
"200,000",0.04889736324548721,0.11895683407783508,-0.2649229168891907,-0.016068685799837112,0.1483195573091507,0.11895683407783508,-0.1291472166776657,0.1260930597782135,0.11895683407783508,-0.02519586682319641,-0.09740076959133148,-0.020140642300248146
.,0.5591574311256409,0.5934505462646484,0.033740852028131485,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.5934505462646484,0.262887567281723,0.2506107687950134,0.4130953550338745
