,how,many,horsepower,did,tesla,'s,bladeless,turbine,have,?
on,0.32655060291290283,0.32520127296447754,0.156993106007576,0.2670976221561432,0.16159376502037048,0.0026888418942689896,0.2560141682624817,0.1482713669538498,0.36494916677474976,0.2714994251728058
his,0.24614305794239044,0.3188176155090332,0.15383289754390717,0.3546801507472992,0.1580733060836792,0.047556519508361816,0.24509143829345703,0.07583784312009811,0.25689181685447693,0.18075084686279297
50th,0.09753132611513138,-0.010128241032361984,0.1931949406862259,0.04507705196738243,0.1690409630537033,0.13025708496570587,0.15654504299163818,0.15602082014083862,-0.007681891787797213,0.004919986240565777
birthday,0.2049214094877243,0.18727965652942657,0.005925554782152176,0.2158898115158081,0.15068478882312775,-0.04140518605709076,0.13198453187942505,0.007234352175146341,0.1601966917514801,0.22143252193927765
in,0.2601168751716614,0.41474202275276184,0.17095385491847992,0.2593238651752472,0.17097744345664978,-0.037580832839012146,0.21326793730258942,0.19420358538627625,0.36843645572662354,0.20430970191955566
1906,-0.006609862204641104,-0.021643156185746193,0.13890531659126282,0.00024033099180087447,-0.017711229622364044,0.07153210043907166,0.00865307729691267,0.04657668247818947,0.0016658642562106252,0.010789075866341591
",",0.22659391164779663,0.40610817074775696,0.23243539035320282,0.3015086054801941,0.20599327981472015,-0.0016132977325469255,0.34094536304473877,0.21183495223522186,0.3541618287563324,0.31091248989105225
tesla,0.19128404557704926,0.15282970666885376,0.42120325565338135,0.09757418930530548,0.9999999403953552,0.06449045985937119,0.23886945843696594,0.34648242592811584,0.12181562930345535,0.10250775516033173
demonstrated,0.2632872462272644,0.28980836272239685,0.22703038156032562,0.2299390286207199,0.28413429856300354,-0.06748194992542267,0.21485301852226257,0.23341311514377594,0.28008076548576355,0.1947716772556305
his,0.24614305794239044,0.3188176155090332,0.15383289754390717,0.3546801507472992,0.1580733060836792,0.047556519508361816,0.24509143829345703,0.07583784312009811,0.25689181685447693,0.18075084686279297
200,-0.2139798104763031,-0.20917564630508423,-0.2624877989292145,-0.20726703107357025,-0.26731228828430176,-0.023642173036932945,-0.10606548190116882,-0.26918837428092957,-0.280032753944397,-0.22913911938667297
horsepower,0.27074307203292847,0.20272956788539886,0.9999998807907104,0.21618662774562836,0.42120325565338135,0.049543026834726334,0.40133458375930786,0.6025349497795105,0.24703073501586914,0.2179865539073944
(,0.1676948219537735,0.1455259770154953,0.24083977937698364,0.18979617953300476,0.2156914919614792,0.0012731997994706035,0.23299887776374817,0.1862340271472931,0.23072676360607147,0.40561532974243164
150,0.022369936108589172,0.01670597307384014,0.01685819961130619,0.0738314539194107,0.10484128445386887,-0.012532840482890606,-0.003151480108499527,0.0060453470796346664,0.017074599862098694,0.13918475806713104
kilowatts,0.2719722390174866,0.20553722977638245,0.5464186668395996,0.14419306814670563,0.3864075541496277,0.03517236188054085,0.31090912222862244,0.4889097213745117,0.2701941132545471,0.2282012701034546
),0.17939934134483337,0.16602720320224762,0.2565915286540985,0.18584993481636047,0.22692398726940155,0.021107977256178856,0.2274666130542755,0.17438945174217224,0.22866283357143402,0.42300865054130554
"16,000",0.006419086828827858,-0.08435725420713425,0.13584917783737183,0.04203864932060242,0.1020875945687294,0.02364761009812355,0.21874649822711945,0.11240056157112122,0.03243247792124748,0.22946134209632874
rpm,0.2043313980102539,0.1576937586069107,0.5322288274765015,0.0719265341758728,0.40046387910842896,0.020402953028678894,0.31609269976615906,0.4350120425224304,0.13487091660499573,0.13234180212020874
bladeless,0.3348720669746399,0.2428564876317978,0.40133458375930786,0.2116953432559967,0.23886945843696594,-0.015305092558264732,1.0,0.3921068012714386,0.26495856046676636,0.26046502590179443
turbine,0.18059717118740082,0.1409672051668167,0.6025349497795105,0.13428311049938202,0.34648242592811584,0.00035266607301309705,0.3921068012714386,1.0000001192092896,0.1599147468805313,0.16315746307373047
.,0.3287222981452942,0.3974229395389557,0.26840877532958984,0.35288307070732117,0.17949827015399933,-0.003708066651597619,0.27973678708076477,0.22899852693080902,0.41614407300949097,0.4130953550338745
