,who,protected,jamukha,after,he,escaped,the,conflict,with,temüjin,?
the,0.3733934462070465,0.23777265846729279,0.26145488023757935,0.4565047025680542,0.4571082592010498,0.23728656768798828,1.0,0.2974752187728882,0.4223487675189972,0.43713900446891785,0.22068053483963013
next,0.19192104041576385,0.12450823187828064,0.1425420194864273,0.36641988158226013,0.23504865169525146,0.1678209751844406,0.35833123326301575,0.06217451021075249,0.24421751499176025,0.18684138357639313,0.167460098862648
direct,0.20854562520980835,0.06378118693828583,0.1545424461364746,0.17397446930408478,0.1325417459011078,0.12764182686805725,0.3262479901313782,0.24379278719425201,0.19408144056797028,0.24624766409397125,0.18476411700248718
threat,0.19395889341831207,0.33458182215690613,0.15945380926132202,0.21086519956588745,0.18423785269260406,0.2227809727191925,0.24470017850399017,0.30738863348960876,0.18406036496162415,0.2544424831867218,0.17929627001285553
to,0.42656609416007996,0.24647241830825806,0.17626526951789856,0.37890323996543884,0.385390967130661,0.24104799330234528,0.535392165184021,0.2420341968536377,0.4239959120750427,0.36858871579170227,0.29463258385658264
temüjin,0.416724294424057,0.2133205235004425,0.48555630445480347,0.380215048789978,0.44463157653808594,0.3017847239971161,0.43713900446891785,0.31784629821777344,0.26846927404403687,1.0,0.21090233325958252
was,0.3318818509578705,0.13228186964988708,0.25800472497940063,0.49306565523147583,0.5410010814666748,0.34042078256607056,0.48711544275283813,0.19450020790100098,0.27411898970603943,0.38774195313453674,0.18412111699581146
the,0.3733934462070465,0.23777265846729279,0.26145488023757935,0.4565047025680542,0.4571082592010498,0.23728656768798828,1.0,0.2974752187728882,0.4223487675189972,0.43713900446891785,0.22068053483963013
naimans,0.2879880368709564,0.2460574060678482,0.3573724031448364,0.23591144382953644,0.26647037267684937,0.16623632609844208,0.3239525556564331,0.17721997201442719,0.18029698729515076,0.37779927253723145,0.1973741203546524
(,0.2443375140428543,0.18468831479549408,0.19687531888484955,0.2132600098848343,0.21137313544750214,0.16899876296520233,0.33289089798927307,0.19248107075691223,0.29503780603408813,0.2132648229598999,0.40561532974243164
naiman,0.2774404287338257,0.15719465911388397,0.43520575761795044,0.20890410244464874,0.2549391984939575,0.1436045616865158,0.2701580822467804,0.20897218585014343,0.1603539139032364,0.34068870544433594,0.1818818747997284
mongols,0.2709572911262512,0.12809915840625763,0.4631825089454651,0.2098093330860138,0.18873974680900574,0.29239585995674133,0.310281366109848,0.27362728118896484,0.21642690896987915,0.6022577881813049,0.11517509818077087
),0.2457384318113327,0.1711483597755432,0.24796828627586365,0.24162524938583374,0.24215729534626007,0.1732356697320938,0.3456730246543884,0.2196362316608429,0.3069596290588379,0.23526804149150848,0.42300865054130554
",",0.3365725874900818,0.23563995957374573,0.30996835231781006,0.38860568404197693,0.40251094102859497,0.25446072220802307,0.4933079481124878,0.24715133011341095,0.4120737314224243,0.3484273850917816,0.31091248989105225
with,0.3282766342163086,0.1799308806657791,0.18727514147758484,0.33843478560447693,0.2845253646373749,0.17915567755699158,0.4223487675189972,0.24287909269332886,0.9999999403953552,0.26846927404403687,0.2433311939239502
whom,0.6214004158973694,0.18233871459960938,0.242905855178833,0.26001983880996704,0.3327956199645996,0.20461943745613098,0.23752936720848083,0.23851029574871063,0.3374587297439575,0.34102556109428406,0.222135990858078
jamukha,0.26036083698272705,0.10773733258247375,0.9999999403953552,0.14425428211688995,0.25441938638687134,0.15675435960292816,0.26145488023757935,0.2633560001850128,0.18727514147758484,0.48555630445480347,0.20055611431598663
and,0.41279885172843933,0.23334509134292603,0.2926517128944397,0.3765919506549835,0.45427167415618896,0.2782198190689087,0.5171257257461548,0.272842675447464,0.5477725267410278,0.3789469599723816,0.20544172823429108
his,0.44966956973075867,0.09398897737264633,0.2645959258079529,0.41949746012687683,0.7171558737754822,0.30527183413505554,0.4394008219242096,0.23697029054164886,0.33836179971694946,0.4682264029979706,0.18075084686279297
followers,0.35074537992477417,0.07823053002357483,0.399843692779541,0.3186129927635193,0.27041956782341003,0.26445862650871277,0.26839348673820496,0.21753285825252533,0.22185102105140686,0.38511744141578674,0.16716530919075012
took,0.2481452226638794,0.1468506008386612,0.16470833122730255,0.39438313245773315,0.3519804775714874,0.3630799353122711,0.31657639145851135,0.20659780502319336,0.1882828176021576,0.36550742387771606,0.14109265804290771
refuge,0.24543017148971558,0.32828131318092346,0.16538682579994202,0.1363944113254547,0.15785826742649078,0.3029795289039612,0.24821332097053528,0.22612637281417847,0.10512296110391617,0.29028162360191345,0.10042177140712738
.,0.3541337847709656,0.25049394369125366,0.23000960052013397,0.35870397090911865,0.38061028718948364,0.22502106428146362,0.5934505462646484,0.2486632764339447,0.4446153938770294,0.31788840889930725,0.4130953550338745
