,what,year,was,jamukha,surrendered,to,temüjin,?
after,0.21973377466201782,0.336445689201355,0.49306565523147583,0.14425428211688995,0.3622960150241852,0.37890323996543884,0.380215048789978,0.16608688235282898
several,0.22446060180664062,0.21163222193717957,0.25396689772605896,0.24519355595111847,0.15559741854667664,0.36196985840797424,0.2575584948062897,0.15595775842666626
battles,0.20100295543670654,0.09436635673046112,0.2371089905500412,0.18431368470191956,0.40474650263786316,0.2124963253736496,0.3095129430294037,0.18091581761837006
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.30996835231781006,0.27637094259262085,0.44245919585227966,0.3484273850917816,0.31091248989105225
jamukha,0.274000346660614,0.13381455838680267,0.25800472497940063,0.9999999403953552,0.21339675784111023,0.17626526951789856,0.48555630445480347,0.20055611431598663
was,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.25800472497940063,0.36920326948165894,0.3636345863342285,0.38774195313453674,0.18412111699581146
finally,0.33623361587524414,0.22676491737365723,0.3442646861076355,0.1161845475435257,0.40960976481437683,0.4384642541408539,0.40189945697784424,0.16868984699249268
turned,0.22427117824554443,0.20014308393001556,0.3994938135147095,0.13602662086486816,0.28320035338401794,0.33177903294563293,0.3279288411140442,0.130948007106781
over,0.28007611632347107,0.2620522379875183,0.24486446380615234,0.20403370261192322,0.24380865693092346,0.38635820150375366,0.31213274598121643,0.25742942094802856
to,0.455847829580307,0.23523004353046417,0.3636345863342285,0.17626526951789856,0.23925185203552246,1.0,0.36858871579170227,0.29463258385658264
temüjin,0.34580421447753906,0.20408141613006592,0.38774195313453674,0.48555630445480347,0.3953966200351715,0.36858871579170227,1.0,0.21090233325958252
by,0.2455483376979828,0.28805047273635864,0.4752357602119446,0.17633531987667084,0.2467731237411499,0.33534231781959534,0.2763390839099884,0.17966607213020325
his,0.26976513862609863,0.255428284406662,0.4405253231525421,0.2645959258079529,0.31324830651283264,0.3715193271636963,0.4682264029979706,0.18075084686279297
own,0.35062843561172485,0.10865867882966995,0.19632458686828613,0.1773848682641983,0.11412618309259415,0.35879063606262207,0.30216312408447266,0.1937696635723114
men,0.18620994687080383,0.20672005414962769,0.24763761460781097,0.18222425878047943,0.29509395360946655,0.24045762419700623,0.25510546565055847,0.1408759206533432
in,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.23535457253456116,0.27079543471336365,0.45010748505592346,0.3433155417442322,0.20430970191955566
1206,-0.034024350345134735,0.17034606635570526,0.2525840997695923,-0.04451530799269676,0.09367663413286209,0.10347886383533478,-0.04647303372621536,0.02363857440650463
.,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.23000960052013397,0.24999697506427765,0.4645031690597534,0.31788840889930725,0.4130953550338745
