,when,were,the,daleks,reintroduced,in,the,revival,series,?
with,0.5075214505195618,0.3179011940956116,0.4223487675189972,0.17157858610153198,0.2640404999256134,0.4080928862094879,0.4223487675189972,0.1361679881811142,0.17767351865768433,0.2433311939239502
the,0.5091903209686279,0.3906462490558624,1.0,0.3154934346675873,0.30385175347328186,0.6662389636039734,1.0,0.30452626943588257,0.31376904249191284,0.22068053483963013
show,0.2859477698802948,0.22895647585391998,0.319829523563385,0.2321125566959381,0.23339040577411652,0.27595704793930054,0.319829523563385,0.26577329635620117,0.41789430379867554,0.2520138621330261
's,-0.03368149697780609,0.007088581565767527,-0.01540423184633255,0.03969835117459297,-0.02398991584777832,-0.037580832839012146,-0.01540423184633255,0.015062598511576653,0.0006390819908119738,-0.023395681753754616
2005,0.001997772604227066,0.14405988156795502,0.037273142486810684,0.09407062083482742,0.09318765997886658,0.009931974112987518,0.037273142486810684,0.10179609805345535,0.04714697599411011,0.10709824413061142
revival,0.11794339865446091,0.17749853432178497,0.30452626943588257,0.15950314700603485,0.24171847105026245,0.2631177604198456,0.30452626943588257,1.0,0.22159305214881897,0.09967152029275894
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.14506761729717255,0.27687403559684753,0.5201468467712402,0.4933079481124878,0.2530691921710968,0.24060699343681335,0.31091248989105225
executive,0.1448189616203308,0.123867928981781,0.2402946650981903,0.11420557647943497,0.16699689626693726,0.1878502070903778,0.2402946650981903,0.1390993744134903,0.1810639202594757,0.12134998291730881
producer,0.19339103996753693,0.0771685317158699,0.20962586998939514,0.11649822443723679,0.1560196876525879,0.1708001047372818,0.20962586998939514,0.2207231968641281,0.2266491949558258,0.17015865445137024
russell,0.19072842597961426,0.1738964468240738,0.2413037121295929,0.14264750480651855,0.1450163722038269,0.22963611781597137,0.2413037121295929,0.18377439677715302,0.21904300153255463,0.11642709374427795
t,0.2666409909725189,0.16770271956920624,0.2083338052034378,0.1481890231370926,0.14954763650894165,0.1924382597208023,0.2083338052034378,0.14321601390838623,0.13229136168956757,0.4954066574573517
davies,0.15396663546562195,0.22458909451961517,0.22865624725818634,0.2717422842979431,0.11350780725479126,0.1982824057340622,0.22865624725818634,0.23878809809684753,0.28206896781921387,0.12641099095344543
stated,0.22441600263118744,0.2678734064102173,0.2814950942993164,0.24068215489387512,0.2263101488351822,0.24313503503799438,0.2814950942993164,0.21916481852531433,0.17326653003692627,0.24280361831188202
his,0.37120407819747925,0.3142043352127075,0.4394008219242096,0.28159424662590027,0.17313462495803833,0.3598145842552185,0.4394008219242096,0.22438955307006836,0.23445890843868256,0.18075084686279297
intention,0.2905697822570801,0.18952234089374542,0.25965142250061035,0.2505221664905548,0.1388382762670517,0.23223328590393066,0.25965142250061035,0.21693667769432068,0.20288603007793427,0.27262312173843384
to,0.5423505902290344,0.31913647055625916,0.535392165184021,0.24700160324573517,0.2521350383758545,0.45010748505592346,0.535392165184021,0.18364080786705017,0.19879554212093353,0.29463258385658264
reintroduce,0.26142504811286926,0.2967912554740906,0.29667291045188904,0.2859944999217987,0.8882517218589783,0.25305765867233276,0.29667291045188904,0.22329729795455933,0.19110511243343353,0.21475966274738312
classic,0.22075901925563812,0.1847294718027115,0.2647959589958191,0.24570438265800476,0.2590852379798889,0.24514059722423553,0.2647959589958191,0.3001735806465149,0.2942589223384857,0.2044331431388855
