,who,took,isaacs,place,as,provost,in,2016,?
as,0.3923053741455078,0.2319253534078598,0.23935145139694214,0.24125029146671295,1.0,0.25073137879371643,0.3887844979763031,0.04721202328801155,0.27043893933296204
of,0.2827862501144409,0.2766268849372864,0.20017272233963013,0.2685627043247223,0.3886612355709076,0.2888787090778351,0.5696388483047485,0.1386374831199646,0.1826142966747284
august,0.26242005825042725,0.23873625695705414,0.25903239846229553,0.22364641726016998,0.26662537455558777,0.2134629338979721,0.24307909607887268,-0.18370971083641052,0.3006744682788849
2009,-0.22352436184883118,-0.21082431077957153,-0.10707857459783554,-0.2022722363471985,-0.22543197870254517,-0.24563027918338776,-0.28531888127326965,-0.06642655283212662,-0.2287932187318802
[,0.011881873942911625,0.07816635072231293,0.09729833900928497,0.13475501537322998,0.018050309270620346,0.10453514754772186,0.12324675917625427,-0.018090656027197838,0.011015460826456547
update,0.12957695126533508,0.10214449465274811,0.0900169089436531,0.20109423995018005,0.17943543195724487,0.10586901009082794,0.22495365142822266,0.03177126869559288,0.38474005460739136
],0.03976386412978172,0.020131157711148262,0.0278509259223938,0.0760023295879364,-0.03319411352276802,0.0038941362872719765,-0.1088862195611,-0.01550108753144741,-0.0022520492784678936
",",0.3365725874900818,0.27655306458473206,0.3370625674724579,0.34068408608436584,0.48816442489624023,0.3075591027736664,0.5201468467712402,-0.10076791793107986,0.31091248989105225
the,0.3733934462070465,0.31657639145851135,0.20259414613246918,0.4179787337779999,0.48381632566452026,0.24716104567050934,0.6662389636039734,0.11571308970451355,0.22068053483963013
chairman,0.17702560126781464,0.24614638090133667,0.23986858129501343,0.12267186492681503,0.22366109490394592,0.33064377307891846,0.19268719851970673,-0.04940161481499672,0.08324678242206573
of,0.2827862501144409,0.2766268849372864,0.20017272233963013,0.2685627043247223,0.3886612355709076,0.2888787090778351,0.5696388483047485,0.1386374831199646,0.1826142966747284
the,0.3733934462070465,0.31657639145851135,0.20259414613246918,0.4179787337779999,0.48381632566452026,0.24716104567050934,0.6662389636039734,0.11571308970451355,0.22068053483963013
board,0.15408030152320862,0.1720696985721588,0.19038845598697662,0.17639495432376862,0.16183848679065704,0.21798355877399445,0.19342480599880219,-0.009489803574979305,0.1261475533246994
of,0.2827862501144409,0.2766268849372864,0.20017272233963013,0.2685627043247223,0.3886612355709076,0.2888787090778351,0.5696388483047485,0.1386374831199646,0.1826142966747284
trustees,0.2708134353160858,0.14688819646835327,0.26169174909591675,0.11278876662254333,0.25136929750442505,0.397686630487442,0.1882791668176651,0.04260721802711487,0.12247486412525177
is,0.24293622374534607,0.18076173961162567,0.25726214051246643,0.3122972249984741,0.43216490745544434,0.17981943488121033,0.5394441485404968,0.04464074596762657,0.22961433231830597
