,who,oversees,a,pharmacy,technician,in,the,uk,?
a,0.36608949303627014,0.23497234284877777,1.0,0.21975059807300568,0.22603899240493774,0.539380669593811,0.5829201340675354,0.19665123522281647,0.23916715383529663
pharmacy,0.21132494509220123,0.3011622130870819,0.21975059807300568,1.0,0.3012925684452057,0.22082467377185822,0.1938311904668808,0.17869573831558228,0.1355620175600052
technician,0.24453772604465485,0.23719541728496552,0.22603899240493774,0.3012925684452057,0.9999998807907104,0.19130711257457733,0.16273300349712372,0.2226514369249344,0.16191186010837555
in,0.2792111933231354,0.2669798731803894,0.539380669593811,0.22082467377185822,0.19130711257457733,1.0,0.6662389636039734,0.2261405885219574,0.20430970191955566
the,0.3733934462070465,0.31797218322753906,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
uk,0.10701356083154678,0.2437530905008316,0.19665123522281647,0.17869573831558228,0.2226514369249344,0.2261405885219574,0.2143084555864334,1.0,0.20222434401512146
is,0.24293622374534607,0.21372565627098083,0.658733606338501,0.16101746261119843,0.16837115585803986,0.5394441485404968,0.5823672413825989,0.17650434374809265,0.22961433231830597
considered,0.2708154320716858,0.17394402623176575,0.36109375953674316,0.13079343736171722,0.10760630667209625,0.28591203689575195,0.4028765559196472,0.07150597125291824,0.19909770786762238
a,0.36608949303627014,0.23497234284877777,1.0,0.21975059807300568,0.22603899240493774,0.539380669593811,0.5829201340675354,0.19665123522281647,0.23916715383529663
health,0.2314521074295044,0.36055484414100647,0.21166443824768066,0.32834142446517944,0.28253981471061707,0.2500189542770386,0.2340974360704422,0.24319863319396973,0.16094304621219635
care,0.3242843449115753,0.27916377782821655,0.19697006046772003,0.2922910749912262,0.24350635707378387,0.14557574689388275,0.1663842648267746,0.16059836745262146,0.24279968440532684
professional,0.2792035639286041,0.20191577076911926,0.2665292024612427,0.17879201471805573,0.29313841462135315,0.20803587138652802,0.1869824379682541,0.11517760902643204,0.13074518740177155
and,0.41279885172843933,0.3495406210422516,0.3739250600337982,0.21655313670635223,0.17816412448883057,0.4954058527946472,0.5171257257461548,0.2701246440410614,0.20544172823429108
often,0.393799751996994,0.23040924966335297,0.3930865228176117,0.16183310747146606,0.168221116065979,0.3380797803401947,0.38004449009895325,0.16297763586044312,0.23748154938220978
does,0.25013914704322815,0.21496163308620453,0.38201746344566345,0.14478608965873718,0.15801012516021729,0.214483380317688,0.35928019881248474,0.1707082986831665,0.338003009557724
not,0.369414746761322,0.1638735830783844,0.3791346549987793,0.1692313551902771,0.2056116759777069,0.3403114080429077,0.4310511648654938,0.1669863909482956,0.41942933201789856
work,0.3146236836910248,0.3340308368206024,0.266241192817688,0.2666398286819458,0.2753257155418396,0.2753349542617798,0.2704800069332123,0.20769795775413513,0.2621155381202698
under,0.2962189018726349,0.24972999095916748,0.18317826092243195,0.15990279614925385,0.2039872258901596,0.2535393238067627,0.3348022699356079,0.13936901092529297,0.18233340978622437
the,0.3733934462070465,0.31797218322753906,0.5829201340675354,0.1938311904668808,0.16273300349712372,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
direct,0.20854562520980835,0.1849634200334549,0.27544090151786804,0.14193293452262878,0.16612088680267334,0.1965816169977188,0.3262479901313782,0.10458804666996002,0.18476411700248718
supervision,0.3194628059864044,0.5034079551696777,0.22977367043495178,0.261055052280426,0.3383992612361908,0.21691572666168213,0.24749362468719482,0.16587647795677185,0.1730845719575882
of,0.2827862501144409,0.38254740834236145,0.5052502155303955,0.18226979672908783,0.09919387847185135,0.5696388483047485,0.733189046382904,0.21513383090496063,0.1826142966747284
a,0.36608949303627014,0.23497234284877777,1.0,0.21975059807300568,0.22603899240493774,0.539380669593811,0.5829201340675354,0.19665123522281647,0.23916715383529663
pharmacist,0.36940935254096985,0.22198045253753662,0.24351514875888824,0.8203567266464233,0.3798934817314148,0.2133195549249649,0.18885643780231476,0.14669881761074066,0.1397853046655655
(,0.2443375140428543,0.1622229963541031,0.3206180930137634,0.20144130289554596,0.16734495759010315,0.3087427020072937,0.33289089798927307,0.19727066159248352,0.40561532974243164
if,0.3758285641670227,0.1524789184331894,0.41272827982902527,0.1983371078968048,0.18692447245121002,0.2589588761329651,0.33724796772003174,0.16387227177619934,0.4441644251346588
employed,0.369672030210495,0.378677636384964,0.2273576259613037,0.22871239483356476,0.3729413151741028,0.2670619785785675,0.2112865000963211,0.16120094060897827,0.1261894851922989
in,0.2792111933231354,0.2669798731803894,0.539380669593811,0.22082467377185822,0.19130711257457733,1.0,0.6662389636039734,0.2261405885219574,0.20430970191955566
a,0.36608949303627014,0.23497234284877777,1.0,0.21975059807300568,0.22603899240493774,0.539380669593811,0.5829201340675354,0.19665123522281647,0.23916715383529663
hospital,0.18222548067569733,0.18341191112995148,0.23276586830615997,0.3409312069416046,0.30484962463378906,0.3125908672809601,0.17318566143512726,0.20592911541461945,0.12508831918239594
pharmacy,0.21132494509220123,0.3011622130870819,0.21975059807300568,1.0,0.3012925684452057,0.22082467377185822,0.1938311904668808,0.17869573831558228,0.1355620175600052
),0.2457384318113327,0.1591515988111496,0.3640355169773102,0.19700509309768677,0.18636617064476013,0.3326910734176636,0.3456730246543884,0.1962110996246338,0.42300865054130554
but,0.4487357437610626,0.18010884523391724,0.44750767946243286,0.18861611187458038,0.14986887574195862,0.48674455285072327,0.4859698414802551,0.14065611362457275,0.27921953797340393
instead,0.2789587676525116,0.19349567592144012,0.3737732470035553,0.13320699334144592,0.13105815649032593,0.28091272711753845,0.3940567970275879,0.17264370620250702,0.2942638397216797
