,who,was,shi,tianze,'s,father,?
his,0.44966956973075867,0.4405253231525421,0.12044287472963333,0.3177177309989929,0.047556519508361816,0.5241755247116089,0.18075084686279297
father,0.4164644777774811,0.3492507338523865,0.15713194012641907,0.340539813041687,0.029256420210003853,1.0,0.14826634526252747
was,0.3318818509578705,1.0000001192092896,0.15993516147136688,0.2842717170715332,0.008974763564765453,0.3492507338523865,0.18412111699581146
shi,0.20423415303230286,0.15993516147136688,1.0,0.473213791847229,-0.07470661401748657,0.15713194012641907,0.15530072152614594
bingzhi,0.3001636862754822,0.2655574083328247,0.5873001217842102,0.562695324420929,0.031486060470342636,0.3123086988925934,0.27559226751327515
(,0.2443375140428543,0.2980341613292694,0.15439201891422272,0.2569527328014374,0.0012731997994706035,0.18266165256500244,0.40561532974243164
史秉直,0.2292504459619522,0.11306248605251312,0.04002375528216362,0.030354158952832222,-0.0639612078666687,0.1607598215341568,0.030245324596762657
",",0.3365725874900818,0.45456063747406006,0.15447448194026947,0.3256457448005676,-0.0016132977325469255,0.30597206950187683,0.31091248989105225
shih,0.24804218113422394,0.25469017028808594,0.7614527940750122,0.4643557369709015,-0.08581565320491791,0.25805073976516724,0.17501592636108398
ping-chih,0.2860214114189148,0.21867884695529938,0.39079684019088745,0.43510034680366516,0.02074911631643772,0.3062203824520111,0.3540492057800293
),0.2457384318113327,0.3267642855644226,0.16442540287971497,0.26388511061668396,0.021107977256178856,0.19002266228199005,0.42300865054130554
.,0.3541337847709656,0.40146201848983765,0.17719633877277374,0.243058443069458,-0.003708066651597619,0.2509099841117859,0.4130953550338745
