,how,did,their,lawyer,suggest,they,would,plea,?
a,0.29312583804130554,0.2552328109741211,0.29698723554611206,0.29755905270576477,0.26818621158599854,0.3528250455856323,0.398599237203598,0.16599608957767487,0.23916715383529663
well,0.410734087228775,0.4341743588447571,0.356689989566803,0.20560799539089203,0.30820485949516296,0.41211462020874023,0.35135388374328613,0.13942863047122955,0.24815571308135986
known,0.16194356977939606,0.25943970680236816,0.22521670162677765,0.17209643125534058,0.2199418991804123,0.2326948493719101,0.23509551584720612,0.08420518785715103,0.18314571678638458
civil,0.10494508594274521,0.17288750410079956,0.18000862002372742,0.34783414006233215,0.14237543940544128,0.14507707953453064,0.16814836859703064,0.18405596911907196,0.1494513899087906
rights,0.18843793869018555,0.2525300085544586,0.223011314868927,0.42006945610046387,0.21827338635921478,0.2286609411239624,0.26354020833969116,0.21623356640338898,0.21814769506454468
attorney,0.11137256026268005,0.16646260023117065,0.12323015928268433,0.589993417263031,0.12242485582828522,0.12375576049089432,0.1518055498600006,0.24267353117465973,0.14764122664928436
",",0.22659391164779663,0.3015086054801941,0.3045167922973633,0.2853246331214905,0.2924377918243408,0.390799880027771,0.32586824893951416,0.21992337703704834,0.31091248989105225
francis,0.12978141009807587,0.15455317497253418,0.12927889823913574,0.25419536232948303,0.1302488148212433,0.1088399812579155,0.1440913826227188,0.1128072589635849,0.11903949081897736
heisler,0.24078764021396637,0.27905258536338806,0.20709829032421112,0.26213398575782776,0.12297940999269485,0.2533697187900543,0.27402761578559875,0.18829721212387085,0.2025064378976822
",",0.22659391164779663,0.3015086054801941,0.3045167922973633,0.2853246331214905,0.2924377918243408,0.390799880027771,0.32586824893951416,0.21992337703704834,0.31091248989105225
had,0.2549138069152832,0.540525496006012,0.4145275354385376,0.18700271844863892,0.2980760335922241,0.4949169158935547,0.5436059832572937,0.195974662899971,0.20728366076946259
volunteered,0.19908283650875092,0.2546163499355316,0.20242275297641754,0.205022394657135,0.1550339013338089,0.277810275554657,0.35568609833717346,0.2196781486272812,0.17980945110321045
to,0.44169697165489197,0.4452643394470215,0.44619059562683105,0.2520906627178192,0.3512662351131439,0.5452046394348145,0.5965728163719177,0.24961312115192413,0.29463258385658264
defend,0.1746169626712799,0.20832395553588867,0.29625412821769714,0.34242233633995056,0.17683321237564087,0.31167885661125183,0.27800968289375305,0.20363272726535797,0.21878457069396973
the,0.33890387415885925,0.34736719727516174,0.516537070274353,0.17304322123527527,0.2682655155658722,0.49925389885902405,0.4133751392364502,0.19232803583145142,0.22068053483963013
