,how,many,first,downs,did,the,broncos,have,in,super,bowl,50,?
denver,0.15631112456321716,0.18606427311897278,0.2171352207660675,0.2288353145122528,0.16413381695747375,0.2052404284477234,0.5774994492530823,0.17510470747947693,0.2221570909023285,0.24589714407920837,0.2861449718475342,0.03614028915762901,0.1520889848470688
won,0.13434793055057526,0.2252970188856125,0.3494749963283539,0.15110409259796143,0.3493216037750244,0.29432493448257446,0.29654255509376526,0.215050607919693,0.3280489146709442,0.23658764362335205,0.2380966693162918,0.1270197182893753,0.17925700545310974
despite,0.180110901594162,0.29778826236724854,0.15924520790576935,0.13235679268836975,0.38115930557250977,0.3172689974308014,0.17290456593036652,0.33455711603164673,0.27473363280296326,0.2255556881427765,0.1263827234506607,0.02893845923244953,0.14350546896457672
being,0.33768191933631897,0.36609646677970886,0.3338102698326111,0.17518214881420135,0.27905046939849854,0.419739305973053,0.1692562848329544,0.47529760003089905,0.33162933588027954,0.19301097095012665,0.16827359795570374,-0.01975386217236519,0.26743772625923157
massively,0.28297463059425354,0.32889363169670105,0.2445443868637085,0.15970627963542938,0.13053585588932037,0.33941128849983215,0.16218553483486176,0.3501774072647095,0.24103868007659912,0.2543307840824127,0.13095992803573608,0.04298073425889015,0.1734902560710907
outgained,0.15460437536239624,0.27254948019981384,0.2555115520954132,0.23470203578472137,0.3479938209056854,0.3646278977394104,0.26316356658935547,0.29287421703338623,0.3398521840572357,0.15484584867954254,0.19737006723880768,-0.020045243203639984,0.13968798518180847
in,0.2601168751716614,0.41474202275276184,0.4127444326877594,0.2140151709318161,0.2593238651752472,0.6662389636039734,0.20316283404827118,0.36843645572662354,1.0,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
total,0.22199897468090057,0.2912171483039856,0.18841083347797394,0.11540348827838898,0.14788632094860077,0.27068960666656494,0.18658475577831268,0.2702822685241699,0.27667245268821716,0.16075772047042847,0.13796210289001465,0.010104950517416,0.14396025240421295
yards,0.1345205456018448,0.13134367763996124,0.1934249997138977,0.30574682354927063,0.11230118572711945,0.16070343554019928,0.4475782513618469,0.13095317780971527,0.14206624031066895,0.22780416905879974,0.2993983328342438,0.016652274876832962,0.12453813850879669
(,0.1676948219537735,0.1455259770154953,0.2450505793094635,0.1813381463289261,0.18979617953300476,0.33289089798927307,0.22258663177490234,0.23072676360607147,0.3087427020072937,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.40561532974243164
315,-0.09786456823348999,-0.10647132992744446,0.031077710911631584,0.0558587983250618,0.07709082961082458,-0.11001870036125183,0.019231576472520828,-0.07124507427215576,-0.06637085974216461,-0.04976354539394379,-0.09350404143333435,0.025571433827280998,-0.017473451793193817
to,0.44169697165489197,0.40243685245513916,0.3792489171028137,0.21259984374046326,0.4452643394470215,0.535392165184021,0.23674264550209045,0.4544740617275238,0.45010748505592346,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
194,0.01532113365828991,-0.07381633669137955,0.07312162220478058,0.007555264513939619,0.053098853677511215,-0.03561806306242943,0.1279066801071167,-0.06733062863349915,0.06879636645317078,0.026744628325104713,0.024633552879095078,-0.00741032836958766,0.16584888100624084
),0.17939934134483337,0.16602720320224762,0.27228695154190063,0.15757158398628235,0.18584993481636047,0.3456730246543884,0.20362429320812225,0.22866283357143402,0.3326910734176636,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.3167642652988434,0.28101885318756104,0.34479495882987976,0.5171257257461548,0.20959050953388214,0.4711785912513733,0.4954058527946472,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.20544172823429108
first,0.27731001377105713,0.2931244373321533,1.0,0.1313508152961731,0.33691170811653137,0.49448907375335693,0.23199674487113953,0.3030114769935608,0.4127444326877594,0.2717077434062958,0.20817767083644867,0.07933352887630463,0.18701928853988647
downs,0.1218646913766861,0.2036919891834259,0.1313508152961731,1.0,0.19667908549308777,0.2521526515483856,0.28033480048179626,0.18939031660556793,0.2140151709318161,0.12022191286087036,0.1822562962770462,0.024813257157802582,0.13175012171268463
(,0.1676948219537735,0.1455259770154953,0.2450505793094635,0.1813381463289261,0.18979617953300476,0.33289089798927307,0.22258663177490234,0.23072676360607147,0.3087427020072937,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.40561532974243164
21,-0.15702658891677856,-0.08078290522098541,0.10486142337322235,0.02484610117971897,-0.051883723586797714,-0.05849577113986015,0.11336269229650497,-0.1283091902732849,0.09147433191537857,0.0765494555234909,0.057394351810216904,0.026449495926499367,-0.01186173316091299
to,0.44169697165489197,0.40243685245513916,0.3792489171028137,0.21259984374046326,0.4452643394470215,0.535392165184021,0.23674264550209045,0.4544740617275238,0.45010748505592346,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.29463258385658264
11,0.04696422442793846,0.13612139225006104,0.010843289084732533,0.05630778521299362,0.07614340633153915,-0.0219515822827816,-0.0632704421877861,0.051798705011606216,0.03469983860850334,0.02372908778488636,-0.06893833726644516,-0.03258132189512253,-0.04295448586344719
),0.17939934134483337,0.16602720320224762,0.27228695154190063,0.15757158398628235,0.18584993481636047,0.3456730246543884,0.20362429320812225,0.22866283357143402,0.3326910734176636,0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.4345304071903229,0.23834659159183502,0.35288307070732117,0.5934505462646484,0.2612393796443939,0.41614407300949097,0.5591574311256409,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
