,when,did,luther,give,his,response,to,eck,?
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.18745993077754974,0.7171558737754822,0.1881110966205597,0.385390967130661,0.2635950744152069,0.2089974731206894
prayed,0.2587697505950928,0.24428600072860718,0.2334999442100525,0.2571738362312317,0.3120267987251282,0.22117775678634644,0.23481838405132294,0.12335089594125748,0.2041434496641159
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.2844066619873047,0.3378419280052185,0.24039098620414734,0.44245919585227966,0.2767295837402344,0.31091248989105225
consulted,0.17835485935211182,0.3137989044189453,0.11218569427728653,0.22058087587356567,0.31564396619796753,0.26950639486312866,0.31493958830833435,0.1416151225566864,0.26952269673347473
friends,0.2724122703075409,0.24033944308757782,0.14277362823486328,0.17251591384410858,0.4035208821296692,0.0809904932975769,0.2984139919281006,0.22653162479400635,0.12953145802021027
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.2844066619873047,0.3378419280052185,0.24039098620414734,0.44245919585227966,0.2767295837402344,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.20796556770801544,0.3040338158607483,0.4234102666378021,0.21754570305347443,0.48971283435821533,0.2995111048221588,0.20544172823429108
gave,0.29486924409866333,0.4154756963253021,0.18163254857063293,0.5821815729141235,0.35753533244132996,0.20269747078418732,0.27167177200317383,0.13066135346889496,0.1910865753889084
his,0.37120407819747925,0.3546801507472992,0.27093374729156494,0.2390921413898468,0.9999998807907104,0.17898187041282654,0.3715193271636963,0.27123960852622986,0.18075084686279297
response,0.35236990451812744,0.23455248773097992,0.21941745281219482,0.2759567201137543,0.17898187041282654,1.0000001192092896,0.277526319026947,0.09799456596374512,0.2007838636636734
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.29086416959762573,0.4394008219242096,0.28909924626350403,0.535392165184021,0.24178750813007355,0.22068053483963013
next,0.31436362862586975,0.22386232018470764,0.1511766016483307,0.16690517961978912,0.25353002548217773,0.1312292367219925,0.3416391611099243,0.14363610744476318,0.167460098862648
day,0.30730122327804565,0.20275387167930603,0.19808611273765564,0.22405050694942474,0.24784664809703827,0.22698146104812622,0.21753256022930145,0.10126346349716187,0.2141837179660797
:,-0.04432349652051926,-0.05305134505033493,-0.0567622147500515,-0.07540382444858551,-0.010826457291841507,-0.1470160186290741,-0.09243495017290115,-0.07724358141422272,-0.07156077772378922
