,what,do,carotenoids,absorb,?
photosystem,0.2531913220882416,0.2886979877948761,0.5185259580612183,0.4781152009963989,0.20814889669418335
ii,0.13866674900054932,0.11711517721414566,0.19421884417533875,0.16995930671691895,0.11928234249353409
and,0.31309178471565247,0.276123583316803,0.3126223087310791,0.2635331153869629,0.20544172823429108
photosystem,0.2531913220882416,0.2886979877948761,0.5185259580612183,0.4781152009963989,0.20814889669418335
i,0.4411132335662842,0.39633429050445557,0.2245553880929947,0.17549364268779755,0.4695145785808563
contain,0.1832355558872223,0.31365397572517395,0.4573410153388977,0.3601457178592682,0.18853069841861725
light-harvesting,0.2891763746738434,0.24555930495262146,0.4961838126182556,0.43637725710868835,0.23012307286262512
complexes,0.17202474176883698,0.23307161033153534,0.43451401591300964,0.270900160074234,0.06042792648077011
with,0.2464839518070221,0.23744353652000427,0.29211533069610596,0.23586969077587128,0.2433311939239502
chlorophyll,0.23408083617687225,0.20705407857894897,0.6262645721435547,0.508098304271698,0.1099696233868599
and,0.31309178471565247,0.276123583316803,0.3126223087310791,0.2635331153869629,0.20544172823429108
carotenoids,0.2214864045381546,0.3288171887397766,1.0,0.5080045461654663,0.18201911449432373
that,0.6297725439071655,0.44533252716064453,0.3296722173690796,0.3280351161956787,0.32716336846351624
absorb,0.26995739340782166,0.2881942093372345,0.5080045461654663,0.9999999403953552,0.18596899509429932
light,0.22953972220420837,0.16024693846702576,0.2927102744579315,0.47052520513534546,0.17429810762405396
energy,0.190252885222435,0.21968168020248413,0.35987401008605957,0.5053080320358276,0.14860127866268158
and,0.31309178471565247,0.276123583316803,0.3126223087310791,0.2635331153869629,0.20544172823429108
use,0.3453877568244934,0.4545445144176483,0.2958695590496063,0.3535999059677124,0.32795652747154236
it,0.45803478360176086,0.337066113948822,0.27612099051475525,0.27424436807632446,0.25732165575027466
to,0.455847829580307,0.38876664638519287,0.27427148818969727,0.3085710406303406,0.29463258385658264
energize,0.2514362037181854,0.27093759179115295,0.354183554649353,0.5431955456733704,0.1770433783531189
electrons,0.23107858002185822,0.23752672970294952,0.48203346133232117,0.4412906765937805,0.15516111254692078
.,0.3567904531955719,0.3613996207714081,0.30328190326690674,0.23536643385887146,0.4130953550338745
