,what,can,rubisco,do,by,mistake,?
rubisco,0.18222950398921967,0.2401696890592575,1.0,0.1936156153678894,0.22404374182224274,0.18442213535308838,0.14757676422595978
can,0.34502777457237244,1.0,0.2401696890592575,0.45775556564331055,0.29642900824546814,0.2983833849430084,0.3226337134838104
not,0.5449194312095642,0.49270012974739075,0.22597241401672363,0.6619802713394165,0.291808545589447,0.399529367685318,0.41942933201789856
distinguish,0.26580512523651123,0.24320535361766815,0.12368574738502502,0.23510530591011047,0.197633758187294,0.13305915892124176,0.13488887250423431
between,0.2462156116962433,0.23827335238456726,0.16621077060699463,0.14014670252799988,0.28115302324295044,0.1148553341627121,0.12887074053287506
oxygen,0.16781960427761078,0.3056217133998871,0.3785080313682556,0.22088919579982758,0.1292176991701126,0.12936876714229584,0.16786395013332367
and,0.31309178471565247,0.3675691485404968,0.260798841714859,0.276123583316803,0.4289871156215668,0.18402345478534698,0.20544172823429108
carbon,0.22238978743553162,0.3430180251598358,0.4631785452365875,0.21659953892230988,0.14195193350315094,0.22386063635349274,0.19040444493293762
dioxide,0.2206297367811203,0.3596026599407196,0.4264138340950012,0.22619783878326416,0.1844359040260315,0.22860939800739288,0.19322559237480164
very,0.37053924798965454,0.3976881802082062,0.24091224372386932,0.2859450876712799,0.2570326030254364,0.300210565328598,0.20864155888557434
well,0.4154493808746338,0.35096636414527893,0.2547452449798584,0.367764413356781,0.2519793212413788,0.22180329263210297,0.24815571308135986
",",0.3087472915649414,0.3139454126358032,0.22536292672157288,0.3283645510673523,0.3680937886238098,0.2312021404504776,0.31091248989105225
so,0.539469838142395,0.5134525895118713,0.22420011460781097,0.4966239333152771,0.35152724385261536,0.41480907797813416,0.43163934350013733
it,0.45803478360176086,0.3819273114204407,0.29571011662483215,0.337066113948822,0.40926623344421387,0.3383432626724243,0.25732165575027466
can,0.34502777457237244,1.0,0.2401696890592575,0.45775556564331055,0.29642900824546814,0.2983833849430084,0.3226337134838104
accidentally,0.24162557721138,0.3291316628456116,0.1624770313501358,0.18631874024868011,0.33006060123443604,0.3664094805717468,0.2163393795490265
add,0.3096190094947815,0.41459473967552185,0.2515884339809418,0.40812182426452637,0.15122953057289124,0.27311035990715027,0.37847816944122314
o2,-0.039665523916482925,-0.017782773822546005,0.1220720186829567,-0.02497643232345581,0.04905276000499725,-0.027389219030737877,0.008434558287262917
instead,0.4104403555393219,0.3914792239665985,0.24236907064914703,0.36403313279151917,0.2769894301891327,0.2804299294948578,0.2942638397216797
of,0.33290785551071167,0.2603091299533844,0.23561188578605652,0.26150479912757874,0.3646814823150635,0.18456989526748657,0.1826142966747284
co2,0.13638697564601898,0.05299011617898941,0.23474988341331482,0.12557080388069153,0.1843136101961136,0.1985316127538681,0.0799083262681961
to,0.455847829580307,0.4979398250579834,0.2258824110031128,0.38876664638519287,0.33534231781959534,0.30965670943260193,0.29463258385658264
rubp,0.21134784817695618,0.262729674577713,0.5083208084106445,0.19238820672035217,0.15736864507198334,0.26088717579841614,0.26014244556427
.,0.3567904531955719,0.35783761739730835,0.2983836829662323,0.3613996207714081,0.3936232924461365,0.25054696202278137,0.4130953550338745
