,what,was,one,of,theories,as,to,what,caused,tesla,'s,father,'s,unspecified,illness,?
on,0.34226128458976746,0.3909217119216919,0.3601475656032562,0.3966929316520691,0.1634472757577896,0.36047765612602234,0.41031414270401,0.34226128458976746,0.25160422921180725,0.16159376502037048,0.0026888418942689896,0.1644139438867569,0.0026888418942689896,0.17074377834796906,0.16299639642238617,0.2714994251728058
17,0.1129629984498024,0.06704052537679672,0.09409872442483902,0.12138522416353226,0.16044655442237854,0.037394262850284576,0.07247230410575867,0.1129629984498024,0.03161768615245819,0.05340947210788727,-0.00850291270762682,0.07572058588266373,-0.00850291270762682,0.1461113542318344,0.08427636325359344,0.17603135108947754
april,0.21502700448036194,0.42695382237434387,0.2190690040588379,0.18706536293029785,0.098800428211689,0.24483075737953186,0.20614087581634521,0.21502700448036194,0.1272122859954834,0.1302996277809143,-0.05799118056893349,0.2295590043067932,-0.05799118056893349,0.09500941634178162,0.2697914242744446,0.25704094767570496
1879,-0.07866717875003815,0.086683489382267,-0.08892259001731873,-0.045452363789081573,-0.1314709335565567,0.019857821986079216,-0.0397687628865242,-0.07866717875003815,-0.06519638001918793,-0.045758847147226334,-0.04066148400306702,0.011265365406870842,-0.04066148400306702,0.03383341059088707,-0.0024524240288883448,0.057432834059000015
",",0.3087472915649414,0.45456063747406006,0.3696635365486145,0.4946078956127167,0.18424807488918304,0.48816442489624023,0.44245919585227966,0.3087472915649414,0.2600580155849457,0.20599327981472015,-0.0016132977325469255,0.30597206950187683,-0.0016132977325469255,0.19824649393558502,0.3034086525440216,0.31091248989105225
milutin,0.15894187986850739,0.23261001706123352,0.154755100607872,0.20297259092330933,0.3405395746231079,0.24682050943374634,0.15062591433525085,0.15894187986850739,0.20217759907245636,0.39255380630493164,0.037752315402030945,0.19130650162696838,0.037752315402030945,0.24267332255840302,0.2726316750049591,0.15096595883369446
tesla,0.23221199214458466,0.16455206274986267,0.2218162566423416,0.18837453424930573,0.23655711114406586,0.10285310447216034,0.17548894882202148,0.23221199214458466,0.05371434986591339,0.9999999403953552,0.06449045985937119,0.08892767131328583,0.06449045985937119,0.15113313496112823,0.07226704061031342,0.10250775516033173
died,0.11138711869716644,0.4570699632167816,0.1496027559041977,0.25637882947921753,0.1767759472131729,0.14962446689605713,0.15773509442806244,0.11138711869716644,0.3055371344089508,0.04018354043364525,-0.023391123861074448,0.38062989711761475,-0.023391123861074448,0.16621287167072296,0.5648521780967712,0.15254227817058563
at,0.2838611304759979,0.36707764863967896,0.32580816745758057,0.42558613419532776,0.10392013192176819,0.28092536330223083,0.36524343490600586,0.2838611304759979,0.19337967038154602,0.16552478075027466,-0.08481216430664062,0.20455175638198853,-0.08481216430664062,0.18654881417751312,0.17298844456672668,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.733189046382904,0.24012529850006104,0.48381632566452026,0.535392165184021,0.42745697498321533,0.24990202486515045,0.1324402391910553,-0.01540423184633255,0.24010279774665833,-0.01540423184633255,0.27699407935142517,0.1359863430261612,0.22068053483963013
age,0.1895245760679245,0.27072176337242126,0.18903999030590057,0.2372717410326004,0.2276618629693985,0.22976377606391907,0.23830388486385345,0.1895245760679245,0.17167948186397552,0.07816897332668304,0.004176773596554995,0.319592148065567,0.004176773596554995,0.14861202239990234,0.3534848093986511,0.16859300434589386
of,0.33290785551071167,0.4069072902202606,0.4999135136604309,1.0,0.25074607133865356,0.3886612355709076,0.41548454761505127,0.33290785551071167,0.29665443301200867,0.18837453424930573,-0.03817026689648628,0.22142449021339417,-0.03817026689648628,0.26354730129241943,0.21579425036907196,0.1826142966747284
60,0.07328611612319946,-0.003859133692458272,0.0014106736052781343,0.05524682253599167,0.13699518144130707,0.024229904636740685,0.05980940908193588,0.07328611612319946,0.03202182799577713,0.06023029237985611,-0.11939319223165512,0.008556738495826721,-0.11939319223165512,0.0666269063949585,0.06681637465953827,0.06999651342630386
after,0.21973377466201782,0.49306565523147583,0.3593756854534149,0.3867455720901489,0.1851254403591156,0.3014480769634247,0.37890323996543884,0.21973377466201782,0.3438951373100281,0.0752151682972908,-0.055672239512205124,0.31013625860214233,-0.055672239512205124,0.13670901954174042,0.231708824634552,0.16608688235282898
contracting,0.2756916880607605,0.1788538545370102,0.24899929761886597,0.23802630603313446,0.1992022842168808,0.25083595514297485,0.31779366731643677,0.2756916880607605,0.3127354085445404,0.20956313610076904,-0.09267999976873398,0.16527731716632843,-0.09267999976873398,0.22810927033424377,0.2695889174938202,0.1360260248184204
