,where,was,the,central,secretariat,based,?
the,0.5003893971443176,0.48711544275283813,1.0,0.3417201042175293,0.29265260696411133,0.29860720038414,0.22068053483963013
central,0.24971573054790497,0.21519865095615387,0.3417201042175293,1.0,0.23767314851284027,0.1569724678993225,0.14787602424621582
region,0.2589060366153717,0.19296804070472717,0.35020557045936584,0.33765965700149536,0.23827949166297913,0.18393836915493011,0.13441751897335052
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2587154507637024,0.21162110567092896,0.27976205945014954,0.31091248989105225
consisting,0.1473727971315384,0.22652006149291992,0.33371514081954956,0.21521656215190887,0.25444507598876953,0.24809546768665314,0.006223649252206087
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.3415789008140564,0.2976089119911194,0.3033197224140167,0.1826142966747284
present-day,0.21362127363681793,0.2928279638290405,0.36770060658454895,0.17491397261619568,0.23874592781066895,0.25847113132476807,0.24972984194755554
hebei,0.22472789883613586,0.22051939368247986,0.3159666061401367,0.2921375036239624,0.24682793021202087,0.12364155799150467,0.09178882837295532
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2587154507637024,0.21162110567092896,0.27976205945014954,0.31091248989105225
shandong,0.21564213931560516,0.22212889790534973,0.23099678754806519,0.2778990864753723,0.2068134844303131,0.1333797723054886,0.14322839677333832
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2587154507637024,0.21162110567092896,0.27976205945014954,0.31091248989105225
shanxi,0.21999603509902954,0.25276172161102295,0.26263874769210815,0.28438159823417664,0.24168066680431366,0.18480509519577026,0.1878359317779541
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2587154507637024,0.21162110567092896,0.27976205945014954,0.31091248989105225
the,0.5003893971443176,0.48711544275283813,1.0,0.3417201042175293,0.29265260696411133,0.29860720038414,0.22068053483963013
south-eastern,0.2941470742225647,0.30494412779808044,0.4215671718120575,0.5371134281158447,0.24814185500144958,0.1879265010356903,0.2683718800544739
part,0.3328706920146942,0.3407018780708313,0.527681291103363,0.3872494101524353,0.2563398778438568,0.24656914174556732,0.08557961881160736
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.3415789008140564,0.2976089119911194,0.3033197224140167,0.1826142966747284
present-day,0.21362127363681793,0.2928279638290405,0.36770060658454895,0.17491397261619568,0.23874592781066895,0.25847113132476807,0.24972984194755554
inner,0.24444608390331268,0.13669422268867493,0.2790820598602295,0.25959300994873047,0.14836521446704865,0.1271524727344513,0.10395674407482147
mongolia,0.2137911468744278,0.12289638072252274,0.26887956261634827,0.33197709918022156,0.20597483217716217,0.07154297828674316,0.12165829539299011
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.2465941160917282,0.22919902205467224,0.2660958170890808,0.20544172823429108
the,0.5003893971443176,0.48711544275283813,1.0,0.3417201042175293,0.29265260696411133,0.29860720038414,0.22068053483963013
henan,0.2478240728378296,0.20577280223369598,0.2673935294151306,0.2505767345428467,0.26799479126930237,0.0747731402516365,0.15703129768371582
areas,0.390926331281662,0.20516395568847656,0.3311663568019867,0.2885909676551819,0.23717495799064636,0.1385897397994995,0.1273590475320816
to,0.47735077142715454,0.3636345863342285,0.535392165184021,0.21511952579021454,0.191797137260437,0.19629007577896118,0.29463258385658264
the,0.5003893971443176,0.48711544275283813,1.0,0.3417201042175293,0.29265260696411133,0.29860720038414,0.22068053483963013
north,0.23586879670619965,0.29020047187805176,0.36298373341560364,0.45006701350212097,0.1896345019340515,0.14165037870407104,0.11829731613397598
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.3415789008140564,0.2976089119911194,0.3033197224140167,0.1826142966747284
the,0.5003893971443176,0.48711544275283813,1.0,0.3417201042175293,0.29265260696411133,0.29860720038414,0.22068053483963013
yellow,0.19770435988903046,0.15945091843605042,0.2507648169994354,0.13194628059864044,0.11729524284601212,0.06599929928779602,0.142889603972435
river,0.1886204034090042,0.15785206854343414,0.2894456386566162,0.2600664794445038,0.13902662694454193,0.08996430039405823,0.15390869975090027
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2587154507637024,0.21162110567092896,0.27976205945014954,0.31091248989105225
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.21519865095615387,0.2092844396829605,0.2870393395423889,0.18412111699581146
considered,0.21629245579242706,0.384328156709671,0.4028765559196472,0.19842636585235596,0.15265990793704987,0.20218533277511597,0.19909770786762238
the,0.5003893971443176,0.48711544275283813,1.0,0.3417201042175293,0.29265260696411133,0.29860720038414,0.22068053483963013
most,0.3678402900695801,0.29933857917785645,0.47635307908058167,0.24005284905433655,0.20893630385398865,0.24925106763839722,0.2107497900724411
important,0.348819375038147,0.24924467504024506,0.39348116517066956,0.2945139706134796,0.22313351929187775,0.23718351125717163,0.17812499403953552
region,0.2589060366153717,0.19296804070472717,0.35020557045936584,0.33765965700149536,0.23827949166297913,0.18393836915493011,0.13441751897335052
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.3415789008140564,0.2976089119911194,0.3033197224140167,0.1826142966747284
