,when,was,the,plastome,discovered,?
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.22537674009799957,0.18330146372318268,0.15103481709957123
existence,0.1914508193731308,0.19127944111824036,0.3168535828590393,0.20563937723636627,0.2850496172904968,0.17803658545017242
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.163870170712471,0.3177400529384613,0.18412111699581146
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.23121322691440582,0.27240344882011414,0.18701928853988647
proved,0.2612682282924652,0.3044681251049042,0.2359304130077362,0.1944497674703598,0.4697442948818207,0.1678566187620163
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23281773924827576,0.2801778018474579,0.20430970191955566
1962,-0.07782699912786484,-0.03281155601143837,-0.023296929895877838,-0.05751752480864525,-0.07288778573274612,-0.008269774727523327
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.2565670311450958,0.26185235381126404,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.268297016620636,0.21031536161899567,0.20544172823429108
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.23121322691440582,0.27240344882011414,0.18701928853988647
sequenced,0.22924666106700897,0.17971199750900269,0.2043665200471878,0.24993017315864563,0.31979987025260925,0.16787222027778625
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.23281773924827576,0.2801778018474579,0.20430970191955566
1986—when,0.6516492962837219,0.30912038683891296,0.5049999356269836,0.3466885983943939,0.28629451990127563,0.3625146746635437
two,0.3743424117565155,0.27166637778282166,0.43858039379119873,0.19448453187942505,0.20618532598018646,0.19645625352859497
japanese,0.1494722217321396,0.21891649067401886,0.21599429845809937,0.15047569572925568,0.0614740289747715,0.12021756172180176
research,0.19555708765983582,0.21417704224586487,0.24391183257102966,0.2145560383796692,0.3097544312477112,0.13481977581977844
teams,0.21796108782291412,0.1698075383901596,0.3164927661418915,0.13872340321540833,0.1046806201338768,0.11150168627500534
sequenced,0.22924666106700897,0.17971199750900269,0.2043665200471878,0.24993017315864563,0.31979987025260925,0.16787222027778625
the,0.5091903209686279,0.48711544275283813,1.0,0.2338763177394867,0.27493247389793396,0.22068053483963013
chloroplast,0.2618095278739929,0.1622564196586609,0.21317854523658752,0.6669666171073914,0.3193027675151825,0.12532055377960205
dna,0.19097159802913666,0.15064743161201477,0.19235704839229584,0.3706631362438202,0.32273370027542114,0.1548636108636856
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2771890163421631,0.22074753046035767,0.1826142966747284
liverwort,0.24990028142929077,0.23606136441230774,0.2649379074573517,0.42800915241241455,0.2523871064186096,0.22459635138511658
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.268297016620636,0.21031536161899567,0.20544172823429108
tobacco,0.21980495750904083,0.19403526186943054,0.23904429376125336,0.267680823802948,0.1971949189901352,0.11937496811151505
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.287638783454895,0.23523737490177155,0.4130953550338745
