,living,from,973–1048,ce,he,was,one,of,the,earliest,persian,geologists,",",what,was,his,name,?
some,0.2873009741306305,0.35210713744163513,-0.08819233626127243,0.13438409566879272,0.2902601659297943,0.21528802812099457,0.4537518322467804,0.4300730526447296,0.4566698372364044,0.39322254061698914,0.18291544914245605,0.34794411063194275,0.42400437593460083,0.4491020441055298,0.21528802812099457,0.3033970892429352,0.18756690621376038,0.2562315762042999
modern,0.21216531097888947,0.20089907944202423,-0.058323297649621964,0.19495707750320435,0.2065427452325821,0.23571695387363434,0.3286316394805908,0.3482828736305237,0.3283970355987549,0.4356762766838074,0.2125169038772583,0.24589776992797852,0.2557750344276428,0.2655639946460724,0.23571695387363434,0.21339957416057587,0.17239713668823242,0.12475407868623734
scholars,0.1288355588912964,0.20727147161960602,0.035427868366241455,0.22118620574474335,0.2515861690044403,0.24563007056713104,0.2302369922399521,0.2583930194377899,0.2524346709251404,0.30444031953811646,0.26953423023223877,0.41271838545799255,0.23522303998470306,0.2640625238418579,0.24563007056713104,0.2416568249464035,0.21233634650707245,0.11279910802841187
",",0.26278790831565857,0.39760664105415344,-0.010300209745764732,0.2253028005361557,0.40251094102859497,0.45456063747406006,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.20733466744422913,0.2007957547903061,0.17116183042526245,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.3378419280052185,0.28145334124565125,0.31091248989105225
such,0.18076953291893005,0.24813218414783478,-0.10610254853963852,0.06837715208530426,0.1682141274213791,0.12487147748470306,0.3596789240837097,0.3209529519081116,0.3575236201286316,0.29608985781669617,0.13155929744243622,0.2085694521665573,0.39626169204711914,0.23989605903625488,0.12487147748470306,0.1748584806919098,0.14280109107494354,0.17851735651493073
as,0.18790079653263092,0.3251767158508301,-0.053775861859321594,0.15487663447856903,0.33787044882774353,0.3677520453929901,0.3954789340496063,0.3886612355709076,0.48381632566452026,0.25896963477134705,0.17179198563098907,0.1596529185771942,0.48816442489624023,0.31749409437179565,0.3677520453929901,0.3146366477012634,0.2851914167404175,0.27043893933296204
fielding,0.11748059093952179,0.14372190833091736,0.08059394359588623,-0.005202474072575569,0.3125988245010376,0.18349319696426392,0.23149538040161133,0.23262061178684235,0.21143792569637299,0.17152634263038635,0.13871310651302338,0.12048749625682831,0.26262006163597107,0.2229972630739212,0.18349319696426392,0.36761394143104553,0.1689498871564865,0.19708466529846191
h.,-0.051467541605234146,-0.10254083573818207,-0.18267248570919037,0.03843376040458679,-0.31638461351394653,-0.3056058883666992,-0.13180476427078247,-0.09578611701726913,-0.10884115099906921,-0.07366471737623215,0.11219582706689835,0.009053356014192104,-0.12486197054386139,-0.13654984533786774,-0.3056058883666992,-0.2977491617202759,-0.05624035373330116,-0.10847286134958267
garrison,0.17327523231506348,0.19118015468120575,0.013595682568848133,0.13140727579593658,0.2539341449737549,0.2700391709804535,0.14063677191734314,0.17924772202968597,0.251071572303772,0.14155514538288116,0.2267477959394455,0.16492266952991486,0.25367769598960876,0.1675506830215454,0.2700391709804535,0.253822922706604,0.05133612081408501,0.1271563321352005
",",0.26278790831565857,0.39760664105415344,-0.010300209745764732,0.2253028005361557,0.40251094102859497,0.45456063747406006,0.3696635365486145,0.4946078956127167,0.4933079481124878,0.20733466744422913,0.2007957547903061,0.17116183042526245,1.0000001192092896,0.3087472915649414,0.45456063747406006,0.3378419280052185,0.28145334124565125,0.31091248989105225
