,how,does,kenya,curb,coruption,?
however,0.45072782039642334,0.4463717043399811,0.18981876969337463,0.23550891876220703,0.3508111536502838,0.2152075469493866
",",0.22659391164779663,0.28617382049560547,0.23432263731956482,0.17926083505153656,0.27726981043815613,0.31091248989105225
there,0.3328511416912079,0.2930194139480591,0.20241674780845642,0.19054509699344635,0.2342497855424881,0.29405656456947327
are,0.311818927526474,0.3126322329044342,0.1597108691930771,0.17096443474292755,0.20743726193904877,0.24591213464736938
several,0.28568220138549805,0.2083442658185959,0.15849876403808594,0.16159303486347198,0.30052241683006287,0.15595775842666626
rather,0.3621583580970764,0.39748668670654297,0.08081456273794174,0.24728791415691376,0.28902697563171387,0.3053998053073883
significant,0.23918341100215912,0.31748154759407043,0.14284762740135193,0.21063117682933807,0.2688998579978943,0.18679562211036682
developments,0.24518178403377533,0.2083653062582016,0.15376414358615875,0.17079783976078033,0.32578760385513306,0.1302815079689026
with,0.3525622487068176,0.26186925172805786,0.13224487006664276,0.23065604269504547,0.2222633808851242,0.2433311939239502
regards,0.3218160569667816,0.27271121740341187,0.11794111877679825,0.2294415384531021,0.28363946080207825,0.5237212181091309
to,0.44169697165489197,0.4391997456550598,0.17769291996955872,0.22795404493808746,0.3110136091709137,0.29463258385658264
curbing,0.3055751621723175,0.19335898756980896,0.07531420886516571,0.617495596408844,0.31223946809768677,0.30295127630233765
corruption,0.21010781824588776,0.18393801152706146,0.15938818454742432,0.21157599985599518,0.7173885703086853,0.16485145688056946
from,0.22939439117908478,0.1777622550725937,0.15824314951896667,0.11128779500722885,0.2715660631656647,0.19969791173934937
the,0.33890387415885925,0.35928019881248474,0.21657514572143555,0.20116457343101501,0.3694519102573395,0.22068053483963013
kenyan,0.16812540590763092,0.1560755968093872,0.7825311422348022,0.11244579404592514,0.20077602565288544,0.1738916039466858
government,0.21719732880592346,0.19420266151428223,0.21103361248970032,0.15955571830272675,0.33348584175109863,0.18851417303085327
",",0.22659391164779663,0.28617382049560547,0.23432263731956482,0.17926083505153656,0.27726981043815613,0.31091248989105225
for,0.3308170735836029,0.35159170627593994,0.22047242522239685,0.2380020022392273,0.29155784845352173,0.264628142118454
instance,0.3896791636943817,0.36771830916404724,0.11688926070928574,0.1324043869972229,0.2868805229663849,0.30205854773521423
",",0.22659391164779663,0.28617382049560547,0.23432263731956482,0.17926083505153656,0.27726981043815613,0.31091248989105225
the,0.33890387415885925,0.35928019881248474,0.21657514572143555,0.20116457343101501,0.3694519102573395,0.22068053483963013
establishment,0.12926524877548218,0.16750295460224152,0.12300116568803787,0.0728754997253418,0.23472797870635986,0.1661023646593094
of,0.2480744868516922,0.3119818866252899,0.22226637601852417,0.17650367319583893,0.2759109139442444,0.1826142966747284
a,0.29312583804130554,0.38201746344566345,0.1701713502407074,0.18799921870231628,0.3626154363155365,0.23916715383529663
new,0.20832711458206177,0.1745370477437973,0.10794293880462646,0.20136530697345734,0.22950710356235504,0.14782847464084625
and,0.33647966384887695,0.3461615741252899,0.20742860436439514,0.25940534472465515,0.2618180811405182,0.20544172823429108
independent,0.1741381734609604,0.2062940001487732,0.20693354308605194,0.14502815902233124,0.2168426811695099,0.11902587860822678
ethics,0.27858200669288635,0.23545342683792114,0.0976250097155571,0.20949114859104156,0.2139202505350113,0.21293872594833374
and,0.33647966384887695,0.3461615741252899,0.20742860436439514,0.25940534472465515,0.2618180811405182,0.20544172823429108
anti-corruption,0.26832205057144165,0.258660227060318,0.15680848062038422,0.2876201868057251,0.7686788439750671,0.22061260044574738
commission,0.20294733345508575,0.1881353110074997,0.22079746425151825,0.06155259162187576,0.3071122467517853,0.16231559216976166
(,0.1676948219537735,0.2728188931941986,0.10727446526288986,0.1435355395078659,0.24070404469966888,0.40561532974243164
eacc,0.3166932165622711,0.34380075335502625,0.28150197863578796,0.18956561386585236,0.32095277309417725,0.23003950715065002
),0.17939934134483337,0.2575884759426117,0.12372948974370956,0.15779906511306763,0.2484598308801651,0.42300865054130554
.,0.3287222981452942,0.3022993505001068,0.24234211444854736,0.16523024439811707,0.28262650966644287,0.4130953550338745
