,when,had,the,brotherhood,renounced,violence,as,a,means,of,achieving,its,goals,?
ma'alim,0.18396714329719543,0.19643135368824005,0.24401992559432983,0.38992825150489807,0.23934362828731537,0.2247314453125,0.30035266280174255,0.21652406454086304,0.14688120782375336,0.21962103247642517,0.18949396908283234,0.2000865340232849,0.22708885371685028,0.17960390448570251
fi-l-tariq,0.2226467728614807,0.1700310856103897,0.30195242166519165,0.37908807396888733,0.28574874997138977,0.24594028294086456,0.32189586758613586,0.2700991928577423,0.22358950972557068,0.27254584431648254,0.2642888128757477,0.1960112452507019,0.23490144312381744,0.3349630832672119
),0.2538422644138336,0.17014533281326294,0.3456730246543884,0.1523222029209137,0.17618316411972046,0.09568654000759125,0.32161882519721985,0.3640355169773102,0.24386455118656158,0.3680361211299896,0.20243005454540253,0.20629894733428955,0.14779016375541687,0.42300865054130554
did,0.3228907287120819,0.540525496006012,0.34736719727516174,0.1878286749124527,0.361713707447052,0.22152221202850342,0.3596470057964325,0.2552328109741211,0.16748420894145966,0.2513895630836487,0.24739080667495728,0.19922670722007751,0.16787441074848175,0.3023456633090973
",",0.36674630641937256,0.35487717390060425,0.4933079481124878,0.21324464678764343,0.259053111076355,0.2299048751592636,0.48816442489624023,0.427140474319458,0.24041147530078888,0.4946078956127167,0.22593005001544952,0.33157986402511597,0.18402206897735596,0.31091248989105225
however,0.5574322938919067,0.5096299052238464,0.49814513325691223,0.24342858791351318,0.4054712951183319,0.28643688559532166,0.4668710231781006,0.38150349259376526,0.3131296634674072,0.3800618350505829,0.3907349109649658,0.43564918637275696,0.1459696739912033,0.2152075469493866
",",0.36674630641937256,0.35487717390060425,0.4933079481124878,0.21324464678764343,0.259053111076355,0.2299048751592636,0.48816442489624023,0.427140474319458,0.24041147530078888,0.4946078956127167,0.22593005001544952,0.33157986402511597,0.18402206897735596,0.31091248989105225
develop,0.2735966444015503,0.2486167550086975,0.26276466250419617,0.19382928311824799,0.23112168908119202,0.18697170913219452,0.17358502745628357,0.27134326100349426,0.1966521143913269,0.2259741723537445,0.3813387155532837,0.28191232681274414,0.17618665099143982,0.15784582495689392
and,0.4716290831565857,0.3872550129890442,0.5171257257461548,0.26239755749702454,0.25077763199806213,0.2652360200881958,0.49487000703811646,0.3739250600337982,0.25371095538139343,0.5116966962814331,0.2686406672000885,0.3841775357723236,0.16611462831497192,0.20544172823429108
they,0.5090266466140747,0.4949169158935547,0.49925389885902405,0.1512380689382553,0.2383653223514557,0.22901540994644165,0.3294360637664795,0.3528250455856323,0.328036904335022,0.3426007330417633,0.20644736289978027,0.36212384700775146,0.11981946229934692,0.2753053903579712
pursued,0.20111601054668427,0.3250446915626526,0.18301384150981903,0.2536502182483673,0.32464122772216797,0.3281475603580475,0.31907933950424194,0.208907350897789,0.13767346739768982,0.18950186669826508,0.3324020504951477,0.1511755734682083,0.17632952332496643,0.09115990251302719
a,0.44397395849227905,0.34897568821907043,0.5829201340675354,0.22638042271137238,0.23372997343540192,0.2158076912164688,0.39550232887268066,1.0,0.34418490529060364,0.5052502155303955,0.3357015550136566,0.4424409866333008,0.10896897315979004,0.23916715383529663
more,0.359977662563324,0.35322055220603943,0.39758381247520447,0.1314026415348053,0.14597049355506897,0.22072415053844452,0.42839905619621277,0.3452818691730499,0.2901304364204407,0.30478984117507935,0.2858085334300995,0.2746449112892151,0.15993158519268036,0.27894994616508484
radical,0.19318300485610962,0.17819632589817047,0.20306628942489624,0.3757104277610779,0.2577851414680481,0.3565807640552521,0.25565287470817566,0.2166643589735031,0.11014340817928314,0.23039983212947845,0.17758309841156006,0.22431589663028717,0.1403285264968872,0.1306871920824051
