,along,with,sport,and,art,",",what,is,a,type,of,talent,scholarship,?
sport,0.060368988662958145,0.15825147926807404,0.9999999403953552,0.20057028532028198,0.2720669209957123,0.1842397302389145,0.1305270493030548,0.1922176480293274,0.2169417291879654,0.27440598607063293,0.17918744683265686,0.2308838665485382,0.2848774492740631,0.0972188338637352
scholarship,0.07387856394052505,0.12489696592092514,0.2848774492740631,0.2342252880334854,0.2788378894329071,0.21552643179893494,0.18312285840511322,0.17051438987255096,0.2465747743844986,0.14476527273654938,0.2209954857826233,0.398252934217453,1.0000001192092896,0.07760601490736008
",",0.29824912548065186,0.4120737314224243,0.1842397302389145,0.6633074283599854,0.2700960636138916,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2598915100097656,0.21552643179893494,0.31091248989105225
art,0.12164689600467682,0.13893495500087738,0.2720669209957123,0.2631918787956238,1.0,0.2700960636138916,0.19292277097702026,0.17386884987354279,0.1329297125339508,0.11725378781557083,0.22648051381111145,0.24290136992931366,0.2788378894329071,0.138971745967865
scholarship,0.07387856394052505,0.12489696592092514,0.2848774492740631,0.2342252880334854,0.2788378894329071,0.21552643179893494,0.18312285840511322,0.17051438987255096,0.2465747743844986,0.14476527273654938,0.2209954857826233,0.398252934217453,1.0000001192092896,0.07760601490736008
",",0.29824912548065186,0.4120737314224243,0.1842397302389145,0.6633074283599854,0.2700960636138916,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2598915100097656,0.21552643179893494,0.31091248989105225
academic,0.11046825349330902,0.13608743250370026,0.1923191100358963,0.2552715241909027,0.3009651303291321,0.3273942470550537,0.10352335125207901,0.19421102106571198,0.2290002554655075,0.025831270962953568,0.20802809298038483,0.2547593414783478,0.4470347762107849,0.11011603474617004
scholarship,0.07387856394052505,0.12489696592092514,0.2848774492740631,0.2342252880334854,0.2788378894329071,0.21552643179893494,0.18312285840511322,0.17051438987255096,0.2465747743844986,0.14476527273654938,0.2209954857826233,0.398252934217453,1.0000001192092896,0.07760601490736008
),0.17395511269569397,0.3069596290588379,0.12166919559240341,0.4961937665939331,0.1455603688955307,0.63033527135849,0.26259949803352356,0.37732169032096863,0.3640355169773102,0.18612703680992126,0.3680361211299896,0.1445777267217636,0.12790077924728394,0.42300865054130554
",",0.29824912548065186,0.4120737314224243,0.1842397302389145,0.6633074283599854,0.2700960636138916,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.1804078221321106,0.4946078956127167,0.2598915100097656,0.21552643179893494,0.31091248989105225
