,in,what,way,do,idea,strings,transmit,tesion,forces,?
ideal,0.23391234874725342,0.31059911847114563,0.40200531482696533,0.17037837207317352,0.4919416904449463,0.20553980767726898,0.1716097742319107,0.3261019289493561,0.16517361998558044,0.13358637690544128
strings,0.11179190874099731,0.19280186295509338,0.26564159989356995,0.19612976908683777,0.23337708413600922,0.9999999403953552,0.24038371443748474,0.318159282207489,0.17347116768360138,0.16539564728736877
transmit,0.14338745176792145,0.21877305209636688,0.3086870610713959,0.2446703016757965,0.2200222909450531,0.24038371443748474,1.0000001192092896,0.3444186747074127,0.1551208645105362,0.16771046817302704
tension,0.26541417837142944,0.2603653073310852,0.27181491255760193,0.16604723036289215,0.29617372155189514,0.3695492446422577,0.18675169348716736,0.5671823620796204,0.3747520446777344,0.16257193684577942
forces,0.2565164566040039,0.2112482488155365,0.23307357728481293,0.1300598382949829,0.1860971301794052,0.17347116768360138,0.1551208645105362,0.31723928451538086,1.0,0.16984491050243378
instantaneously,0.24326837062835693,0.3988375663757324,0.37434715032577515,0.39468228816986084,0.26816627383232117,0.2923170030117035,0.3650856912136078,0.4081684648990631,0.2174622118473053,0.2805550992488861
in,1.0,0.30808621644973755,0.30444321036338806,0.23402775824069977,0.20288406312465668,0.11179190874099731,0.14338745176792145,0.2222808450460434,0.2565164566040039,0.20430970191955566
action-reaction,0.2409406453371048,0.3842131793498993,0.3358079791069031,0.28145793080329895,0.36499395966529846,0.16991545259952545,0.28077927231788635,0.41126930713653564,0.28479039669036865,0.33913958072662354
pairs,0.13932488858699799,0.1697886735200882,0.17030583322048187,0.28019043803215027,0.1604696363210678,0.4155896008014679,0.22973637282848358,0.2590070962905884,0.1651543229818344,0.1550348997116089
so,0.31275880336761475,0.539469838142395,0.530944287776947,0.4966239333152771,0.44225937128067017,0.30340641736984253,0.24841643869876862,0.27409249544143677,0.23540885746479034,0.43163934350013733
that,0.435920387506485,0.6297725439071655,0.5086538195610046,0.44533252716064453,0.49277663230895996,0.28484106063842773,0.2785284221172333,0.35268133878707886,0.24199660122394562,0.32716336846351624
if,0.2589588761329651,0.5277165174484253,0.39235857129096985,0.4196736514568329,0.32846423983573914,0.28660809993743896,0.28106290102005005,0.2906342148780823,0.1562235802412033,0.4441644251346588
two,0.36463531851768494,0.23363454639911652,0.3041468858718872,0.22086432576179504,0.2782103419303894,0.2353198081254959,0.23634584248065948,0.2217433601617813,0.20150142908096313,0.19645625352859497
