,the,yuan,was,the,first,time,all,of,china,was,ruled,by,whom,?
the,1.0,0.2548272907733917,0.48711544275283813,1.0,0.49448907375335693,0.43061500787734985,0.4860881567001343,0.733189046382904,0.3110525608062744,0.48711544275283813,0.2668108344078064,0.4408751428127289,0.23752936720848083,0.22068053483963013
yuan,0.2548272907733917,1.0,0.19482262432575226,0.2548272907733917,0.1651233583688736,0.22163699567317963,0.14827170968055725,0.22696353495121002,0.5794417262077332,0.19482262432575226,0.23075807094573975,0.19831176102161407,0.15031111240386963,0.12871281802654266
dynasty,0.26267939805984497,0.49336904287338257,0.24324211478233337,0.26267939805984497,0.17728228867053986,0.24517737329006195,0.11447933316230774,0.285645067691803,0.45030730962753296,0.24324211478233337,0.5039024949073792,0.198152095079422,0.1567458212375641,0.15884074568748474
was,0.48711544275283813,0.19482262432575226,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.3641340136528015,0.23179835081100464,0.4069072902202606,0.20567192137241364,1.0000001192092896,0.3318201005458832,0.4752357602119446,0.2438793033361435,0.18412111699581146
the,1.0,0.2548272907733917,0.48711544275283813,1.0,0.49448907375335693,0.43061500787734985,0.4860881567001343,0.733189046382904,0.3110525608062744,0.48711544275283813,0.2668108344078064,0.4408751428127289,0.23752936720848083,0.22068053483963013
first,0.49448907375335693,0.1651233583688736,0.5022147297859192,0.49448907375335693,1.0,0.4013477563858032,0.34243571758270264,0.3536086082458496,0.20471592247486115,0.5022147297859192,0.15882189571857452,0.3877052962779999,0.2704542577266693,0.18701928853988647
time,0.43061500787734985,0.22163699567317963,0.3641340136528015,0.43061500787734985,0.4013477563858032,0.9999998807907104,0.4175976812839508,0.35127586126327515,0.23501361906528473,0.3641340136528015,0.25135737657546997,0.26502725481987,0.24401091039180756,0.27391523122787476
that,0.5473989248275757,0.21402506530284882,0.33670201897621155,0.5473989248275757,0.3482176661491394,0.388528436422348,0.53305584192276,0.41498205065727234,0.27188003063201904,0.33670201897621155,0.22988352179527283,0.37496164441108704,0.3278515338897705,0.32716336846351624
non-native,0.1706760972738266,0.11692952364683151,0.1396934688091278,0.1706760972738266,0.2262602597475052,0.16933754086494446,0.22980187833309174,0.24485351145267487,0.14520518481731415,0.1396934688091278,0.1097550168633461,0.1981588900089264,0.20641113817691803,0.26964136958122253
chinese,0.2785343527793884,0.5665212273597717,0.21259073913097382,0.2785343527793884,0.24327513575553894,0.2375582754611969,0.20134666562080383,0.24275560677051544,0.6621482372283936,0.21259073913097382,0.14256110787391663,0.17456965148448944,0.19086508452892303,0.20843194425106049
people,0.36838498711586,0.17908108234405518,0.2518421411514282,0.36838498711586,0.19699515402317047,0.25196269154548645,0.31366872787475586,0.3251037895679474,0.23917561769485474,0.2518421411514282,0.19704484939575195,0.20350977778434753,0.22432920336723328,0.23739641904830933
ruled,0.2668108344078064,0.23075807094573975,0.3318201005458832,0.2668108344078064,0.15882189571857452,0.25135737657546997,0.23619170486927032,0.29798635840415955,0.232317253947258,0.3318201005458832,1.0,0.21958500146865845,0.22951389849185944,0.19970785081386566
all,0.4860881567001343,0.14827170968055725,0.23179835081100464,0.4860881567001343,0.34243571758270264,0.4175976812839508,1.0000001192092896,0.42798417806625366,0.2396208494901657,0.23179835081100464,0.23619170486927032,0.2944089472293854,0.26200151443481445,0.29575422406196594
of,0.733189046382904,0.22696353495121002,0.4069072902202606,0.733189046382904,0.3536086082458496,0.35127586126327515,0.42798417806625366,1.0,0.27699828147888184,0.4069072902202606,0.29798635840415955,0.3646814823150635,0.2070929855108261,0.1826142966747284
china,0.3110525608062744,0.5794417262077332,0.20567192137241364,0.3110525608062744,0.20471592247486115,0.23501361906528473,0.2396208494901657,0.27699828147888184,1.0000001192092896,0.20567192137241364,0.232317253947258,0.15857630968093872,0.12104813009500504,0.18007943034172058
.,0.5934505462646484,0.17233723402023315,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.371569961309433,0.43406882882118225,0.5352458953857422,0.2979343831539154,0.40146201848983765,0.22453029453754425,0.3936232924461365,0.26115289330482483,0.4130953550338745
