,who,created,abc,'s,wide,world,of,sports,?
on,0.2340552806854248,0.20446635782718658,0.2862928807735443,0.0026888418942689896,0.24492010474205017,0.22789059579372406,0.3966929316520691,0.16391423344612122,0.2714994251728058
april,0.2566681504249573,0.249821737408638,0.1727592945098877,-0.05799118056893349,0.1287188082933426,0.17246249318122864,0.18706536293029785,0.1216956302523613,0.25704094767570496
29,0.3365839719772339,0.2608245313167572,0.3330092430114746,0.07449276745319366,0.2749388813972473,0.31339773535728455,0.3091129958629608,0.3400580883026123,0.38368016481399536
",",0.3365725874900818,0.2755771577358246,0.2097204476594925,-0.0016132977325469255,0.2452421933412552,0.26091980934143066,0.4946078956127167,0.2693314254283905,0.31091248989105225
1961,-0.016341788694262505,0.05810170993208885,0.031247682869434357,-0.007136933505535126,0.04145587235689163,0.13885091245174408,0.07470385730266571,-0.00213530077598989,0.009729373268783092
",",0.3365725874900818,0.2755771577358246,0.2097204476594925,-0.0016132977325469255,0.2452421933412552,0.26091980934143066,0.4946078956127167,0.2693314254283905,0.31091248989105225
abc,0.14673753082752228,0.1528254598379135,1.0000001192092896,0.06670809537172318,0.23118868470191956,0.16711202263832092,0.14607268571853638,0.20410163700580597,0.19065172970294952
debuted,0.10703007131814957,0.1979774832725525,0.27247121930122375,0.025340793654322624,0.19818861782550812,0.25620898604393005,0.18094587326049805,0.2194628268480301,0.12089905142784119
wide,0.12099401652812958,0.09836140275001526,0.23118868470191956,0.005688682664185762,1.0,0.31001943349838257,0.23687250912189484,0.14713935554027557,0.12719376385211945
world,0.25158336758613586,0.20034384727478027,0.16711202263832092,0.11877062171697617,0.31001943349838257,1.0000001192092896,0.2828933000564575,0.14874304831027985,0.17579582333564758
of,0.2827862501144409,0.32043445110321045,0.14607268571853638,-0.03817026689648628,0.23687250912189484,0.2828933000564575,1.0,0.24392472207546234,0.1826142966747284
sports,0.15396633744239807,0.16660957038402557,0.20410163700580597,0.038657430559396744,0.14713935554027557,0.14874304831027985,0.24392472207546234,0.9999999403953552,0.04557104781270027
",",0.3365725874900818,0.2755771577358246,0.2097204476594925,-0.0016132977325469255,0.2452421933412552,0.26091980934143066,0.4946078956127167,0.2693314254283905,0.31091248989105225
an,0.2848317325115204,0.2484116554260254,0.16561369597911835,0.025255560874938965,0.1999245136976242,0.15716314315795898,0.32280945777893066,0.1218428686261177,0.19793890416622162
anthology,0.13243460655212402,0.15262416005134583,0.2907084822654724,0.035935431718826294,0.14795804023742676,0.22744956612586975,0.2662479877471924,0.19394385814666748,0.18870647251605988
series,0.21484537422657013,0.25338736176490784,0.38518208265304565,0.0006390819908119738,0.20985864102840424,0.271695613861084,0.22268271446228027,0.19224469363689423,0.1709602326154709
created,0.25695955753326416,1.0,0.1528254598379135,-0.015766004100441933,0.09836140275001526,0.20034384727478027,0.32043445110321045,0.16660957038402557,0.21177415549755096
by,0.39727845788002014,0.3492257595062256,0.17600902915000916,-0.010884488001465797,0.17939458787441254,0.22306372225284576,0.3646814823150635,0.1928456425666809,0.17966607213020325
edgar,0.18291336297988892,0.18063965439796448,0.11655258387327194,0.011881363578140736,0.0536244735121727,0.09832444041967392,0.16282525658607483,0.11781612783670425,0.16689051687717438
scherick,0.321483314037323,0.12554983794689178,0.22309133410453796,0.058607809245586395,0.1545003205537796,0.2208169400691986,0.2549584209918976,0.18120422959327698,0.15741397440433502
through,0.17793183028697968,0.22623170912265778,0.1861964464187622,-0.020649312064051628,0.24673423171043396,0.16810309886932373,0.3647414743900299,0.14550940692424774,0.16913433372974396
his,0.44966956973075867,0.1766064465045929,0.18588677048683167,0.047556519508361816,0.12796925008296967,0.22569474577903748,0.38364991545677185,0.12862628698349,0.18075084686279297
company,0.2383776307106018,0.19954951107501984,0.16210390627384186,0.003266559913754463,0.17666365206241608,0.2612578570842743,0.20467796921730042,0.24411176145076752,0.12195809185504913
sports,0.15396633744239807,0.16660957038402557,0.20410163700580597,0.038657430559396744,0.14713935554027557,0.14874304831027985,0.24392472207546234,0.9999999403953552,0.04557104781270027
programs,0.2319195568561554,0.22368520498275757,0.3454950749874115,0.06997905671596527,0.24627292156219482,0.24322912096977234,0.18037469685077667,0.22642691433429718,0.16452431678771973
",",0.3365725874900818,0.2755771577358246,0.2097204476594925,-0.0016132977325469255,0.2452421933412552,0.26091980934143066,0.4946078956127167,0.2693314254283905,0.31091248989105225
inc.,0.2538697421550751,0.1469414234161377,0.1840439736843109,-0.021506981924176216,0.2297229915857315,0.1790708303451538,0.2896924912929535,0.13630613684654236,0.2727344036102295
and,0.41279885172843933,0.2873832881450653,0.16453155875205994,0.06895173341035843,0.272363543510437,0.3246132433414459,0.5116966962814331,0.2629663348197937,0.20544172823429108
produced,0.12907662987709045,0.40669211745262146,0.2414293736219406,-0.03862787038087845,0.19183187186717987,0.19007574021816254,0.18961067497730255,0.13501565158367157,0.1623450517654419
by,0.39727845788002014,0.3492257595062256,0.17600902915000916,-0.010884488001465797,0.17939458787441254,0.22306372225284576,0.3646814823150635,0.1928456425666809,0.17966607213020325
a,0.36608949303627014,0.30777761340141296,0.21331243216991425,0.04866964742541313,0.301088809967041,0.22239887714385986,0.5052502155303955,0.1933065801858902,0.23916715383529663
young,0.4362107217311859,0.14412756264209747,0.15334759652614594,0.03587031736969948,0.23505093157291412,0.22992810606956482,0.28555598855018616,0.15911394357681274,0.14931946992874146
roone,0.3240370750427246,0.15460869669914246,0.30657878518104553,0.04808918386697769,0.1727449595928192,0.2516973316669464,0.21601058542728424,0.19914017617702484,0.21176548302173615
arledge,0.23872581124305725,0.19375784695148468,0.31692740321159363,0.09211070835590363,0.2945566475391388,0.2679646909236908,0.382069855928421,0.24245014786720276,0.30967646837234497
which,0.3688730001449585,0.3362928330898285,0.1991286277770996,0.03856118768453598,0.3568881154060364,0.29213306307792664,0.5011631846427917,0.16575658321380615,0.25814583897590637
featured,0.25015440583229065,0.2760995924472809,0.3030971884727478,-0.01579626277089119,0.17632871866226196,0.21425729990005493,0.2342860847711563,0.14439845085144043,0.2944096624851227
a,0.36608949303627014,0.30777761340141296,0.21331243216991425,0.04866964742541313,0.301088809967041,0.22239887714385986,0.5052502155303955,0.1933065801858902,0.23916715383529663
different,0.27202165126800537,0.20649270713329315,0.17467725276947021,0.05519130453467369,0.3248242139816284,0.26735252141952515,0.3747533857822418,0.17645448446273804,0.24476227164268494
sporting,0.1839853823184967,0.15350763499736786,0.2349877953529358,-0.006769035942852497,0.14801427721977234,0.23622669279575348,0.19587038457393646,0.6427491307258606,0.14904242753982544
event,0.17899073660373688,0.19520223140716553,0.17161907255649567,0.026449335739016533,0.1714775711297989,0.2916157841682434,0.19878064095973969,0.2849807143211365,0.16076280176639557
each,0.27337536215782166,0.2150118350982666,0.14316539466381073,0.021750088781118393,0.22864456474781036,0.16811732947826385,0.38460010290145874,0.12990689277648926,0.21173812448978424
broadcast,0.18632595241069794,0.2090715914964676,0.4876510202884674,0.0797032043337822,0.1692933291196823,0.2187446653842926,0.20155203342437744,0.2826615273952484,0.15760008990764618
.,0.3541337847709656,0.3230568766593933,0.2567209303379059,-0.003708066651597619,0.2710442841053009,0.3177160322666168,0.5352458953857422,0.25474128127098083,0.4130953550338745
