,what,year,was,the,university,of,warsaw,established,?
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.263973206281662,0.733189046382904,0.23137180507183075,0.33092597126960754,0.22068053483963013
university,0.20256435871124268,0.15213046967983246,0.290752112865448,0.263973206281662,1.0,0.30646374821662903,0.24662628769874573,0.1973452866077423,0.11887256056070328
of,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.30646374821662903,1.0,0.19253842532634735,0.2735237777233124,0.1826142966747284
warsaw,0.10373849421739578,0.15561209619045258,0.2614976763725281,0.23137180507183075,0.24662628769874573,0.19253842532634735,1.0,0.16576151549816132,0.09769917279481888
was,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.290752112865448,0.4069072902202606,0.2614976763725281,0.26515325903892517,0.18412111699581146
established,0.14869536459445953,0.2346011996269226,0.26515325903892517,0.33092597126960754,0.1973452866077423,0.2735237777233124,0.16576151549816132,0.9999998807907104,0.15917523205280304
in,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.22642600536346436,0.3118882477283478,0.20430970191955566
1816,0.4687744379043579,0.22590544819831848,0.14081136882305145,0.47585317492485046,0.19809111952781677,0.4376172423362732,0.22399912774562836,0.22585880756378174,0.3900545537471771
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.25300899147987366,0.22739723324775696,0.31091248989105225
when,0.4700249433517456,0.3014719784259796,0.37326499819755554,0.5091903209686279,0.20851898193359375,0.3757161796092987,0.1615014374256134,0.18169470131397247,0.22841128706932068
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.263973206281662,0.733189046382904,0.23137180507183075,0.33092597126960754,0.22068053483963013
partitions,0.2755758762359619,0.17020657658576965,0.1619935780763626,0.30464792251586914,0.1359272599220276,0.3236917555332184,0.2531501352787018,0.2611859440803528,0.12378250807523727
of,0.33290785551071167,0.2578314542770386,0.4069072902202606,0.733189046382904,0.30646374821662903,1.0,0.19253842532634735,0.2735237777233124,0.1826142966747284
poland,0.16095873713493347,0.15718093514442444,0.19694356620311737,0.24871079623699188,0.19247503578662872,0.26632049679756165,0.6352760195732117,0.17058423161506653,0.14259830117225647
separated,0.18778635561466217,0.06814731657505035,0.187358558177948,0.27899038791656494,0.16069141030311584,0.27533861994743347,0.12372075021266937,0.1759956181049347,0.0923643484711647
warsaw,0.10373849421739578,0.15561209619045258,0.2614976763725281,0.23137180507183075,0.24662628769874573,0.19253842532634735,1.0,0.16576151549816132,0.09769917279481888
from,0.2737620174884796,0.2101740688085556,0.31171464920043945,0.40150508284568787,0.2771088182926178,0.4249346852302551,0.2396499514579773,0.13375751674175262,0.19969791173934937
the,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.263973206281662,0.733189046382904,0.23137180507183075,0.33092597126960754,0.22068053483963013
oldest,0.12504005432128906,0.19566205143928528,0.29228392243385315,0.30836519598960876,0.2588770389556885,0.33351290225982666,0.1528303027153015,0.29543769359588623,0.14864160120487213
and,0.31309178471565247,0.2506658732891083,0.3740963041782379,0.5171257257461548,0.2665814459323883,0.5116966962814331,0.2083624005317688,0.2369968742132187,0.20544172823429108
most,0.3219912350177765,0.26422736048698425,0.29933857917785645,0.47635307908058167,0.19178320467472076,0.4178851246833801,0.06817606836557388,0.19008098542690277,0.2107497900724411
influential,0.21743842959403992,0.24048969149589539,0.3755773901939392,0.2541041374206543,0.24806271493434906,0.35619789361953735,0.144574373960495,0.19812703132629395,0.1465693712234497
polish,0.08233486860990524,0.15172068774700165,0.2319551259279251,0.17708231508731842,0.10091662406921387,0.16866981983184814,0.6311136484146118,0.12250426411628723,0.14012759923934937
academic,0.10352335125207901,0.21132908761501312,0.2174692153930664,0.15387672185897827,0.4402775466442108,0.20802809298038483,0.24623557925224304,0.2134462594985962,0.11011603474617004
center,0.1908310204744339,0.1111270859837532,0.19517986476421356,0.29064592719078064,0.2763576805591583,0.24526838958263397,0.16993287205696106,0.277944415807724,0.12538520991802216
",",0.3087472915649414,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.3017033040523529,0.4946078956127167,0.25300899147987366,0.22739723324775696,0.31091248989105225
in,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.3201795518398285,0.5696388483047485,0.22642600536346436,0.3118882477283478,0.20430970191955566
kraków,0.15572486817836761,0.15565022826194763,0.216196209192276,0.19051972031593323,0.32162150740623474,0.20613795518875122,0.6385058164596558,0.19584502279758453,0.17615953087806702
.,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.290679007768631,0.5352458953857422,0.26825499534606934,0.23771190643310547,0.4130953550338745
