,what,canadian,cable,station,started,showing,doctor,who,in,2009,?
the,0.42745697498321533,0.2549104690551758,0.2599749267101288,0.23609806597232819,0.3222070634365082,0.34540408849716187,0.2820442318916321,0.3733934462070465,0.6662389636039734,-0.23935742676258087,0.22068053483963013
series,0.17328087985515594,0.17968809604644775,0.33591604232788086,0.14116597175598145,0.2267429679632187,0.20155158638954163,0.2712797522544861,0.21484537422657013,0.2914260923862457,-0.025968510657548904,0.1709602326154709
moved,0.20601840317249298,0.13334956765174866,0.16301709413528442,0.2015480250120163,0.44129589200019836,0.15609192848205566,0.08461787551641464,0.17135502398014069,0.3323737680912018,-0.2739295959472656,0.15112607181072235
to,0.455847829580307,0.1420166939496994,0.1879989206790924,0.21352042257785797,0.24973157048225403,0.2401157021522522,0.22950075566768646,0.42656609416007996,0.45010748505592346,-0.3018359839916229,0.29463258385658264
the,0.42745697498321533,0.2549104690551758,0.2599749267101288,0.23609806597232819,0.3222070634365082,0.34540408849716187,0.2820442318916321,0.3733934462070465,0.6662389636039734,-0.23935742676258087,0.22068053483963013
canadian,0.14819227159023285,1.0,0.26883742213249207,0.10181346535682678,0.14429643750190735,0.05153868347406387,0.17624035477638245,0.24018310010433197,0.15288233757019043,-0.09535439312458038,0.10011322796344757
cable,0.14582780003547668,0.26883742213249207,1.0000001192092896,0.3007422983646393,0.0669623389840126,0.16445334255695343,0.1129671260714531,0.14792867004871368,0.17584200203418732,-0.1329607218503952,0.13993921875953674
channel,0.20295917987823486,0.16623686254024506,0.514900803565979,0.322898268699646,0.1501695066690445,0.20304949581623077,0.14612802863121033,0.17347675561904907,0.210372194647789,-0.12137730419635773,0.20176179707050323
space,0.20525942742824554,0.12857118248939514,0.18002261221408844,0.26735252141952515,0.14305144548416138,0.15988299250602722,0.14775194227695465,0.1441284865140915,0.17648501694202423,-0.18633818626403809,0.1885536164045334
in,0.30808621644973755,0.15288233757019043,0.17584200203418732,0.21784305572509766,0.3199414014816284,0.2822064757347107,0.25567495822906494,0.2792111933231354,1.0,-0.28531888127326965,0.20430970191955566
2009,-0.2519478499889374,-0.09535439312458038,-0.1329607218503952,-0.22200532257556915,-0.1902959793806076,-0.14875277876853943,-0.08192629367113113,-0.22352436184883118,-0.28531888127326965,1.0,-0.2287932187318802
.,0.3567904531955719,0.18228819966316223,0.2110382616519928,0.20999185740947723,0.3230702877044678,0.2555331587791443,0.22361043095588684,0.3541337847709656,0.5591574311256409,-0.3028804063796997,0.4130953550338745
