,the,paternity,of,which,of,genghis,khan,'s,sons,was,disputed,?
the,1.0,0.2534412145614624,0.733189046382904,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.16342225670814514,0.48711544275283813,0.32414746284484863,0.22068053483963013
long,0.3075225353240967,0.1437518298625946,0.2567519545555115,0.34186381101608276,0.2567519545555115,0.15813866257667542,0.05475573614239693,-0.021484635770320892,0.16610561311244965,0.1968146562576294,0.19776122272014618,0.19699987769126892
running,0.28883472084999084,0.14797228574752808,0.2329012006521225,0.30427414178848267,0.2329012006521225,0.1278941035270691,0.16255787014961243,-0.07519974559545517,0.10987812280654907,0.20939749479293823,0.10581076890230179,0.15679655969142914
paternity,0.2534412145614624,0.9999998807907104,0.22376467287540436,0.21822093427181244,0.22376467287540436,0.24109986424446106,0.12114142626523972,-0.0883786752820015,0.31969204545021057,0.2717103362083435,0.09918998926877975,0.22541821002960205
discussion,0.2391178160905838,0.1630716472864151,0.1657310128211975,0.20707884430885315,0.1657310128211975,0.16628989577293396,0.15849561989307404,0.009112026542425156,0.08817917853593826,0.16786788403987885,0.2797221839427948,0.3569658696651459
about,0.37995871901512146,0.19676221907138824,0.40939709544181824,0.4059852957725525,0.40939709544181824,0.21650125086307526,0.10178155452013016,-0.020936643704771996,0.13213381171226501,0.2577359974384308,0.20811837911605835,0.302409827709198
genghis,0.3448939025402069,0.24109986424446106,0.2938849925994873,0.26472097635269165,0.2938849925994873,1.0,0.5896923542022705,0.031423866748809814,0.2966407537460327,0.3037589192390442,0.28525522351264954,0.18813461065292358
',0.474788099527359,0.24923096597194672,0.39136970043182373,0.32852497696876526,0.39136970043182373,0.24026870727539062,0.17487680912017822,0.07651367038488388,0.20059208571910858,0.33675912022590637,0.2051825076341629,0.330942302942276
oldest,0.30836519598960876,0.17908665537834167,0.33351290225982666,0.19479234516620636,0.33351290225982666,0.21217986941337585,0.14978118240833282,-0.014085551723837852,0.21916674077510834,0.29228392243385315,0.20644119381904602,0.14864160120487213
son,0.2102738618850708,0.35645413398742676,0.22933141887187958,0.12632916867733002,0.22933141887187958,0.34843745827674866,0.27596136927604675,-0.035570673644542694,0.6520785689353943,0.3045712113380432,0.17662441730499268,0.14735563099384308
jochi,0.19898229837417603,0.23671545088291168,0.15254677832126617,0.12476388365030289,0.15254677832126617,0.4016976058483124,0.30853474140167236,0.07596804201602936,0.219376340508461,0.22727705538272858,0.16560228168964386,0.10597938299179077
was,0.48711544275283813,0.2717103362083435,0.4069072902202606,0.2830964922904968,0.4069072902202606,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.2263665646314621,1.0000001192092896,0.18628759682178497,0.18412111699581146
particularly,0.32132959365844727,0.14434581995010376,0.30258041620254517,0.4413786828517914,0.30258041620254517,0.13352149724960327,0.12082164734601974,0.0002085742016788572,0.11837538331747055,0.2561531662940979,0.27947118878364563,0.2644225060939789
contentious,0.23275132477283478,0.19700618088245392,0.22034852206707,0.2761619985103607,0.22034852206707,0.2096618413925171,0.1593090444803238,0.018454836681485176,0.12918716669082642,0.20324142277240753,0.36924296617507935,0.3596433699131012
because,0.44596394896507263,0.21882888674736023,0.4075504541397095,0.5717213749885559,0.4075504541397095,0.192069411277771,0.14214344322681427,0.05210670828819275,0.1571362316608429,0.3841400742530823,0.21165134012699127,0.2528740465641022
of,0.733189046382904,0.22376467287540436,1.0,0.5011631846427917,1.0,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.17722462117671967,0.4069072902202606,0.3062489330768585,0.1826142966747284
the,1.0,0.2534412145614624,0.733189046382904,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.16342225670814514,0.48711544275283813,0.32414746284484863,0.22068053483963013
seniority,0.3011188507080078,0.2968106269836426,0.3167976438999176,0.2635996639728546,0.3167976438999176,0.21657854318618774,0.26095348596572876,-0.012295253574848175,0.23713292181491852,0.23554490506649017,0.2993348240852356,0.23012197017669678
of,0.733189046382904,0.22376467287540436,1.0,0.5011631846427917,1.0,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.17722462117671967,0.4069072902202606,0.3062489330768585,0.1826142966747284
jochi,0.19898229837417603,0.23671545088291168,0.15254677832126617,0.12476388365030289,0.15254677832126617,0.4016976058483124,0.30853474140167236,0.07596804201602936,0.219376340508461,0.22727705538272858,0.16560228168964386,0.10597938299179077
among,0.3507058024406433,0.139127716422081,0.3679063022136688,0.3077724575996399,0.3679063022136688,0.19628296792507172,0.1364687979221344,0.01186611782759428,0.19549216330051422,0.23730893433094025,0.2545715272426605,0.14343059062957764
the,1.0,0.2534412145614624,0.733189046382904,0.6521818041801453,0.733189046382904,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.16342225670814514,0.48711544275283813,0.32414746284484863,0.22068053483963013
brothers,0.2150324583053589,0.3962252736091614,0.1853860318660736,0.2096787691116333,0.1853860318660736,0.31579047441482544,0.1681869775056839,0.033226870000362396,0.4788680672645569,0.29881271719932556,0.04794769361615181,0.11019307374954224
.,0.5934505462646484,0.19076770544052124,0.5352458953857422,0.45942068099975586,0.5352458953857422,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.21456153690814972,0.40146201848983765,0.2272973656654358,0.4130953550338745
