,what,is,the,definition,of,agency,as,it,relates,to,capabilities,?
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.3030194044113159,0.48690423369407654,0.1537223905324936,0.31874480843544006,0.5786119699478149,0.24376428127288818,0.3691340684890747,0.2535708546638489,0.15103481709957123
goal,0.2571476101875305,0.20883920788764954,0.2443244755268097,0.2413698136806488,0.1838325709104538,0.1355379968881607,0.17705819010734558,0.1903461366891861,0.08205322176218033,0.37094977498054504,0.2761124074459076,0.1964566856622696
is,0.28837618231773376,1.0,0.5823672413825989,0.29006320238113403,0.4854315221309662,0.1915283501148224,0.43216490745544434,0.6328473687171936,0.29679545760154724,0.42745086550712585,0.13866184651851654,0.22961433231830597
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2924377918243408,0.41548454761505127,0.24151217937469482,0.42092081904411316,0.513711154460907,0.2781286835670471,1.0,0.30316877365112305,0.29463258385658264
“,-0.009074612520635128,-0.040780652314424515,-0.004561804234981537,-0.012154332362115383,0.006646031979471445,-0.04375266283750534,0.011312414892017841,-0.03867692872881889,0.004979676567018032,-0.0772603452205658,-0.08671193569898605,-0.043535903096199036
wid,0.2543022334575653,0.16644152998924255,0.27113085985183716,0.19052821397781372,0.24488352239131927,0.20504164695739746,0.2605492174625397,0.17898574471473694,0.17478550970554352,0.26855215430259705,0.2614971995353699,0.2873041331768036
[,0.010752761736512184,-0.06921151280403137,0.07130392640829086,0.051771312952041626,0.010817250236868858,0.1441827118396759,0.018050309270620346,0.008456743322312832,0.06438867002725601,0.07649242132902145,0.14262808859348297,0.011015460826456547
en,0.2365063726902008,0.18463604152202606,0.1751408874988556,0.1605719029903412,0.12889879941940308,0.1079598218202591,0.16549506783485413,0.2166237086057663,0.10768270492553711,0.20438767969608307,0.08349055796861649,0.3125995695590973
],-0.03775298595428467,-0.02998926118016243,-0.04779602214694023,0.041059788316488266,-0.035044461488723755,-0.03862916678190231,-0.03319411352276802,-0.07210399955511093,0.07627203315496445,-0.04249158129096031,0.013741934671998024,-0.0022520492784678936
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.22950835525989532,0.3251037895679474,0.13940711319446564,0.15704652667045593,0.3940119743347168,0.16582520306110382,0.37275731563568115,0.1782916635274887,0.23739641904830933
’,-0.01733604073524475,0.024411404505372047,-0.04090067744255066,-0.05900876224040985,-0.062016043812036514,0.013130995444953442,0.040084436535835266,-0.05892043933272362,0.16758720576763153,0.00253736088052392,-0.0365038700401783,0.045561522245407104
s,0.3634900748729706,0.3467119336128235,0.46610721945762634,0.19211983680725098,0.42263656854629517,0.20188988745212555,0.3269108533859253,0.3516581058502197,0.30482399463653564,0.35941416025161743,0.1609041839838028,0.25130221247673035
choices,0.3977566659450531,0.2188650518655777,0.26494893431663513,0.3072948157787323,0.27321237325668335,0.059802498668432236,0.24931994080543518,0.20992298424243927,0.23513580858707428,0.34139084815979004,0.3772680461406708,0.34390366077423096
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.1981266289949417,0.5116966962814331,0.23476453125476837,0.49487000703811646,0.40957894921302795,0.28937336802482605,0.48971283435821533,0.2930736839771271,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.23176956176757812,0.733189046382904,0.24253644049167633,0.48381632566452026,0.6251175999641418,0.28690454363822937,0.535392165184021,0.2042628526687622,0.22068053483963013
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.2564094066619873,0.23504668474197388,0.20346783101558685,0.24387936294078827,0.2690049707889557,0.20567667484283447,0.2976585030555725,0.2986676096916199,0.20528386533260345
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24912455677986145,1.0,0.21890796720981598,0.3886612355709076,0.38761502504348755,0.3167797923088074,0.41548454761505127,0.18993353843688965,0.1826142966747284
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.16472290456295013,0.4329940676689148,0.1325571984052658,0.29218852519989014,0.3067983090877533,0.2135649025440216,0.44619059562683105,0.34684044122695923,0.1898253709077835
achieved,0.1794850081205368,0.17253297567367554,0.2821090817451477,0.22822532057762146,0.2701522707939148,0.04671544209122658,0.1931815892457962,0.19999560713768005,0.18281613290309906,0.23572973906993866,0.36347925662994385,0.17008265852928162
well-being,0.3161223232746124,0.3382420837879181,0.4274795949459076,0.2482852339744568,0.3677307963371277,0.25629645586013794,0.462934672832489,0.3358263075351715,0.2256939709186554,0.41242629289627075,0.36090266704559326,0.27211615443229675
”,-0.08669018000364304,-0.03237918019294739,-0.13169695436954498,0.0023985146544873714,-0.06583167612552643,0.03434043750166893,-0.09208422899246216,-0.10021798312664032,-0.05052958428859711,-0.04376490041613579,0.08938466012477875,0.014230710454285145
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.12075835466384888,0.3647414743900299,0.20693744719028473,0.24602261185646057,0.3374522924423218,0.17007671296596527,0.4062686562538147,0.23233555257320404,0.16913433372974396
increasing,0.2066856026649475,0.21545660495758057,0.34958165884017944,0.2830183804035187,0.3524707853794098,0.15953898429870605,0.254536509513855,0.22851604223251343,0.3462824523448944,0.35017409920692444,0.3747677505016327,0.0681626945734024
functionings,0.290803462266922,0.19443006813526154,0.25570741295814514,0.4115445911884308,0.20480068027973175,0.2424280196428299,0.2806631624698639,0.2656348645687103,0.321500301361084,0.27534425258636475,0.48321688175201416,0.20903807878494263
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.25452232360839844,0.35032153129577637,0.20146732032299042,0.32029855251312256,0.2745298147201538,0.24649272859096527,0.30882009863853455,0.16435016691684723,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.23176956176757812,0.733189046382904,0.24253644049167633,0.48381632566452026,0.6251175999641418,0.28690454363822937,0.535392165184021,0.2042628526687622,0.22068053483963013
things,0.5577362775802612,0.27847638726234436,0.30825191736221313,0.26150640845298767,0.2970648407936096,0.09925420582294464,0.3078339993953705,0.38758355379104614,0.3359606862068176,0.3824876844882965,0.3496960699558258,0.36181706190109253
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2941339910030365,0.5052502155303955,0.186392143368721,0.39550232887268066,0.5452592968940735,0.28052860498428345,0.45503583550453186,0.22750458121299744,0.23916715383529663
