,what,percent,of,untreated,victims,of,the,plague,die,within,8,days,?
left,0.2442072629928589,0.14575202763080597,0.2218635529279709,0.2930207848548889,0.10340908914804459,0.2218635529279709,0.33113980293273926,0.14325696229934692,0.20677082240581512,0.14302405714988708,0.004008702002465725,0.18302004039287567,0.13251960277557373
untreated,0.28699490427970886,0.3640775978565216,0.2871471643447876,1.0,0.3418315649032593,0.2871471643447876,0.3021855652332306,0.36532512307167053,0.3575003445148468,0.23764543235301971,0.010529115796089172,0.24875961244106293,0.19567735493183136
",",0.3087472915649414,0.19088563323020935,0.4946078956127167,0.2626021206378937,0.1933097541332245,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.23915338516235352,0.2513136863708496,-0.02218378335237503,0.34504905343055725,0.31091248989105225
of,0.33290785551071167,0.3004763424396515,1.0,0.2871471643447876,0.21811941266059875,1.0,0.733189046382904,0.27455615997314453,0.21324244141578674,0.39594778418540955,0.03280399739742279,0.23668107390403748,0.1826142966747284
those,0.44466671347618103,0.3478440046310425,0.37935635447502136,0.3454867899417877,0.2579428255558014,0.37935635447502136,0.42861196398735046,0.20531882345676422,0.2080976665019989,0.34819474816322327,-0.05016889423131943,0.2589717507362366,0.3328189253807068
that,0.6297725439071655,0.2902362644672394,0.41498205065727234,0.3688133955001831,0.25451913475990295,0.41498205065727234,0.5473989248275757,0.23825600743293762,0.19138021767139435,0.33798906207084656,0.02423100359737873,0.3029259145259857,0.32716336846351624
contract,0.2276902049779892,0.11265556514263153,0.13800480961799622,0.23463352024555206,0.1252264678478241,0.13800480961799622,0.23003633320331573,0.10311628133058548,0.13347554206848145,0.08447791635990143,-0.028730807825922966,0.16202571988105774,0.12573233246803284
the,0.42745697498321533,0.277066707611084,0.733189046382904,0.3021855652332306,0.21845385432243347,0.733189046382904,1.0,0.2537761330604553,0.2242266982793808,0.39827480912208557,0.0063715726137161255,0.2574930489063263,0.22068053483963013
bubonic,0.24423125386238098,0.2527365982532501,0.30323511362075806,0.511189877986908,0.3689363896846771,0.30323511362075806,0.3366847634315491,0.6634843349456787,0.3109304904937744,0.17455776035785675,0.05735798180103302,0.2623765170574188,0.21706949174404144
plague,0.22263506054878235,0.19632624089717865,0.27455615997314453,0.36532512307167053,0.3393697440624237,0.27455615997314453,0.2537761330604553,0.9999999403953552,0.3261300027370453,0.14751115441322327,0.06472613662481308,0.24244840443134308,0.11872942000627518
",",0.3087472915649414,0.19088563323020935,0.4946078956127167,0.2626021206378937,0.1933097541332245,0.4946078956127167,0.4933079481124878,0.2630122900009155,0.23915338516235352,0.2513136863708496,-0.02218378335237503,0.34504905343055725,0.31091248989105225
80,0.04945533350110054,0.09243135154247284,-0.048517487943172455,0.18347877264022827,0.06000209227204323,-0.048517487943172455,0.003630283521488309,0.13736845552921295,0.14227554202079773,0.106166772544384,0.014429807662963867,0.14881564676761627,0.04445207491517067
percent,0.2506202459335327,0.9999999403953552,0.3004763424396515,0.3640775978565216,0.1846141815185547,0.3004763424396515,0.277066707611084,0.19632624089717865,0.19146904349327087,0.2677944004535675,-0.0023499145172536373,0.2555599808692932,0.14671556651592255
die,0.1980936974287033,0.19146904349327087,0.21324244141578674,0.3575003445148468,0.24401339888572693,0.21324244141578674,0.2242266982793808,0.3261300027370453,1.0,0.09885279089212418,0.030926594510674477,0.25128474831581116,0.16891060769557953
within,0.2498195916414261,0.2677944004535675,0.39594778418540955,0.23764543235301971,0.17290493845939636,0.39594778418540955,0.39827480912208557,0.14751115441322327,0.09885279089212418,1.0,-0.04570808634161949,0.2874232530593872,0.1870293766260147
eight,0.15383057296276093,0.2912273705005646,0.3220755457878113,0.150730699300766,0.1694643795490265,0.3220755457878113,0.34254369139671326,0.22966772317886353,0.18246643245220184,0.32498207688331604,0.011716477572917938,0.28847524523735046,0.11634626984596252
days,0.2191895991563797,0.2555599808692932,0.23668107390403748,0.24875961244106293,0.1626124531030655,0.23668107390403748,0.2574930489063263,0.24244840443134308,0.25128474831581116,0.2874232530593872,0.012257984839379787,0.9999998807907104,0.2198754847049713
.,0.3567904531955719,0.2556350827217102,0.5352458953857422,0.31498515605926514,0.2188129425048828,0.5352458953857422,0.5934505462646484,0.2547653317451477,0.2658497095108032,0.2984525263309479,-0.04428426921367645,0.2610209584236145,0.4130953550338745
