,who,is,a,bill,referred,to,for,a,ruling,on,whether,it,'s,within,the,powers,of,the,parliament,?
however,0.4020770490169525,0.33769986033439636,0.38150349259376526,0.2647266983985901,0.3152376711368561,0.5474119186401367,0.44511833786964417,0.38150349259376526,0.3292786180973053,0.3940407931804657,0.5178834199905396,0.467002272605896,0.011690815910696983,0.3394382894039154,0.49814513325691223,0.28238722681999207,0.3800618350505829,0.49814513325691223,0.20086221396923065,0.2152075469493866
he,0.5500732064247131,0.36230841279029846,0.4393508732318878,0.1681041419506073,0.14897215366363525,0.385390967130661,0.4540175199508667,0.4393508732318878,0.24754543602466583,0.32403138279914856,0.20826707780361176,0.36018872261047363,0.024063590914011,0.17190603911876678,0.4571082592010498,0.18360742926597595,0.38706058263778687,0.4571082592010498,0.2913595736026764,0.2089974731206894
can,0.2602734863758087,0.44256699085235596,0.3915780484676361,0.17938722670078278,0.18392983078956604,0.4979398250579834,0.35690054297447205,0.3915780484676361,0.07614870369434357,0.2772369682788849,0.424742728471756,0.3819273114204407,-0.02075597457587719,0.27913734316825867,0.312528520822525,0.1965104341506958,0.2603091299533844,0.312528520822525,0.1599172055721283,0.3226337134838104
not,0.369414746761322,0.3776007890701294,0.3791346549987793,0.2060050219297409,0.26059582829475403,0.5149973034858704,0.39280617237091064,0.3791346549987793,0.23397797346115112,0.3516409695148468,0.5590019822120667,0.4651523232460022,0.002583299996331334,0.33411741256713867,0.4310511648654938,0.25354844331741333,0.3307090103626251,0.4310511648654938,0.22406005859375,0.41942933201789856
do,0.2662210166454315,0.30895981192588806,0.26237669587135315,0.14255335927009583,0.17293387651443481,0.38876664638519287,0.29510271549224854,0.26237669587135315,0.15039287507534027,0.3025321364402771,0.37359970808029175,0.337066113948822,-0.01994597539305687,0.21291908621788025,0.30239659547805786,0.19472680985927582,0.26150479912757874,0.30239659547805786,0.12404073029756546,0.4093979299068451
so,0.39952170848846436,0.3153412640094757,0.41474464535713196,0.17159032821655273,0.16193421185016632,0.5091881155967712,0.41512128710746765,0.41474464535713196,0.21931055188179016,0.31848302483558655,0.4901578426361084,0.49116790294647217,0.04364320635795593,0.2950783967971802,0.4296516180038452,0.219061017036438,0.3184450566768646,0.4296516180038452,0.16858255863189697,0.43163934350013733
until,0.2530071437358856,0.23065046966075897,0.2314814180135727,0.13908688724040985,0.15613876283168793,0.354556679725647,0.2802979350090027,0.2314814180135727,0.25510933995246887,0.3038109838962555,0.23905718326568604,0.31202051043510437,0.02445155940949917,0.24258723855018616,0.37191009521484375,0.17284534871578217,0.2787701487541199,0.37191009521484375,0.22844664752483368,0.20304496586322784
a,0.36608949303627014,0.658733606338501,1.0,0.24716360867023468,0.2686276137828827,0.45503583550453186,0.44038116931915283,1.0,0.17601518332958221,0.3848365545272827,0.38829004764556885,0.5452592968940735,0.04866964742541313,0.3858051896095276,0.5829201340675354,0.17258815467357635,0.5052502155303955,0.5829201340675354,0.22951169312000275,0.23916715383529663
4-week,0.25775083899497986,0.1917576640844345,0.277241051197052,0.306379497051239,0.09414418041706085,0.27749305963516235,0.2990526258945465,0.277241051197052,0.12564419209957123,0.3816453516483307,0.1583346575498581,0.23467355966567993,-0.04472909867763519,0.21309047937393188,0.2720770835876465,0.1538853943347931,0.19790403544902802,0.2720770835876465,0.24590811133384705,0.3147886395454407
period,0.2116105854511261,0.1838376820087433,0.25205814838409424,0.09473501890897751,0.1486377716064453,0.24346192181110382,0.27999383211135864,0.25205814838409424,0.25733843445777893,0.16633686423301697,0.2570325434207916,0.2586527168750763,-0.05741342157125473,0.24535207450389862,0.3125074505805969,0.09013009071350098,0.2698146104812622,0.3125074505805969,0.17597022652626038,0.18706195056438446
