,how,many,total,judges,are,there,in,the,eu,?
under,0.23006081581115723,0.21268652379512787,0.23890811204910278,0.14211033284664154,0.2196284979581833,0.23181530833244324,0.2535393238067627,0.3348022699356079,0.15428878366947174,0.18233340978622437
the,0.33890387415885925,0.4335206151008606,0.27068960666656494,0.2646847069263458,0.40399202704429626,0.47025805711746216,0.6662389636039734,1.0,0.14126400649547577,0.22068053483963013
treaty,0.15433618426322937,0.139576718211174,0.13607314229011536,0.1450202465057373,0.11571057140827179,0.1640441119670868,0.22333456575870514,0.2690109610557556,0.23946674168109894,0.1174844279885292
on,0.32655060291290283,0.32520127296447754,0.19572006165981293,0.2548919916152954,0.268924742937088,0.3521401882171631,0.46853652596473694,0.5107308030128479,0.18063917756080627,0.2714994251728058
european,0.123964823782444,0.24996337294578552,0.05487825721502304,0.19817353785037994,0.15548661351203918,0.18805880844593048,0.23319172859191895,0.3423081040382385,0.46552222967147827,0.14560863375663757
union,0.1126161515712738,0.18863573670387268,0.17450490593910217,0.12053889036178589,0.15829040110111237,0.18366625905036926,0.22726479172706604,0.24421639740467072,0.3292396068572998,0.07797172665596008
article,0.3256285786628723,0.24520297348499298,0.16273750364780426,0.24010643362998962,0.23467081785202026,0.30957189202308655,0.26153311133384705,0.3329811692237854,0.21028774976730347,0.4948462247848511
19,0.08316059410572052,-0.025691039860248566,-0.11147810518741608,-0.009823882021009922,-0.0483374185860157,-0.1346471756696701,-0.1978580802679062,-0.17766842246055603,-0.059551045298576355,0.008002291433513165
(,0.1676948219537735,0.1455259770154953,0.2282908409833908,0.14336660504341125,0.23263892531394958,0.22351126372814178,0.3087427020072937,0.33289089798927307,0.1709967851638794,0.40561532974243164
2,-0.02554285153746605,-0.06294522434473038,-0.057577744126319885,-0.10981490463018417,-0.028399748727679253,-0.02594512142241001,0.01447046548128128,-0.019434669986367226,0.028872564435005188,0.001977203879505396
),0.17939934134483337,0.16602720320224762,0.2389112114906311,0.12071380764245987,0.2373749315738678,0.24042794108390808,0.3326910734176636,0.3456730246543884,0.1733860969543457,0.42300865054130554
there,0.3328511416912079,0.4993700683116913,0.2835027277469635,0.19558565318584442,0.5433560013771057,1.0,0.5361666083335876,0.47025805711746216,0.0963774099946022,0.29405656456947327
is,0.22544461488723755,0.2649032473564148,0.18159881234169006,0.2045072466135025,0.5330929756164551,0.3904260993003845,0.5394441485404968,0.5823672413825989,0.12234814465045929,0.22961433231830597
