,in,which,year,was,reverend,chauncy,hare,townshend,'s,collection,of,gems,was,bequeathed,to,the,museum,?
major,0.3249945342540741,0.31470122933387756,0.17671433091163635,0.20676274597644806,0.16220472753047943,0.19647854566574097,0.19822892546653748,0.2445679008960724,-0.010959804058074951,0.18903550505638123,0.2641255557537079,0.0838463306427002,0.20676274597644806,0.1730319708585739,0.19240309298038483,0.31775903701782227,0.13597285747528076,0.19788557291030884
bequests,0.2505158483982086,0.29160788655281067,0.2254389524459839,0.2255469411611557,0.26149997115135193,0.2564011812210083,0.15251591801643372,0.21720924973487854,0.027386799454689026,0.30357474088668823,0.33497053384780884,0.34158414602279663,0.2255469411611557,0.5047856569290161,0.34530237317085266,0.3262823522090912,0.27957281470298767,0.254306435585022
include,0.28694382309913635,0.33084139227867126,0.09986922144889832,0.10680413991212845,0.12152399867773056,0.16127963364124298,0.15493090450763702,0.16255369782447815,-0.07849370688199997,0.30674809217453003,0.37431180477142334,0.20181450247764587,0.10680413991212845,0.1324080526828766,0.1820748895406723,0.2951717972755432,0.13027560710906982,0.14925788342952728
reverend,0.2380610704421997,0.14126276969909668,0.0727403536438942,0.2913411855697632,1.0,0.40232595801353455,0.196029394865036,0.491888165473938,0.024746235460042953,0.15349911153316498,0.23484614491462708,0.18691886961460114,0.2913411855697632,0.36977678537368774,0.22424015402793884,0.21770034730434418,0.11381205171346664,0.14386914670467377
chauncy,0.2678554952144623,0.18668662011623383,0.20429690182209015,0.2884393334388733,0.40232595801353455,0.9999999403953552,0.23004630208015442,0.41784393787384033,-0.004969189874827862,0.16040073335170746,0.2758171260356903,0.1945929229259491,0.2884393334388733,0.3055216372013092,0.21688321232795715,0.2970399260520935,0.13586077094078064,0.29293984174728394
hare,0.1784706711769104,0.1782471090555191,0.16502325236797333,0.16433210670948029,0.196029394865036,0.23004630208015442,1.0,0.17908060550689697,0.10197870433330536,0.14561942219734192,0.18918932974338531,0.04151129350066185,0.16433210670948029,0.3334082067012787,0.21566303074359894,0.22638079524040222,0.20855821669101715,0.13609841465950012
townshend,0.24689491093158722,0.1955716609954834,0.20126774907112122,0.3292138874530792,0.491888165473938,0.41784393787384033,0.17908060550689697,1.0,0.06038576737046242,0.1549564152956009,0.20114754140377045,0.16817620396614075,0.3292138874530792,0.270186185836792,0.24616986513137817,0.20970672369003296,0.11013170331716537,0.19476696848869324
's,-0.037580832839012146,0.03856118768453598,-0.04087831452488899,0.008974763564765453,0.024746235460042953,-0.004969189874827862,0.10197870433330536,0.06038576737046242,0.9999999403953552,0.003388406243175268,-0.03817026689648628,0.07074031978845596,0.008974763564765453,0.023139791563153267,0.03782717138528824,-0.01540423184633255,-0.011753248050808907,-0.023395681753754616
collection,0.23004686832427979,0.30199134349823,0.12698578834533691,0.1743653565645218,0.15349911153316498,0.16040073335170746,0.14561942219734192,0.1549564152956009,0.003388406243175268,0.9999998807907104,0.2915455996990204,0.2563253939151764,0.1743653565645218,0.3697202205657959,0.15417452156543732,0.25281965732574463,0.4441815912723541,0.20069393515586853
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.23484614491462708,0.2758171260356903,0.18918932974338531,0.20114754140377045,-0.03817026689648628,0.2915455996990204,1.0,0.20048688352108002,0.4069072902202606,0.39016157388687134,0.41548454761505127,0.733189046382904,0.23314370214939117,0.1826142966747284
154,0.05752888694405556,0.2475435584783554,0.029492292553186417,-0.0015490669757127762,0.138823002576828,0.026930222287774086,0.0047241016291081905,0.12939848005771637,-0.042714186012744904,0.03289703279733658,0.1353827863931656,0.08402311056852341,-0.0015490669757127762,-0.02533453144133091,0.28490403294563293,0.18359190225601196,0.039721373468637466,0.266965389251709
gems,0.16301465034484863,0.27672791481018066,0.08950088173151016,0.12906786799430847,0.18691886961460114,0.1945929229259491,0.04151129350066185,0.16817620396614075,0.07074031978845596,0.2563253939151764,0.20048688352108002,1.0000001192092896,0.12906786799430847,0.20110321044921875,0.22353056073188782,0.2031181901693344,0.20098498463630676,0.1336745172739029
bequeathed,0.30938994884490967,0.27047646045684814,0.18617591261863708,0.4350752532482147,0.36977678537368774,0.3055216372013092,0.3334082067012787,0.270186185836792,0.023139791563153267,0.3697202205657959,0.39016157388687134,0.20110321044921875,0.4350752532482147,1.0,0.25286343693733215,0.33061784505844116,0.3917529881000519,0.10575178265571594
in,1.0,0.4840516746044159,0.3359307050704956,0.45514053106307983,0.2380610704421997,0.2678554952144623,0.1784706711769104,0.24689491093158722,-0.037580832839012146,0.23004686832427979,0.5696388483047485,0.16301465034484863,0.45514053106307983,0.30938994884490967,0.45010748505592346,0.6662389636039734,0.2407650351524353,0.20430970191955566
1869,-0.023044336587190628,-0.06281723827123642,-0.03053871914744377,0.132489413022995,0.2717534899711609,0.15615467727184296,0.08250334113836288,0.14164964854717255,0.019840387627482414,0.1748742163181305,0.10487952083349228,0.0019488896941766143,0.132489413022995,0.25620967149734497,-0.05272897705435753,0.024187540635466576,0.12345144152641296,-0.025194555521011353
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.45456063747406006,0.33965903520584106,0.34415093064308167,0.2906651198863983,0.3653388023376465,-0.0016132977325469255,0.2277175933122635,0.4946078956127167,0.17583541572093964,0.45456063747406006,0.38536176085472107,0.44245919585227966,0.4933079481124878,0.20741747319698334,0.31091248989105225
