,what,is,the,total,number,of,professors,",",instructors,",",and,lecturers,at,harvard,?
harvard,0.2177114188671112,0.15387701988220215,0.24496200680732727,0.1318056881427765,0.16178607940673828,0.25842633843421936,0.4594172239303589,0.2719281017780304,0.30319181084632874,0.2719281017780304,0.2453373372554779,0.34639206528663635,0.2837338149547577,1.0,0.11685016006231308
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.1334245651960373,0.033178191632032394,-0.03817026689648628,0.012047018855810165,-0.0016132977325469255,0.05767315626144409,-0.0016132977325469255,0.06895173341035843,0.02336389385163784,-0.08481216430664062,-0.06887804716825485,-0.023395681753754616
"2,400",0.37551960349082947,0.1359592080116272,0.11509591341018677,0.12413340061903,0.1906282603740692,0.048194751143455505,0.0004056766629219055,0.2748886048793793,0.08890146762132645,0.2748886048793793,0.11496229469776154,-0.022421550005674362,0.1308782994747162,0.049857042729854584,0.5070164203643799
professors,0.22102440893650055,0.17092788219451904,0.19479714334011078,0.06860298663377762,0.18401999771595,0.25740572810173035,0.9999998807907104,0.2424357384443283,0.4266020655632019,0.2424357384443283,0.2570621967315674,0.5052412748336792,0.24208836257457733,0.4594172239303589,0.14217308163642883
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25815486907958984,0.2535701394081116,0.4946078956127167,0.2424357384443283,1.0000001192092896,0.22454477846622467,1.0000001192092896,0.6633074283599854,0.1594136506319046,0.38314947485923767,0.2719281017780304,0.31091248989105225
lecturers,0.1991581916809082,0.10009043663740158,0.22288693487644196,0.1923331618309021,0.20781990885734558,0.20241105556488037,0.5052412748336792,0.1594136506319046,0.40734800696372986,0.1594136506319046,0.2204856425523758,1.0000001192092896,0.25058090686798096,0.34639206528663635,0.12270024418830872
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25815486907958984,0.2535701394081116,0.4946078956127167,0.2424357384443283,1.0000001192092896,0.22454477846622467,1.0000001192092896,0.6633074283599854,0.1594136506319046,0.38314947485923767,0.2719281017780304,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2520328164100647,0.28545793890953064,0.5116966962814331,0.2570621967315674,0.6633074283599854,0.25368764996528625,0.6633074283599854,1.0,0.2204856425523758,0.3571503460407257,0.2453373372554779,0.20544172823429108
instructors,0.25257185101509094,0.14403685927391052,0.23405973613262177,0.20132441818714142,0.28446781635284424,0.19770705699920654,0.4266020655632019,0.22454477846622467,1.0,0.22454477846622467,0.25368764996528625,0.40734800696372986,0.18926063179969788,0.30319181084632874,0.1729445457458496
instruct,0.34282732009887695,0.17816121876239777,0.19295045733451843,0.12619392573833466,0.258433997631073,0.18130062520503998,0.2780742347240448,0.18344762921333313,0.6791011095046997,0.18344762921333313,0.23905257880687714,0.26292046904563904,0.11799916625022888,0.25238946080207825,0.19105303287506104
"7,200",0.17975500226020813,0.17793749272823334,0.2072421908378601,0.099105104804039,0.07098741084337234,0.17097708582878113,-0.07311991602182388,0.060206979513168335,-0.015194478444755077,0.060206979513168335,0.10603591054677963,-0.024898046627640724,0.11042962968349457,-0.14684095978736877,0.009943346492946148
undergraduates,0.1987558901309967,0.21730858087539673,0.23465903103351593,0.26244816184043884,0.2133442908525467,0.2865331470966339,0.5549293756484985,0.22169508039951324,0.4275188148021698,0.22169508039951324,0.28725674748420715,0.40290409326553345,0.2578049600124359,0.44903212785720825,0.14489197731018066
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2520328164100647,0.28545793890953064,0.5116966962814331,0.2570621967315674,0.6633074283599854,0.25368764996528625,0.6633074283599854,1.0,0.2204856425523758,0.3571503460407257,0.2453373372554779,0.20544172823429108
"14,000",-0.03676655888557434,0.006820845417678356,0.08103297650814056,-0.06446821242570877,-0.041594717651605606,0.10694579780101776,0.11318618804216385,0.06655260920524597,0.07964939624071121,0.06655260920524597,0.09435336291790009,0.04813671112060547,0.030863337218761444,0.12302351742982864,-0.030015114694833755
graduate,0.19785571098327637,0.19379109144210815,0.1983441710472107,0.11011997610330582,0.08370281755924225,0.21445734798908234,0.5210060477256775,0.2738925516605377,0.41003286838531494,0.2738925516605377,0.27139508724212646,0.36536699533462524,0.25927627086639404,0.47444552183151245,0.13230688869953156
students,0.2380729615688324,0.2124544233083725,0.25268980860710144,0.16213786602020264,0.18129347264766693,0.25513339042663574,0.4915837347507477,0.26501646637916565,0.4343366026878357,0.26501646637916565,0.28111961483955383,0.4174351096153259,0.26965975761413574,0.33647945523262024,0.18017297983169556
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2295650690793991,0.3256329298019409,0.5352458953857422,0.2063354253768921,0.6812511086463928,0.18801215291023254,0.6812511086463928,0.588965117931366,0.1560957282781601,0.4549728035926819,0.254516065120697,0.4130953550338745
