,what,percentage,of,british,children,are,educated,at,gsce,level,in,fee-paying,schools,?
according,0.2776208221912384,0.18052242696285248,0.3307822346687317,0.14030468463897705,0.18380066752433777,0.22847512364387512,0.241163969039917,0.25376394391059875,0.3336111605167389,0.11958116292953491,0.29259276390075684,0.1689995378255844,0.2182181030511856,0.21173474192619324
to,0.455847829580307,0.25744274258613586,0.41548454761505127,0.22690963745117188,0.23135778307914734,0.3504326641559601,0.25168463587760925,0.36524343490600586,0.3122643232345581,0.2976585030555725,0.45010748505592346,0.3369658291339874,0.2362271547317505,0.29463258385658264
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.28973397612571716,0.15654058754444122,0.40399202704429626,0.17324267327785492,0.457212895154953,0.35923200845718384,0.31442487239837646,0.6662389636039734,0.2727442979812622,0.22905772924423218,0.22068053483963013
good,0.3916934132575989,0.2455357164144516,0.2696770131587982,0.1681857705116272,0.23338313400745392,0.2658696472644806,0.2892819344997406,0.2845047116279602,0.3132695257663727,0.2348794937133789,0.2152448445558548,0.33155152201652527,0.2281089574098587,0.3187684714794159
schools,0.1820785105228424,0.1464802473783493,0.265506386756897,0.1199653223156929,0.3170471489429474,0.30816179513931274,0.4708879292011261,0.21788150072097778,0.21127840876579285,0.22917918860912323,0.2632134258747101,0.25693243741989136,1.0,0.18349280953407288
guide,0.20394113659858704,0.12882594764232635,0.16701211035251617,0.1455782800912857,0.19403629004955292,0.19923700392246246,0.12959536910057068,0.14916343986988068,0.32832571864128113,0.11571724712848663,0.1711975336074829,0.13612189888954163,0.17631520330905914,0.17585812509059906
approximately,0.21610312163829803,0.3405741751194,0.34526896476745605,0.09731001406908035,0.08481530845165253,0.28388988971710205,0.16902214288711548,0.2883029878139496,0.29035302996635437,0.18121935427188873,0.3145860731601715,0.28037258982658386,0.177535280585289,0.10237617790699005
9,-0.048040688037872314,-0.06228327378630638,0.01387986820191145,0.023713145405054092,-0.007601025979965925,-0.061853282153606415,0.15086641907691956,0.009178941138088703,0.012129035778343678,-0.06951406598091125,0.002698394237086177,-0.09530918300151825,0.004186832811683416,-0.026682810857892036
per,0.21384303271770477,0.33415210247039795,0.17468707263469696,0.06905875355005264,0.09838064014911652,0.21594563126564026,0.05968761444091797,0.19678546488285065,0.2291419357061386,0.22996217012405396,0.1975519210100174,0.24916210770606995,0.13300858438014984,0.22323818504810333
cent,0.17630065977573395,0.3120506703853607,0.17454902827739716,0.10621654987335205,0.14278286695480347,0.205030158162117,0.12584030628204346,0.1505783200263977,0.2403091937303543,0.20294436812400818,0.17579324543476105,0.22364400327205658,0.18740835785865784,0.21050448715686798
of,0.33290785551071167,0.24724560976028442,1.0,0.23701532185077667,0.1978350728750229,0.39081433415412903,0.2250576615333557,0.42558613419532776,0.3012672960758209,0.23504668474197388,0.5696388483047485,0.24557237327098846,0.265506386756897,0.1826142966747284
children,0.22469459474086761,0.15575432777404785,0.1978350728750229,0.19053633511066437,1.0,0.22232650220394135,0.3584302067756653,0.2094024121761322,0.12174933403730392,0.1654973179101944,0.2065156251192093,0.20284010469913483,0.3170471489429474,0.21788206696510315
being,0.3760843276977539,0.2411126345396042,0.34885138273239136,0.2751213014125824,0.1566338986158371,0.4656608998775482,0.2245531976222992,0.2686914801597595,0.2110196352005005,0.18006549775600433,0.33162933588027954,0.41534653306007385,0.17241530120372772,0.26743772625923157
educated,0.22306500375270844,0.12706783413887024,0.2250576615333557,0.25442326068878174,0.3584302067756653,0.1411253958940506,0.9999998807907104,0.28241196274757385,0.13190095126628876,0.17760129272937775,0.2402513176202774,0.3088517487049103,0.4708879292011261,0.1427479386329651
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.23084034025669098,0.2065156251192093,0.3841303884983063,0.2402513176202774,0.4374977946281433,0.28211987018585205,0.279204785823822,1.0,0.24017971754074097,0.2632134258747101,0.20430970191955566
