,who,was,the,famous,huguenot,theologian,and,writer,in,london,?
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.34673580527305603,0.26198551058769226,0.16881301999092102,0.4954058527946472,0.19054412841796875,1.0,0.2785358726978302,0.20430970191955566
relative,0.1658066362142563,0.12899231910705566,0.24540278315544128,0.07275267690420151,0.22706635296344757,0.1608363687992096,0.3077041506767273,0.11148103326559067,0.19146351516246796,0.056361179798841476,0.1457768678665161
terms,0.17002904415130615,0.22082383930683136,0.29706791043281555,0.05442172288894653,0.16746209561824799,0.13191406428813934,0.26477551460266113,0.09695865213871002,0.2410934716463089,0.07886156439781189,0.23466452956199646
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.2816491723060608,0.24752236902713776,0.2568129003047943,0.6633074283599854,0.2910175621509552,0.5201468467712402,0.2571207880973816,0.31091248989105225
this,0.3345087468624115,0.3638818562030792,0.6274310946464539,0.20630793273448944,0.2300579845905304,0.12048234045505524,0.42353692650794983,0.11824504286050797,0.45205554366111755,0.2333558052778244,0.3155723512172699
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.31606587767601013,0.24281072616577148,0.2595475912094116,0.3740963041782379,0.29712387919425964,0.45514053106307983,0.3026486933231354,0.18412111699581146
one,0.40083858370780945,0.3752199709415436,0.5514441132545471,0.3981626033782959,0.19037187099456787,0.11394446343183517,0.42438167333602905,0.15020453929901123,0.4129433035850525,0.19502635300159454,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.3074295222759247,0.29061198234558105,0.17709659039974213,0.5116966962814331,0.14383116364479065,0.5696388483047485,0.2159106284379959,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.28616565465927124,0.29557526111602783,0.15342873334884644,0.5171257257461548,0.1583879292011261,0.6662389636039734,0.27034124732017517,0.22068053483963013
largest,0.12422340363264084,0.2198711782693863,0.3757036626338959,0.2691381275653839,0.19646020233631134,0.11447399109601974,0.24602696299552917,0.11140000075101852,0.3017216920852661,0.11043716222047806,0.12401245534420013
waves,0.14294302463531494,0.12913775444030762,0.2572701871395111,0.12189394235610962,0.16901397705078125,0.1125485897064209,0.24520672857761383,0.06239345669746399,0.22372759878635406,0.16023917496204376,0.1603909134864807
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.3074295222759247,0.29061198234558105,0.17709659039974213,0.5116966962814331,0.14383116364479065,0.5696388483047485,0.2159106284379959,0.1826142966747284
immigration,0.24682888388633728,0.23299874365329742,0.29821497201919556,0.09871577471494675,0.40412136912345886,0.19637207686901093,0.28087207674980164,0.15100376307964325,0.2670528292655945,0.19154250621795654,0.15674735605716705
ever,0.362372487783432,0.3744584918022156,0.3474041819572449,0.28674447536468506,0.10635418444871902,0.0886881947517395,0.22324110567569733,0.1515330970287323,0.31014615297317505,0.1603369563817978,0.3358461856842041
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.3074295222759247,0.29061198234558105,0.17709659039974213,0.5116966962814331,0.14383116364479065,0.5696388483047485,0.2159106284379959,0.1826142966747284
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.26728492975234985,0.22502337396144867,0.19256806373596191,0.3739250600337982,0.2671267092227936,0.539380669593811,0.1934366375207901,0.23916715383529663
single,0.15813320875167847,0.22785933315753937,0.29338565468788147,0.16301946341991425,0.14536736905574799,0.07625994086265564,0.21896247565746307,0.10788578540086746,0.23017926514148712,0.1466112583875656,0.2151121199131012
ethnic,0.2689220905303955,0.14180785417556763,0.2494550496339798,0.15375559031963348,0.27523258328437805,0.14262212812900543,0.19576342403888702,0.12729673087596893,0.21084432303905487,0.18639908730983734,0.1578492373228073
community,0.245173841714859,0.2025771290063858,0.2601400911808014,0.07988400757312775,0.2314910590648651,0.16008208692073822,0.2756517827510834,0.12571345269680023,0.21838891506195068,0.11541607975959778,0.2380419820547104
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.12665097415447235,0.24496324360370636,0.11932258307933807,0.48971283435821533,0.12567701935768127,0.45010748505592346,0.2021344155073166,0.29463258385658264
britain,0.2346068173646927,0.27792006731033325,0.29784059524536133,0.18347971141338348,0.32227766513824463,0.1645788699388504,0.3187123239040375,0.15075907111167908,0.26246872544288635,0.4219939410686493,0.1268460750579834
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.2322506159543991,0.2060975730419159,0.20556409657001495,0.588965117931366,0.1906910538673401,0.5591574311256409,0.26322779059410095,0.4130953550338745
